Governmental Activities,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Education ,$19423,$19213,$19079,$18592,$18130,$23888,$24064,$28402,$29906,$29628
General Government,$150593,$150583,$161620,$161339,$173422,$173235,$220891,$235887,$289578,$291033
Health Services,$32876,$32003,$30632,$28161,$28784,$142580,$149604,$146835,$162355,$157101
Legal and Judiciary,$100,$20,$139,$300,$302,$125,$387,$310,$349,$1066
Museums,$6879,$6760,$6607,$6454,$6576,$6594,$11156,$12662,$12505,$13169
Natural Resources,$94712,$98016,$99250,$103066,$122618,$140616,$160253,$180892,$193947,$200208
Public Safety and Defense,$266182,$278764,$297093,$306970,$320743,$372077,$460894,$502434,$524859,$529224
Regulatory Services,$624,$552,$637,$697,$682,$1597,$1532,$1173,$904,$859
Social Services,$176706,$192402,$198744,$203034,$209140,$97722,$122358,$118942,$115417,$104439
Transportation,$6184651,$6268343,$6444886,$6828923,$7179503,$7513128,$8139553,$8730234,$9159061,$9433515
