contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Testing memory downsizing limits,,[],True,[],"Testing memory downsizing limits. Nature Nanotech14,1 (2019).",1455,1,2,aplusplus,10.1038/s41565-018-0355-0,https://doi.org/10.1038/s41565-018-0355-0,,1,nnano,nature nanotechnology,1546560000,2019-01-04,electronics-photonics-and-device-physics,https://www.nature.com/articles/s41565-018-0355-0,14
thesis,Tales of the structures of molecules,,[],False,"[""Chris Toumey""]","Toumey, C. Tales of the structures of molecules. Nature Nanotech14,2–3 (2019).",717,1,0,aplusplus,10.1038/s41565-018-0343-4,https://doi.org/10.1038/s41565-018-0343-4,,1,nnano,nature nanotechnology,1546560000,2019-01-04,ethical-legal-and-other-societal-issues;history-of-chemistry,https://www.nature.com/articles/s41565-018-0343-4,14
research highlight,Light does it all,,[],True,"[""Alberto Moscatelli""]","Moscatelli, A. Light does it all. Nature Nanotech14,4 (2019).",920,1,0,aplusplus,10.1038/s41565-018-0350-5,https://doi.org/10.1038/s41565-018-0350-5,,1,nnano,nature nanotechnology,1546560000,2019-01-04,molecular-machines-and-motors,https://www.nature.com/articles/s41565-018-0350-5,14
research highlight,Strain stretches photons,,[],True,"[""Benjamin Heinrich""]","Heinrich, B. Strain stretches photons. Nature Nanotech14,4 (2019).",908,1,0,aplusplus,10.1038/s41565-018-0351-4,https://doi.org/10.1038/s41565-018-0351-4,,1,nnano,nature nanotechnology,1546560000,2019-01-04,single-photons-and-quantum-effects,https://www.nature.com/articles/s41565-018-0351-4,14
research highlight,Nerve bridge,,[],True,"[""Chiara Pastore""]","Pastore, C. Nerve bridge. Nature Nanotech14,4 (2019).",632,1,0,aplusplus,10.1038/s41565-018-0352-3,https://doi.org/10.1038/s41565-018-0352-3,,1,nnano,nature nanotechnology,1546560000,2019-01-04,biomaterials;biomedical-engineering;nanobiotechnology,https://www.nature.com/articles/s41565-018-0352-3,14
research highlight,Sustainable cooling,,[],True,"[""Wenjie Sun""]","Sun, W. Sustainable cooling. Nature Nanotech14,4 (2019).",645,1,0,aplusplus,10.1038/s41565-018-0353-2,https://doi.org/10.1038/s41565-018-0353-2,,1,nnano,nature nanotechnology,1546560000,2019-01-04,metal-organic-frameworks;sustainability,https://www.nature.com/articles/s41565-018-0353-2,14
news & views,Drink safely with biomimetic nanotechnology,,[],True,"[""Janet G. Hering""]","Hering, J.G. Drink safely with biomimetic nanotechnology. Nature Nanotech14,5–6 (2019).",2334,11,6,aplusplus,10.1038/s41565-018-0326-5,https://doi.org/10.1038/s41565-018-0326-5,,1,nnano,nature nanotechnology,1543190400,2018-11-26,,https://www.nature.com/articles/s41565-018-0326-5,14
news & views,Surgical wound immunotherapy,,[],True,"[""Reinhard Liebers"", ""Dirk J\u00e4ger""]","Liebers, R., Jäger, D. Surgical wound immunotherapy. Nature Nanotech14,7–8 (2019).",1640,39,1,aplusplus,10.1038/s41565-018-0328-3,https://doi.org/10.1038/s41565-018-0328-3,,1,nnano,nature nanotechnology,1544400000,2018-12-10,,https://www.nature.com/articles/s41565-018-0328-3,14
news & views,Robust and compact waveguides,,[],True,"[""Sabyasachi Barik"", ""Mohammad Hafezi""]","Barik, S., Hafezi, M. Robust and compact waveguides. Nature Nanotech14,8–9 (2019).",1796,4,4,aplusplus,10.1038/s41565-018-0314-9,https://doi.org/10.1038/s41565-018-0314-9,,1,nnano,nature nanotechnology,1541980800,2018-11-12,fibre-optics-and-optical-communications;nanoscale-devices;topological-insulators,https://www.nature.com/articles/s41565-018-0314-9,14
news & views,Heat-assisted microwave amplifier,,[],True,"[""Qiming Shao"", ""Kang L. Wang""]","Shao, Q., Wang, K.L. Heat-assisted microwave amplifier. Nature Nanotech14,9–11 (2019).",1420,5,1,aplusplus,10.1038/s41565-018-0313-x,https://doi.org/10.1038/s41565-018-0313-x,,1,nnano,nature nanotechnology,1543190400,2018-11-26,electronic-and-spintronic-devices,https://www.nature.com/articles/s41565-018-0313-x,14
