OBJECTID,CSOB_KEY,CSOB_CSO_OUTFALL_NUM,CSOB_OUTFALL_LOC_TEXT,CSOB_AREA_ACRE_NBR,CSOB_REC_WTR_BDY_NAME,CSOB_REC_WTR_BDY_ID,CSOB_RAIN_GAGE_TEXT,CSOB_CSO_FCLTY_TEXT,CSOB_OVRFLW_YR_FRQ_NBR,CSOB_OVRFLW_VOL_MGAL_YR_NBR,CSOB_BSLN_DATA_SRC_TEXT,CSOB_OVRFLW_STAT_TEXT,CSOB_COMMENTS_TEXT,CSOB_EDIT_DATE,SE_ANNO_CAD_DATA,SHAPE_Length,SHAPE_Area
1,5,043,LAKE WASHINGTON BLVD S AND S ALASKA ST,73.73076511,Lake Washington,WA-08-9350,RG30,CSO 9,7,0.7,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,11930.7440059633,3211699.27067002
2,6,035,LAKESIDE AVE S AND S MASSACHUSETTS ST,50.80147937,Lake Washington,WA-08-9350,RG25,CSO 14,2,0.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,6578.38372270061,2212903.6208286
3,8,033,LAKESIDE AVE S AND S CHARLES ST,54.204632,Lake Washington,WA-08-9350,RG25,,0.2,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,8943.58448887564,2361144.30251855
4,12,127,1099 FAIRVIEW AVE N,12.92302021,Lake Union,WA-08-9340,RG20,,0.7,0.1,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,4983.96897040325,562924.500380782
5,13,032,LAKESIDE AVE S AND S DEARBORN ST,24.04758531,Lake Washington,WA-08-9350,RG25,CSO 16,8.4,0.3,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,5931.09691957079,1047508.64985824
6,15,091,LINCOLN PARK AT 8635 FAUNTLEROY WAY SW,6.7955407,Puget Sound - S-Central,WA-PS-0270,,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3715.44903656137,296012.561652716
7,19,088,5079 BEACH DR SW,88.11918512,Puget Sound - Central,WA-PS-0240,,,0.3,0.2,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,17853.6830727999,3838456.3311225
8,21,070,ALASKAN WAY AND UNIVERSITY ST,33.79725762,Elliott Bay,WA-09-0010,RG11,CSO 30,0.9,0.2,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,13211.6591049318,1472202.6584678
9,23,141,BRYANT SITE PARK AT 1215 NE BOAT ST,40.56701244,Portage Bay,WA-08-9260,RG03,,0.1,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,6320.7454061041,1767092.01139982
10,26,046,PRITCHARD ISLAND BEACH PARK AT 8314 ISLAND DR S,107.2714921,Lake Washington,WA-08-9350,RG30,,6.5,0.9,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,20121.957653296,4672727.50216523
11,30,034,LAKESIDE AVE S AND S CHARLES ST,20.36039924,Lake Washington,WA-08-9350,RG25,CSO 15,1.4,0.5,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,9666.05501210566,886895.451271526
12,32,170,2311 SW MYRTLE ST,31.73103603,Longfellow Creek,WA-09-1000,RG17,CSO 1,0.4,0.1,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,6139.08582789872,1382198.39265357
13,34,028,1500 LAKE WASHINGTON BLVD,19.9634314,Lake Washington,WA-08-9350,RG25,,15,0.4,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,4985.61757106095,869603.616028207
14,38,165,LAKE WASHINGTON BLVD S AND S ALASKA ST,11.576055,Lake Washington,WA-08-9350,RG18,,1.1,0.015,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,3734.34805475306,504250.93080268
15,44,027,1502 LAKE WASHINGTON BLVD,37.726881,Lake Washington,WA-08-9350,RG25,,0,0,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,17995.9054745165,1643376.33667323
16,46,018,3901 NE SURBER DR,914.76201099,Union Bay,WA-08-9350,RG03,CSO 24,6.6,0.5,http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webcontent/02_008056.pdf,http://www.kingcounty.gov/environment/wastewater/CSOstatus/Overview.aspx,,2015/11/03 16:45:01+00,,40949.0812537481,39846873.7491807
