OBJECTID,COMPKEY,UNITID,UNITDESC_ASSET,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,SEGKEY,UNITDESC_SEG,UNITTYPE,INSTALL_DATE,MAINTAINED_BY,MAINTFINANCIALRESP,STRWALLRATING,STRWALLCONDITION,SDWRATING,SDWCONDITION,INSPECTIONKEY,INSPCOMPDATE,STRWALLTYPE,SDWSURFACETYPE,SDWSUPPORTTYPE,ARWWALLMAXHT,ARWWALLMINHT,ARWWALLLENGTH,SDWWIDTH,RDWYSTR_DBID,ARWFUNCTION,OVERRIDEYN,OVERRIDECOMMENT,ARWWIDTH,CURRENT_STATUS_DATE,ADDDTTM,MODDTTM,EXPBY,EXPDATE,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,NUM_ATTACHMENTS,SHAPE_Length,SHAPE_Area
27948,512516,ARW-145,122 S JACKSON ST BETWEEN OCCIDENTAL AND 1ST AVE,PRIV,OUTSVC,DISTRICT2,DISTRICT7,16,20482,S JACKSON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,ARW,,,,,,,,,,,,,8,,131,0,A1806A,,N,,11,2019/09/20 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,258.985327446526,1302.25664361955
27949,512526,ARW-155,170 S JACKSON ST BETWEEN OCCIDENTAL AND 2ND AVE S,PRIV,INSVC,DISTRICT2,DISTRICT7,16,20483,S JACKSON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,ARW,,,,,,,,,,Concrete,Concrete,Concrete Arch on Steel Beam,10,0,110,12,A1903A,,N,,10,2015/02/17 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,253.708157069783,1334.52321879415
27950,512525,ARW-154,S JACKSON ST BETWEEN OCCIDENTAL AND 2ND AVE S,PRIV,INSVC,DISTRICT2,DISTRICT7,16,20483,S JACKSON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,ARW,,,,0,Not Rated,0,Not Rated,17134,2023/05/15 14:26:00+00,Brick,Concrete,Brick Arch on Steel Beam,9,,134,0,A1902B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2023/05/19 00:00:00+00,,,,,,,,,,,,0,262.132302050576,888.369064670991
27951,512582,ARW-212,208.5 S JACKSON ST BETWEEN 2ND AVE S AND 3RD AVE S,,INSVC,DISTRICT2,DISTRICT7,16,20484,S JACKSON ST BETWEEN 2ND AVE S AND 3RD AVE S,ARW,,,,,,,,,,Concrete Gravity,Concrete,Concrete Arch on Steel Beam,18,10,111,0,A6003A,Utility,N,,3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/11/22 00:00:00+00,,,,,,,,,,,,0,247.530179439785,1169.58164396329
27952,512581,ARW-211,220 S JACKSON ST BETWEEN 2ND AVE S AND 3RD AVE S,,INSVC,DISTRICT2,DISTRICT7,16,20484,S JACKSON ST BETWEEN 2ND AVE S AND 3RD AVE S,ARW,,,,,,,,,,Brick,Concrete,Brick Arch on Steel Beam,11,11,126,0,A6002,Mechanical Room,N,,10,2019/09/20 00:00:00+00,2009/12/21 00:00:00+00,2022/11/22 00:00:00+00,,,,,,,,,,,,0,260.592434591723,1123.97705388795
27953,512529,ARW-158,S JACKSON ST BETWEEN 1ST AVE S AND ALASKAN WAY,PRIV,INSVC,DISTRICT2,DISTRICT7,16,20481,S JACKSON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,,,,,,,,Concrete,Concrete Filled Metal Deck,9,6,148,12,A2001A,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,297.436990625404,2133.43093670646
27954,512542,ARW-171,101 S JACKSON ST BETWEEN OCCIDENTAL AND 1ST AVE,PRIV,INSVC,DISTRICT2,DISTRICT7,16,20483,S JACKSON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,ARW,,,,,,,,,,Concrete,Concrete,Brick Arch on Steel Beam,9,,110,13,A2101,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,255.434144253459,1761.93510890354
27955,512530,ARW-159,401 1ST AVE S BETWEEN JACKSON AND KING,PRIV,INSVC,DISTRICT2,,16,1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,ARW,,,,,,,,,,,Concrete,Concrete Filled Metal Deck,9,7,88,16,A2001B,,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,158.753679433646,823.989043300929
27956,512550,ARW-180,S JACKSON ST BETWEEN OCCIDENTAL AND 2ND AVE S,PRIV,INSVC,DISTRICT2,DISTRICT7,16,20483,S JACKSON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,ARW,,,,,,,,,,,,Arch on Steel Beam,10,,132,0,A2201B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,252.135238302161,957.345411763584
27957,512549,ARW-179,400-10 OCCIDENTAL AVE S BETWEEN JACKSON AND KING,PRIV,INSVC,DISTRICT2,,16,12023,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,ARW,,,,,,,,,,Stone Block,,Brick Arch on Steel Beam,10,8,135,19,A2201A,,N,,12,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,269.095825228244,1678.89836242957
27958,512553,ARW-183,2ND AVE S BETWEEN JACKSON AND KING,PRIV,INSVC,DISTRICT2,,16,2871,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,ARW,,,,,,,,,,Concrete,RC Reinforced Concrete,Brick Arch on Steel Beam,10,7,82,0,A2202B,,N,,14.2,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,262.569490408845,1422.66657269797
27959,512531,ARW-160,1ST AVE S BETWEEN JACKSON AND KING,,INSVC,DISTRICT2,,16,1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,ARW,,,,,,,,,,,,,11,,118,14,A2001C,,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,266.757651011857,1610.0241009957
27960,512544,ARW-173,OCCIDENTAL AVE S BETWEEN KING AND JACKSON,,INSVC,DISTRICT2,,16,12023,OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST,ARW,,,,,,,,,,,Concrete,Other,9,5,106,0,A2103,,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,247.257408818602,1572.27192443943
27961,512532,ARW-161,1ST AVE S BETWEEN KING AND JACKSON,,INSVC,DISTRICT2,,16,1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,ARW,,,,,,,,,,RC Reinforced Concrete,RC Reinforced Concrete,Concrete Filled Metal Deck,6,,76,16,A2001D,,N,,7,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,179.259304208158,652.34123556774
27962,601063,ARW-050,720 2ND AVE BETWEEN CHERRY ST AND COLUMBIA ST,,INSVC,DISTRICT7,,16,2750,2ND AVE BETWEEN CHERRY ST AND COLUMBIA ST,ARW,,,,85,Good,93.3,Good,14662,2022/11/02 01:30:00+00,Concrete,Concrete,Concrete,0,0,120,18,A043C,Storage,N,,0,,2013/06/25 00:00:00+00,2022/11/07 00:00:00+00,,,,,,,,,,,,0,276.096717529286,2436.10285987486
27963,512461,ARW-090,MARION ST BETWEEN 1ST AVE AND POST ST,,INSVC,DISTRICT7,,16,11662,MARION ST BETWEEN POST AVE AND 1ST AVE,ARW,,,,,,,,,,RC Reinforced Concrete,RC Reinforced Concrete,,7,,70,0,A101,,N,,6.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,258.217361321161,1625.52023521668
