Country,Unnamed: 1,Complete-o-meter,Unnamed: 3,Courses,%
United States,0%,,100%,1 / 4979,0%
— Alabama,0%,,100%,0 / 65,0%
— Alaska,0%,,100%,0 / 28,0%
— Arizona,0%,,100%,1 / 60,1.7%
— Arkansas,0%,,100%,0 / 65,0%
— California,0%,,100%,0 / 266,0%
— Colorado,0%,,100%,0 / 149,0%
— Connecticut,0%,,100%,0 / 19,0%
— Delaware,0%,,100%,0 / 12,0%
— Florida,0%,,100%,0 / 118,0%
— Georgia,0%,,100%,0 / 90,0%
— Hawaii,0%,,100%,0 / 10,0%
— Idaho,0%,,100%,0 / 75,0%
— Illinois,0%,,100%,0 / 220,0%
— Indiana,0%,,100%,0 / 121,0%
— Iowa,0%,,100%,0 / 222,0%
— Kansas,0%,,100%,0 / 150,0%
— Kentucky,0%,,100%,0 / 89,0%
— Louisiana,0%,,100%,0 / 43,0%
— Maine,0%,,100%,0 / 59,0%
— Maryland,0%,,100%,0 / 31,0%
— Massachusetts,0%,,100%,0 / 41,0%
— Michigan,0%,,100%,0 / 238,0%
— Minnesota,0%,,100%,0 / 241,0%
— Mississippi,0%,,100%,0 / 83,0%
— Missouri,0%,,100%,0 / 137,0%
— Montana,0%,,100%,0 / 43,0%
— Nebraska,0%,,100%,0 / 76,0%
— Nevada,0%,,100%,0 / 23,0%
— New Hampshire,0%,,100%,0 / 27,0%
— New Jersey,0%,,100%,0 / 26,0%
— New Mexico,0%,,100%,0 / 36,0%
— New York,0%,,100%,0 / 91,0%
— North Carolina,0%,,100%,0 / 200,0%
— North Dakota,0%,,100%,0 / 43,0%
— Northern Mariana Islands,0%,,100%,0 / 2,0%
— Ohio,0%,,100%,0 / 183,0%
— Oklahoma,0%,,100%,0 / 112,0%
— Oregon,0%,,100%,0 / 111,0%
— Pennsylvania,0%,,100%,0 / 142,0%
— Rhode Island,0%,,100%,0 / 3,0%
— South Carolina,0%,,100%,0 / 98,0%
— South Dakota,0%,,100%,0 / 55,0%
— Tennessee,0%,,100%,0 / 118,0%
— Texas,0%,,100%,0 / 345,0%
— Utah,0%,,100%,0 / 48,0%
— Vermont,0%,,100%,0 / 30,0%
— Virginia,0%,,100%,0 / 95,0%
— Washington,0%,,100%,0 / 103,0%
— West Virginia,0%,,100%,0 / 40,0%
— Wisconsin,0%,,100%,0 / 260,0%
— Wyoming,0%,,100%,0 / 37,0%
Canada,0%,,100%,0 / 166,0%
— Alberta,0%,,100%,0 / 22,0%
— British Columbia,0%,,100%,0 / 51,0%
— Manitoba,0%,,100%,0 / 11,0%
— New Brunswick,0%,,100%,0 / 2,0%
— Nova Scotia,0%,,100%,0 / 6,0%
— Nunavut,0%,,100%,0 / 1,0%
— Ontario,0%,,100%,0 / 44,0%
— Prince Edward Island,0%,,100%,0 / 2,0%
— Quebec,0%,,100%,0 / 15,0%
— Saskatchewan,0%,,100%,0 / 6,0%
— Yukon,0%,,100%,0 / 6,0%
Antarctica,0%,,100%,0 / 1,0%
Australia,0%,,100%,0 / 23,0%
Austria,0%,,100%,0 / 10,0%
Azerbaijan,0%,,100%,0 / 1,0%
Belgium,0%,,100%,0 / 5,0%
Belize,0%,,100%,0 / 1,0%
Bolivia,0%,,100%,0 / 1,0%
Colombia,0%,,100%,0 / 1,0%
Costa Rica,0%,,100%,0 / 1,0%
Croatia (Hrvatska),0%,,100%,0 / 1,0%
Cuba,0%,,100%,0 / 1,0%
Czech Republic,0%,,100%,0 / 32,0%
Denmark,0%,,100%,0 / 50,0%
Dominican Republic,0%,,100%,0 / 1,0%
Ecuador,0%,,100%,0 / 1,0%
Estonia,0%,,100%,0 / 18,0%
Finland,0%,,100%,0 / 415,0%
France,0%,,100%,0 / 28,0%
Germany,0%,,100%,0 / 74,0%
Haiti,0%,,100%,0 / 1,0%
Honduras,0%,,100%,0 / 1,0%
Hungary,0%,,100%,0 / 4,0%
Iceland,0%,,100%,0 / 15,0%
Ireland,0%,,100%,0 / 3,0%
Israel,0%,,100%,0 / 3,0%
Italy,0%,,100%,0 / 3,0%
Japan,0%,,100%,0 / 44,0%
Korea (South),0%,,100%,0 / 9,0%
Latvia,0%,,100%,0 / 2,0%
Lithuania,0%,,100%,0 / 1,0%
Mexico,0%,,100%,0 / 5,0%
Mongolia,0%,,100%,0 / 1,0%
Namibia,0%,,100%,0 / 1,0%
Netherlands,0%,,100%,0 / 8,0%
New Zealand,0%,,100%,0 / 27,0%
Nicaragua,0%,,100%,0 / 2,0%
Norway,0%,,100%,0 / 36,0%
Peru,0%,,100%,0 / 1,0%
Philippines,0%,,100%,0 / 1,0%
Poland,0%,,100%,0 / 3,0%
Qatar,0%,,100%,0 / 1,0%
Russian Federation,0%,,100%,0 / 2,0%
Saudi Arabia,0%,,100%,0 / 1,0%
Singapore,0%,,100%,0 / 1,0%
Slovak Republic,0%,,100%,0 / 5,0%
Slovenia,0%,,100%,0 / 2,0%
South Africa,0%,,100%,0 / 4,0%
Spain,0%,,100%,0 / 2,0%
Sweden,0%,,100%,0 / 140,0%
Switzerland,0%,,100%,0 / 21,0%
Taiwan,0%,,100%,0 / 4,0%
Thailand,0%,,100%,0 / 4,0%
United Kingdom,0%,,100%,0 / 36,0%
Uzbekistan,0%,,100%,0 / 1,0%
Viet Nam,0%,,100%,0 / 1,0%
