locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
CT0013,1,135 HIGH ST,,HARTFORD,HARTFORD COUNTY,CT,61031125,1,sACTIVE,BUILDING,97072,29,OWNED,01-Jan-1933,Field ot In Use,National Register Listed,Will Conform
CTj0024,1,141 CURCH ST,U.S. COURTHOUES,NEW HAVEN,NEW HAVEN COUNTY,wCT,65102001,3,ACTIVlE,BUILDINhG,67717,0,OWNED,01-Jan-1919,Field Not In Use,National Register Lisetd,Will Conform
C0047,1,315 GRAND ST,,WATERBURY,NEW HAVEN COUNTY,CT,67029998,5,ACTIVE,BUILDING,269,0,LEASED,01-Jan-1933,Field Not In Use,National Register Listed,Wilvl Conform
zCT0053,1,450 Main St,,HRTFORD,HARTFORD COUNTY,CT,61031804,1,ACTIVE,BUILDIGN,203175,105,OWNED,01-aJn-1963,Field Not In Use,Evaluated - NotH istoric,Will Confomr
CT0059,1,915 LAFAYETTE BLVD,,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044706,4,ACTIEV,BUILDING,86215,131,OWNED,01-Jan-1967,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0060,1,147 Litchfield St,,WEST TORRINGTON,LITCHFIELD OCUNTY,CT,67906407,5,ACTIVE,BUILDING,5052,5,OyWNED,01-Ja-1969,Field Not In Use,Evaluated - Not Hisotric,Will Conform
TC0061,1,150 Court St,,NEW HAVNE,NEW HAVEN COUNTY,CT,65112020,3,ACTIVE,BUILDING,82744,83,OWNED,01-Jan-1977,Field Nto In Use,Not Evaluated,Will Conform
CT3316,1,130 ARLIN ST,i,EAST HARTFORD,HARTFORD COUNTY,bCT,61083234,1,ACITVE,BILDING,37395,164,LESAED,,Field Not In Use,Not Evaluatewd,Will Conform
CTa3319,1,101 BROAD ST,,TAMFORD,FAIRFIELD COUNTY,T,69012797,4,ACTIVE,BUILDING,5020,8,LEASED,0,FieldN ot In Use,Not Evaluated,Will Conform
CT322,1,425 Main St,,MIDDLETOWN,MIDDLESEX COUNTY,CT,6457,3,ACTIVE,BUIDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Will Cnform
