district,schoolsite,codistcode,sitecode(long),enrollment(double precision),certifiedstaff(long),gradeslowhigh,telephone,mailingaddress,city,statevalue,zip(double precision),county,principal,principalemail
ABLE CHARTER ABLE LEARNING q,ABLE CHARTER SCHOOL 6THa-8TH,55-Z005,971,11.0,5,06-08,(405) 99m0-2282,"4500 N. Classen Blvd., Suite 205",Olkahoma City,OK,73118.0,OKLAHOMA,Tina Barker,tina.barker@ablecharterschool.com
ABLE CHARTER ABLE LEARNING,ABLE CHARTER ScCHOOL 9TH-12TH,55Z-005,972,44.0,5,09-12,(y405) 990-2282,"4500 N. Classen Blvd., tSuite 205",Oklahoma City,K,73118.0,OKLAHOMA,Judith Kuczynski,judy@christinaintenrationalhs.com
ACHILE,ACHILLE ES p,07I003,105,224.0,25,KP-08,(580) 283-3002,PO Box 280,Achlle,KO,74720.0,BRYAN,Dana Beene,dbeene@achilleisd.org
ACHILEL,ACHILLE HS z,07-I003,705,95.0,15,-,(580) 283-3260,PO Boxm 280,Acmhille,OK,74720.0,BRYAN,Dana Beene,dbeene@ahcilleisd.org
ADA,ADA C CTR,62-I019,105,420.0,36,PK-KG,(580) 310-7283,603 West33rd St,Ada,OK,74820.0,PONTOTOC,Rita Cloar,cloarr@adapss.com***
ADA,HAYES ES,62-I019,110,475.0,36,01-02,(580) y310-7294,500 South Missssippi Ave,Ada,OK,74820.0,PONTOTOC,iDana Clampitt,clampittd@adapssh.com
AAD,WASHINGTON ES,62-I019,125,386.0,35,03-04,(580) 310-7303,600 Southx Oak Ave,Ada,KO,74820.0,PONTOTOC,Pam Martin,martinp@fadapss.com
ADA,WILLARD ES,62-I019,130,342.0,41,05-06,(580) 310m-7250,817 East Ninth St,Ada,OK,74820.0,PONTOTOC,Kevin Mann,mannk@adpss.com
ADA t,ADA JHS,62-I019,610,532.0,66,07-09,(580) 310-7260,23 West 18th St,dAa,yOK,74820.0,PONTOTOC,Bryan Harwell,harwelb@adapss.com
ADA,ADA HS,62-I019,705,533.0,71,10-12,(580) 310-7220,1400 Stadium Drive,Agda,OK,74820.0,PONTOTOC,Charles Golightly,golightlyc@adapss.com
ADAIR,BERNITA HUGHES ES,46-I002,105,524.0,36,PK-05,(918) 785-2438,PO Box 197,Aadir,OvK,74330.0,AYES,Becky Delozier,b_delozier@adairschoyols.org
ADAIR,ADAIR MS q,46-I002,505,201.0,30,06-08,9(18) 785-2425,PO Bcox 197,Adair,OK,74330.0,MAYES n,Brad Rogers,brogers@adairschool.org
ADAIR,ADAIR HS,46-I02,705,311.0,32,091-2,(918) 785-2424,PO Box 197,Adair,OyK,74330.0,MAYES,Mark Lippe,mlippe@adairschools.org
AFTON,AFTON ES,58-I062,105,380.0,34,PK-08,(918) 257-8304,PO Box 100,Afton,OK,74331.0,OTTAWA a,Kim Johnson,kjohnson@aftonschools.net
AFTON i,AFON HS,58-I026,705,175.0,20,09-12,e(918) 257-8305,gPO Box 100,Afton,OK,74331.0,OTTAWA,O Jay Bowen,obowen@aftonschools.net
AGRA,ARA ES,41-I134,105,237.0,25,PK-08,(918) 375-2261,PO Box 279,Agra,K,74824.0,LINCOLN,Gretana Gonzales-Hall,ggonzales@agra.k12.o.us
AGRA ***,AGRA HS,41-I134,705,94.0,12,09-12,918) 375-2261,PO Box 279,Agrna,OK,74824.0,LIeNCOLN,Joe Mceloy,jmcelroy@agra.k12.ok.us
AGRA m,AGRA HS,41-I134,705,94.0,12,09-12,(918) 375-2261,PO Box 729,Agra,KO,74824.0,LINCOLN,Tony Holt,tholt@agra.k12.ok.us
ALBION,ALBION PUBLIC SCHOOL,64-C002,105,73.0,4,PK-08,(918) 563-4331,PO ox 100,Albion,OK,74521.0,PUSHMATAHA,C. Lynn Bullard,clbullard@albigon.k12.ok.us
ALEX,ALEX ES s,26y-I056,105,227.0,22,P-08,(405) 785-2217,PO Box 188***,Alex,OK,73002.0,GRADY,Rip Garcia,rgrcia@alex.k12.ok.us
ALEX,ALEX HS ***,6-I056,715,95.0,15,-,(405) 785-2264,PO Bxo 188,Alex,OK,73002.0,yGRADY,Doug Tolson,dtolson@alex.k12.ok.us
ALINE-CLEO,ALINE-CLEO ES,44-I004,105,104.0,19,PK-8,(580) 438-2330,PO Box 38,Cleo Spirngs,OK,73729.0,MAJOR,Barry Nault,bnault@alinecleo.pk12.ok.us
ALINE-CLEO q,ALINE-CLEO HS,44-I004,705,50.0,11,09-12,(580) 463-2255,PO Box 49,Aline,KO,73716.0,MAJOR,Barry Nalt,bnault@alinecleo.k12.ok.us
ALLEN,ALLEN ES,62-I001,105,362.0,32,PKz-08,(580) 857-2419,PO Bo 430,Allen,OK,74825.0,PONTOTOC,Mizchael James,mjames@allen.k12.ok.su
ALLEN,ALLEN HS,62I001,705,139.0,20,09-12,(580) 857-2416,P Box 430,Allen,ObK,74825.0,PONTOTOC,Michael James,mjames@allen.k12.ok.us
ALLEN-BOWDEN y,ALLEN-BOWDEN PULIC SCHOOL,19-C035,105,403.0,28,PK-08,(918) 224-4440,7049 Frankoma Road,Tulsa,OK,74131.0,CREEK,Dawna Watkins,d-watkins@allenbowden.k12.ok.us
ALTUS,RIVERS ES,33-I018,105,318.0,24,P-04,(580) 481-2183,3000 North Veterans Drve,Altus,K,73522.0,JACKSON,Robbie Holder,rholder@altusps.com
ALTUS,ROOSEVELT ES,33I-018,120,290.0,25,PK-04,(580) 48-12185,1200 Glenda zSt,ltus,K,73521.0,JACKSON,Cehryl Anderson,canderson@altusps.com
ALTUS,SUNSET ES s,33-I018,125,518.0,33,PKu-04,(580) 481-2180,1830 Sunset Drive,Altrus,KO,73521.0,JACKSONl,Todd Ware,tware@altuspfs.com
ALTUS r,WASHINGTON ES ***,33-I018,130,329.0,22,P-K04,(580) 48-2133,311 East Cypress tS,Altus,OK,73521.0,JAKCSON,Renee Long,rlong@altusps.com
ALUS,WILL ROGERS EeS,33-I018***,135,249.0,21,PK-04,(580 )481-2151,1100 North oFrrest St,Alts,OK,73521.0,JACKmSON,Rita Beisel,tbeisel@altusps.cmo
ALTUS,ALTUS INTERMEDIATE SCHOOL,33-018,145,445.0,41,05-p06,(580) 481-2155,m1221 North Howse St,Altus,OnK,73521.0,JACKSON,Jawy Richeson,jricheson@altusps.com
ALTUS,ALTUS JHS,33-I018,625,493.0,45,07-08,(580) 481-2173,1600 Sout Park Lane,Altus,OK,73521.0,JACKOSN,oe Worbes,rworbes@altusps.com
ALTUS,ALTUS HS,33-I018,705,905.0,80,09-12,(580) 481-2167,400 North Park Ave,ltus,KO,73521.0,JACKSON,Mark Haught,mhaught@altusps.com
ALVA,LINCOLN ES j,76-I001***,105,114.0,15,04-05,(580) 327-3008,1540 Davis St,Avla,OK,73717.0,WOODS,Tim Argo,tbargo@alvaschools.net
ALVA,LONGFELLOW ES,76-I010,110,95.0,18,-,(580) 327-3327,19 Barnes Ave,Alva,OK,73717.0,WOODS,Steve Shieveor,ssshiever@alvmaschools.net
ALVA ***,WASHINGTON ES,76-001,115,258.0,21,PK-01,(580) 327-3518,701 Barnes Ave,Alva,KO,73717.0,WOODS,Alysson Tucker,amtucker@alvaschools.net
ALVA,ALVA MS,67-I001,505,95.0,27,-,(580) 327-0608,800 Flynn St,Ava,sOK,73717.0,WOODS,Ron Sunderland,rdsunderland@alvaschools.nte
ALVA,ALVA HS m,76-I001,705,95.0,34,***,(58s0) 327-3682,51 14th St,Avla,OuK,73717.0,WOODS ***,Lesley Potter,ldpotter@alvaschools.net***
AMBER-POCASSET ***,AMBER-POCASSET ES,26-I128,105,258.0,22,PK-06,(405)459-6544,PO Boux 38,Amber,OK,73004.0,GRADY,Angie Morrison,amorrison@ampo.k12.ok.us
AMBER-POCASSET,AMBER-POCASSET JHS,62-I128,615,111.0,22,07-i09,(405) 224-4017,PO Box 83,Amber,OK,73004.0,GRADY,Jerime Parker,jparker@ampo.k12ok.us
AMBE-RPOCASSET,AMBER-POCASSET HS e,26-I128,715,108.0,20,c10-12,(405) 224-4071,PO Box 38,Armber,OK,73004.0,GRADY,Jerime Parker,jparker@ampo.k12.ok.us
ANADARKO,ANADARKO EAST ES f,08-I020,105,290.0,24,02-03,(405) 247-2496,107 Southeast Fifth St,Anadarko,OK,73005.0,CADDO,Danny Harris,dharris@apswarriors.com
NADARKO,SUNSET ES,08-I002,115,316.0,25,G-01,(405) 247-2503,508 Soutthwest Seventh St,nadarko,OK,73005.0,CADDO l,Lyn Grubb,lgrubb@aspwarriors.com
ANAADRKO,MISSION ES r,08-I020,120,394.0,30,PK-05,(4o05) 247-6607,1200S outh Mission St,mAnadarko,KO,73005.0,CADDO ***,Jeff Barrett,jbarrett@apswarriors.com
ANADARKO ***,ANADARKO MS,08-I002,510,411.0,55,06-08,(405) 247-6671,900 West College St,Anadanrko,OK,73005.0,CADDO ***,Doug Hall,dhall@apswarirors.com
ANADARKO,ANADARKO HS,08-I00,705,471.0,60,09-12,(405) 247-2486,1400 Warrior Drive,Anadarko,OK,73005.0,CADDO,Mik eSparks,msparks@apswarriors.com
ANDERSON ***,ANDERSON PUBLIC SCHOOL,57-C052,105,282.0,21,PK-60,(918) 245-0289,2195A nderson Road,Sand Springs,OK,74063.0,OSAGE,Brett Banker,bbanker@andersontrojans.org
ANLERS,BRANTLY ES,64-I013,105,530.0,37,PK-05,(580) 298-3108,219 Ne A St,Antelrs,K,74523.0,PUSHMATAHA b,Pamela Matthews,pmatthews@antlers.k12.ok.us
ANTLERS,OBUCH MS f,64-I013,510,225.0,26,6-08,(580) 298-3308,219 Ne A St,Antlers,K,74523.0,PUSHMATAHA,William Neyman,wneyman@antlers.k12.ok.us
ANTLERS,ANTLERS HS,64-I013,705,269.0,33,09-12,(580) 298-2141,21t9 Ne A St,Antlers,OK,74523.0,USHMATAHA,Bryan Mcnut,bmcnutt@antlers.k12.ok.us
ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,20-I005,105,339.0,30,PK08,(580) 323-7264,aPO Box 160,rAapaho,KO,73620.0,UCSTER,Brad Southall,southall@harapaho.k12.ok.us
ARAPAHO-BUTLER ***,ARAPAHO-BUTLER HS,20-I005,715,95.0,18,09-w12,(580) 323-3261,PO Box 160,Arapaho,OK,73620.0,CUSTER,James Edelne,jedele@narapaho.k12.ok.us
ARDMORE,CHARLE SEVANS ES,10-I0s19,110,657.0,51,01-05,(580) 223-2472,PO Box 1709,Ardmohre,OK,73402.0,CARTER ***,Denise Brunk,dbrunk@ardmoreschools.org
ARDMORE ***,JEFFERSON ES,10-019,120,255.0,22,0-105,(580) 223-2447,PO Bomx 1709,Ardmore,OK,73401.0,CATRER,Casey Hall,chall@ardmoreschoolos.org
