1624.mailingaddress,b3101 West Edison St,3101 West Edison St
635.city,Hardesy,Hardesty
670.principalemail,renntie.nickell@hintonschools.org,rennie.nickell@hintonschools.org
122.schoolsite,BIXBY MS            v          ,BIXBY MS                      
264.county,COMANCHE  y  ,COMANCHE    
1715.codistcode,17-I010,17-I001
586.codistcode,68-I06,68-I006
1180.codistcode,55-I098,55-I089
1438.gradeslowhigh,09-2,09-12
1532.telephone,405) 598-3771,(405) 598-3771
838.telephone,(405) 277t-3545,(405) 277-3545
873.telephone,(918) 4v23-5963,(918) 423-5963
1416.principalemail,cholmes@sayre.ik12.ok.us,cholmes@sayre.k12.ok.us
942.district,MOOR E                        ,MOORE                         
629.schoolsite,HILEYVILLE HS                ,HAILEYVILLE HS                
477.gradeslowhigh,x05-06,05-06
1296.codistcode,27-eI090,27-I090
703.principalemail,abryant@idabeps.org,abryant@idabelps.org
816.statevalue,K,OK
1453.gradeslowhigh,0-05,03-05
324.city,Colbet,Colbert
1174.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1167.telephone,(405) 587-8300***,(405) 587-8300
275.gradeslowhigh,0-12,09-12
974.mailingaddress,PO oBx 80,PO Box 80
463.district,EDMOND               r         ,EDMOND                        
202.mailingaddress,PO Bomx 157,PO Box 157
757.county,MARHSALL    ,MARSHALL    
379.principal,Jseff Limore,Jeff Limore
440.district,DURANT            f            ,DURANT                        
147.schoolsite,BOSWELL HS                    ***,BOSWELL HS                    
760.county,ASKELL     ,HASKELL     
213.gradeslowhigh,w09-12,09-12
720.principal,Micelle Sumner,Michelle Sumner
1016.principal,Christ Bradley,Christy Bradley
23.district,ALINE-CLEO     q               ,ALINE-CLEO                    
202.statevalue,vOK,OK
513.gradeslowhigh,0j9-12,09-12
171.mailingaddress,7200 East QuincyPlace,7200 East Quincy Place
1591.codistcode,72-001,72-I001
1675.principal,aKren Vance,Karen Vance
1308.city,Prseton,Preston
1713.mailingaddress,O Box 189,PO Box 189
614.gradeslowhigh,07-80,07-08
1773.statevalue,KO,OK
583.principal,Tanya Wlhisenhunt,Tanya Whisenhunt
696.telephone,(918) 7s72-2501,(918) 772-2501
1700.schoolsite,VIAN MS                      ,VIAN MS                       
944.principalemail,karieihll@mooreschools.com,kariehill@mooreschools.com
163.county,TUgLSA       ,TULSA       
191.county,MCCURTAI   ,MCCURTAIN   
1615.district,TULSA   t                      ,TULSA                         
1182.gradeslowhigh,09-2,09-12
1062.principalemail,sbeck@norman.k2.ok.us,sbeck@norman.k12.ok.us
485.city,Elk ity,Elk City
