district,schoolsite,codistcode,sitecode,enrollment,certifiedstaff,gradeslowhigh,telephone,mailingaddress,city,statevalue,zip,county,principal,principalemail
ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 6TH-8TH,55-Z005,971,11.0,5,06-08,(405) 990-2282,"4500 N. Classen Blvd., Suite 205",Oklahoma City,OK,73118.0,OKLAHOMA,Tina Barker,tina.barker@ablecharterschool.com
ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 9TH-12TH,55-Z005,972,44.0,5,09-12,(405) 990-2282,"4500 N. Classen Blvd., Suite 205",Oklahoma City,OK,73118.0,OKLAHOMA,Judith Kuczynski,judy@christinainternationalhs.com
ACHILLE,ACHILLE ES,07-I003,105,224.0,25,PK-08,(580) 283-3002,PO Box 280,Achille,OK,74720.0,BRYAN,Dana Beene,dbeene@achilleisd.org
ACHILLE,ACHILLE HS,07-I003,705,95.0,15,-,(580) 283-3260,PO Box 280,Achille,OK,74720.0,BRYAN,Dana Beene,dbeene@achilleisd.org
ADA,ADA EC CTR,62-I019,105,420.0,36,PK-KG,(580) 310-7283,603 West 33rd St,Ada,OK,74820.0,PONTOTOC,Rita Cloar,cloarr@adapss.com
ADA,HAYES ES,62-I019,110,475.0,36,01-02,(580) 310-7294,500 South Mississippi Ave,Ada,OK,74820.0,PONTOTOC,Diana Clampitt,clampittd@adapss.com
ADA,WASHINGTON ES,62-I019,125,386.0,35,03-04,(580) 310-7303,600 South Oak Ave,Ada,OK,74820.0,PONTOTOC,Pam Martin,martinp@adapss.com
ADA,WILLARD ES,62-I019,130,342.0,41,05-06,(580) 310-7250,817 East Ninth St,Ada,OK,74820.0,PONTOTOC,Kevin Mann,mannk@adapss.com
ADA,ADA JHS,62-I019,610,532.0,66,07-09,(580) 310-7260,223 West 18th St,Ada,OK,74820.0,PONTOTOC,Bryan Harwell,harwellb@adapss.com
ADA,ADA HS,62-I019,705,533.0,71,10-12,(580) 310-7220,1400 Stadium Drive,Ada,OK,74820.0,PONTOTOC,Charles Golightly,golightlyc@adapss.com
ADAIR,BERNITA HUGHES ES,46-I002,105,524.0,36,PK-05,(918) 785-2438,PO Box 197,Adair,OK,74330.0,MAYES,Becky Delozier,b_delozier@adairschools.org
ADAIR,ADAIR MS,46-I002,505,201.0,30,06-08,(918) 785-2425,PO Box 197,Adair,OK,74330.0,MAYES,Brad Rogers,brogers@adairschools.org
ADAIR,ADAIR HS,46-I002,705,311.0,32,09-12,(918) 785-2424,PO Box 197,Adair,OK,74330.0,MAYES,Mark Lippe,mlippe@adairschools.org
AFTON,AFTON ES,58-I026,105,380.0,34,PK-08,(918) 257-8304,PO Box 100,Afton,OK,74331.0,OTTAWA,Kim Johnson,kjohnson@aftonschools.net
AFTON,AFTON HS,58-I026,705,175.0,20,09-12,(918) 257-8305,PO Box 100,Afton,OK,74331.0,OTTAWA,O Jay Bowen,obowen@aftonschools.net
AGRA,AGRA ES,41-I134,105,237.0,25,PK-08,(918) 375-2261,PO Box 279,Agra,OK,74824.0,LINCOLN,Gretana Gonzales-Hall,ggonzales@agra.k12.ok.us
AGRA,AGRA HS,41-I134,705,94.0,12,09-12,(918) 375-2261,PO Box 279,Agra,OK,74824.0,LINCOLN,Joe Mcelroy,jmcelroy@agra.k12.ok.us
AGRA,AGRA HS,41-I134,705,94.0,12,09-12,(918) 375-2261,PO Box 279,Agra,OK,74824.0,LINCOLN,Tony Holt,tholt@agra.k12.ok.us
ALBION,ALBION PUBLIC SCHOOL,64-C002,105,73.0,4,PK-08,(918) 563-4331,PO Box 100,Albion,OK,74521.0,PUSHMATAHA,C. Lynn Bullard,clbullard@albion.k12.ok.us
ALEX,ALEX ES,26-I056,105,227.0,22,PK-08,(405) 785-2217,PO Box 188,Alex,OK,73002.0,GRADY,Rip Garcia,rgarcia@alex.k12.ok.us
ALEX,ALEX HS,26-I056,715,95.0,15,-,(405) 785-2264,PO Box 188,Alex,OK,73002.0,GRADY,Doug Tolson,dtolson@alex.k12.ok.us
ALINE-CLEO,ALINE-CLEO ES,44-I004,105,104.0,19,PK-08,(580) 438-2330,PO Box 38,Cleo Springs,OK,73729.0,MAJOR,Barry Nault,bnault@alinecleo.k12.ok.us
ALINE-CLEO,ALINE-CLEO HS,44-I004,705,50.0,11,09-12,(580) 463-2255,PO Box 49,Aline,OK,73716.0,MAJOR,Barry Nault,bnault@alinecleo.k12.ok.us
ALLEN,ALLEN ES,62-I001,105,362.0,32,PK-08,(580) 857-2419,PO Box 430,Allen,OK,74825.0,PONTOTOC,Michael James,mjames@allen.k12.ok.us
ALLEN,ALLEN HS,62-I001,705,139.0,20,09-12,(580) 857-2416,PO Box 430,Allen,OK,74825.0,PONTOTOC,Michael James,mjames@allen.k12.ok.us
ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19-C035,105,403.0,28,PK-08,(918) 224-4440,7049 Frankoma Road,Tulsa,OK,74131.0,CREEK,Dawna Watkins,d-watkins@allenbowden.k12.ok.us
ALTUS,RIVERS ES,33-I018,105,318.0,24,PK-04,(580) 481-2183,3000 North Veterans Drive,Altus,OK,73522.0,JACKSON,Robbie Holder,rholder@altusps.com
ALTUS,ROOSEVELT ES,33-I018,120,290.0,25,PK-04,(580) 481-2185,1200 Glenda St,Altus,OK,73521.0,JACKSON,Cheryl Anderson,canderson@altusps.com
ALTUS,SUNSET ES,33-I018,125,518.0,33,PK-04,(580) 481-2180,1830 Sunset Drive,Altus,OK,73521.0,JACKSON,Todd Ware,tware@altusps.com
ALTUS,WASHINGTON ES,33-I018,130,329.0,22,PK-04,(580) 481-2133,311 East Cypress St,Altus,OK,73521.0,JACKSON,Renee Long,rlong@altusps.com
ALTUS,WILL ROGERS ES,33-I018,135,249.0,21,PK-04,(580) 481-2151,1100 North Forrest St,Altus,OK,73521.0,JACKSON,Rita Beisel,tbeisel@altusps.com
