Game name,Japanese release,English release
Jump Ultimate Stars,23 November 2006,
Naruto RPG 2: Chidori vs. Rasengan,14 July 2005,
Naruto Shippūden: Clash of Ninja Revolution 3,,17 November 2009
Naruto Shippūden: Gekitō Ninja Taisen! EX 2,29 November 2007,
Naruto Shippūden: Gekitō Ninja Taisen! EX 3,27 November 2008,
Naruto Shippūden: Gekitō Ninja Taisen! Special,2 December 2010,
Naruto Shippūden: Ninja Council 4,19 July 2007,2 June 2009
Naruto Shippūden: Ninja Destiny 2,24 April 2008,15 September 2009
Naruto Shippūden: Ninja Destiny 3,28 April 2009,
Naruto Shippūden: Ultimate Ninja 4,5 April 2007,24 March 2009
Naruto Shippūden: Ultimate Ninja 5,20 December 2007,27 November 2009
Naruto Shippūden: Ultimate Ninja Heroes 3,10 December 2009,11 May 2010
Naruto Shippūden: Ultimate Ninja Storm 2,21 October 2010,19 October 2010
Naruto Shippūden: Ultimate Ninja Storm 3,18 April 2013,5 March 2013
Naruto Shippūden: Ultimate Ninja Storm 4,4 February 2016,
Naruto Shippūden: Ultimate Ninja Storm Generations,23 February 2012,13 March 2012
Naruto Shippūden: Ultimate Ninja Storm Revolution,11 September 2014,16 September 2014
Naruto: Clash of Ninja Revolution,,23 October 2007
Naruto: Clash of Ninja Revolution 2,,21 October 2008
Naruto: Gekitō Ninja Taisen! 3,20 November 2004,
Naruto: Gekitō Ninja Taisen! 4,21 November 2005,
Naruto: Ninja Council 3,27 April 2006,22 May 2007
Naruto: Ninja Destiny,14 December 2006,20 March 2008
Naruto: Path of the Ninja 2,13 July 2006,14 October 2008
Naruto: The Broken Bond,,18 November 2008
Naruto: Ultimate Ninja 2,30 September 2004,12 June 2007
Naruto: Ultimate Ninja 3,22 December 2005,25 March 2008
Naruto: Ultimate Ninja Heroes,,28 August 2007
Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress,30 March 2006,24 June 2008
Naruto: Ultimate Ninja Storm,15 January 2009,4 November 2008
