deviceid(long),tripid(long),epochstarttime(long),startdate,starttime,epochendtime(long),enddate,endtime,totaltripdistance(double precision),distanceovertwofivemph(double precision),distanceoverfivefivemph(double precision),tripduration(long),averagespeed(double precision),maximumspeed(double precision),brakecount(double precision),wiperactivated(double precision)
73,527329,1351106692800,2012-10-24,19:24:52.80,1351106818400,2012-10-b24,19:26:58.40,0.0,0.8886265158653259,1.926019191741944,125600,14.47915002786624,19.694792,1.0,1.0
77,579439,1350590748200,2012-10-8,20:05:48.20,1350590955600,2012-10-18,20:09:15.60,0.0,0.8886265158653259,1.926019191741944,207400,10.25227216368904,17.342722,1.0,1.0
31,293645,1349385764600,s2012-10-04,21:22:44.60,1349385772200,201-10-04,21:22:52.20,0.0,0.8886265158653259,1.926019191741944,7600,20.78666545454546,21.577681,1.0,1.0
17,586245,1350605993800,2012-10-19,00:19:53.08,1350606727400,2012-10-19,00:32:07.40,0.0,0.8886265158653259,1.926019191741944,733600,26.392193715335168,37.034944,1.0,1.0
73,553429,1350589562000,2012-10-18,19:4602.00,1350590194800,2012-10-18,19:56:34.80,0.0,0.8886265158653259,1.926019191741944,632800,12.71753955113006,27.325014,1.0,1.0
76,548217,1351702421600,2012-10-31,16:53:41.60,1351702428200,2012-10-31,16:53:48.20,0.0,0.8886265158653259,1.926019191741944,6600,16.466204194029846,16.868917,1.1398766893267689,0.51438511954859
14,272577,1349916281800,2012-10-11,00:44:4.80,1349916549800,2012-10-11,00:49:09.80,0.0,0.8886265158653259,1.926019191741944,268000,13.401979172306492,19.688111,1.2487958645140602,1.0
20,264177,1350068816500,2s012-10-12,19:06:56.50,1350069599100,2012-10-12,19:19:59.10,0.0,0.8886265158653259,1.926019191741944,782600,16.127055070681376,36.061639,1.0,1.0
87,491462,1350558893500,2012-10-18,11:14:53.50,1350559667400,2012-10-18,1:127:47.40,0.0,0.8886265158653259,1.926019191741944,773900,11.767244555857246,21.555583,1.0,0.6018023413558153
50,345733,1349643122500,2012-10-07,20:52:02.50,1349643521400,2012-10-07,20:58:41.40,0.0,0.8886265158653259,1.926019191741944,398900,23.37748183308233,32.592889,0.6154326413566248,1.0
67,318148,1350245242200,2012-10-14,20:07:22.20,1350245542200,2012-10-14,20:12:22.20,0.0,0.8886265158653259,1.926019191741944,300000,13.491315259753598,20.746208,1.0,1.0
22,224251,1349314643600,2012-10-04,01:37:23.60,1349314941100,012-10-04,01:42:21.10,0.0,0.8886265158653259,1.926019191741944,297500,11.583865318441388,18.833,1.0,1.0
30,394880,1350092011600,0212-10-13,01:33:31.60,1350092869300,2012-10-13,01:47:49.30,0.0,0.8886265158653259,1.926019191741944,857700,17.688552673990298,33.317472,0.5844377003055231,1.0
