fnode,tnode,lpoly,rpoly,lengthvalue,trazerozerozerothree,trazerozerozerothreeid,interstate,us,statehw,altrdname,namevalue,type
5,31,5,4,0.074,1,339,0,0,170,U.S. 85,N.M. 170,N.M.
29,35,3,8,0.49,2,276,0,0,456,U.S. 85,N.M. 456,N.M.
35,34,3,18,0.014,3,276,0,0,456,U.S. 85,N.M. 456,N.M.
6,37,3,6,0.111,4,276,0,0,551,U.S. 85,N.M. 551,N.M.
13,39,6,9,0.089,5,273,0,0,526,U.S. 85,N.M. 526,N.M.
37,29,3,14,0.401,6,276,0,0,456,U.S. 85,N.M. 456,N.M.
41,24,7,13,0.136,7,318,0,0,29,U.S. 85,N.M. 29,N.M.
39,44,15,9,0.056,8,273,0,0,72,U.S. 85,N.M. 72,N.M.
50,41,7,12,0.03,9,317,0,0,29,U.S. 85,N.M. 29,N.M.
46,50,7,17,0.22,10,331,0,64,0,U.S. 84,U.S. 64,U.S.
37,51,14,6,0.115,11,275,0,0,456,U.S. 85,N.M. 456,N.M.
39,51,6,15,0.547,12,274,0,0,72,U.S. 85,N.M. 72,N.M.
52,31,16,5,0.228,13,338,0,0,574,U.S. 85,N.M. 574,N.M.
54,9,5,7,0.231,14,326,0,550,0,U.S. 85,U.S. 550,U.S.
54,52,16,5,0.017,15,337,0,0,173,U.S. 550,N.M. 173,N.M.
2,59,4,2,0.23,16,345,0,666,0,U.S. 85,U.S. 666,U.S.
59,61,16,2,0.013,17,345,0,64,0,U.S. 85,U.S. 64,U.S.
56,63,22,7,0.079,18,333,0,0,511,U.S. 85,N.M. 511,N.M.
63,54,21,7,0.292,19,337,0,0,173,U.S. 85,N.M. 173,N.M.
66,48,19,15,0.178,20,277,0,64,0,U.S. 87,U.S. 64,U.S.
46,67,17,7,0.39,21,332,0,64,0,U.S. 85,U.S. 64,U.S.
51,69,14,20,0.129,22,274,0,0,325,U.S. 85,N.M. 325,N.M.
56,71,7,22,0.083,23,334,0,0,539,U.S. 85,N.M. 539,N.M.
69,73,25,20,0.166,24,277,0,64,0,U.S. 87,U.S. 64,U.S.
51,73,20,15,0.143,25,275,0,0,325,U.S. 85,N.M. 325,N.M.
31,74,16,4,0.22,26,339,0,0,170,U.S. 85,N.M. 170,N.M.
73,66,25,15,0.289,27,277,0,64,0,U.S. 87,U.S. 64,U.S.
78,50,17,12,0.14,28,317,0,64,0,U.S. 84,U.S. 64,U.S.
74,59,16,4,0.446,29,340,0,64,0,U.S. 85,U.S. 64,U.S.
63,86,22,21,0.104,30,333,0,0,511,U.S. 85,N.M. 511,N.M.
71,86,24,22,0.204,31,335,0,64,0,U.S. 85,U.S. 64,U.S.
92,78,17,26,0.02,32,317,0,64,0,U.S. 84,U.S. 64,U.S.
95,54,16,21,0.112,33,326,0,0,544,U.S. 85,N.M. 544,N.M.
96,95,16,24,0.009,34,326,0,64,0,U.S. 85,U.S. 64,U.S.
99,92,28,26,0.013,35,317,0,64,0,U.S. 84,U.S. 64,U.S.
60,101,23,10,0.13,36,284,0,64,0,U.S. 85,U.S. 64,U.S.
86,95,24,21,0.201,37,335,0,64,0,U.S. 85,U.S. 64,U.S.
103,99,28,27,0.005,38,317,0,64,0,U.S. 84,U.S. 64,U.S.
101,104,30,10,0.019,39,284,0,64,0,U.S. 85,U.S. 64,U.S.
84,104,10,10,0.091,40,280,0,0,375,U.S. 85,N.M. 375,N.M.
18,107,10,11,0.32,41,289,0,0,522,U.S. 85,N.M. 522,N.M.
67,71,24,7,0.627,42,335,0,64,0,U.S. 85,U.S. 64,U.S.
109,103,31,27,0.035,43,317,0,64,0,U.S. 84,U.S. 64,U.S.
109,110,27,33,0.001,44,323,0,64,0,U.S. 84,U.S. 64,U.S.
110,111,29,33,0.001,45,324,0,64,0,U.S. 84,U.S. 64,U.S.
111,109,31,33,0.001,46,317,0,64,0,U.S. 84,U.S. 64,U.S.
22,113,11,12,0.36,47,285,0,285,0,U.S. 85,U.S. 285,U.S.
113,116,11,34,0.005,48,285,0,0,0,U.S. 85,Unknown,Unknown
117,113,12,34,0.101,49,322,0,64,0,U.S. 85,U.S. 64,U.S.
110,117,12,29,0.698,50,323,0,64,0,U.S. 85,U.S. 64,U.S.
116,121,35,34,0.02,51,285,0,285,0,U.S. 85,U.S. 285,U.S.
123,69,25,14,0.292,52,277,0,64,0,U.S. 87,U.S. 64,U.S.
104,125,30,10,0.196,53,284,0,64,0,U.S. 85,U.S. 64,U.S.
101,130,23,30,0.164,54,281,0,0,445,U.S. 85,N.M. 445,N.M.
130,131,19,41,0.0,55,281,0,0,0,U.S. 85,Unknown,Unknown
132,131,41,19,0.0,56,282,0,0,0,U.S. 85,Unknown,Unknown
130,132,41,30,0.0,57,184,0,0,0,U.S. 85,Unknown,Unknown
125,132,30,38,0.208,58,282,0,0,505,U.S. 85,N.M. 505,N.M.
137,123,37,14,0.143,59,277,0,64,0,U.S. 87,U.S. 64,U.S.
125,138,38,10,0.192,60,284,0,64,0,U.S. 85,U.S. 64,U.S.
119,138,10,10,0.18,61,279,0,0,204,U.S. 85,N.M. 204,N.M.
135,142,10,39,0.392,62,278,0,64,0,U.S. 85,U.S. 64,U.S.
138,143,38,10,0.022,63,284,0,64,0,U.S. 85,U.S. 64,U.S.
142,143,10,44,0.007,64,278,0,64,0,U.S. 85,U.S. 64,U.S.
128,145,40,18,0.141,65,266,0,56,0,U.S. 64,U.S. 56,U.S.
35,145,18,8,0.541,66,269,0,0,406,U.S. 85,N.M. 406,N.M.
126,146,32,32,0.201,67,286,0,0,150,U.S. 85,N.M. 150,N.M.
145,153,40,8,0.059,68,266,0,56,0,U.S. 64,U.S. 56,U.S.
29,153,8,14,0.748,69,268,0,0,370,U.S. 85,N.M. 370,N.M.
153,154,46,14,0.003,70,266,0,64,0,U.S. 87,U.S. 64,U.S.
154,137,42,14,0.318,71,277,0,64,0,U.S. 87,U.S. 64,U.S.
153,157,40,46,0.012,72,268,0,87,0,U.S. 85,U.S. 87,U.S.
137,158,42,37,0.17,73,271,0,0,426,U.S. 85,N.M. 426,N.M.
123,158,37,25,0.173,74,270,0,0,120,U.S. 85,N.M. 120,N.M.
158,159,25,25,0.183,75,271,0,0,426,U.S. 85,N.M. 426,N.M.
146,160,32,32,0.04,76,286,0,0,150,U.S. 85,N.M. 150,N.M.
107,160,32,11,0.311,77,289,0,0,522,U.S. 85,N.M. 522,N.M.
160,116,35,11,0.449,78,286,0,64,0,U.S. 85,U.S. 64,U.S.
143,161,38,44,0.33,79,278,0,0,58,U.S. 85,N.M. 58,N.M.
135,165,39,32,0.148,80,288,0,64,0,U.S. 85,U.S. 64,U.S.
157,166,40,47,0.152,81,268,0,87,0,U.S. 85,U.S. 87,U.S.
160,169,32,35,0.063,82,289,0,64,0,U.S. 85,U.S. 64,U.S.
121,170,36,34,0.306,83,320,0,0,519,U.S. 85,N.M. 519,N.M.
174,176,19,39,0.001,84,184,0,0,0,U.S. 85,Unknown,Unknown
165,169,48,32,0.328,85,288,0,64,0,U.S. 85,U.S. 64,U.S.
121,179,35,36,0.278,86,285,0,285,0,U.S. 85,U.S. 285,U.S.
170,181,36,45,0.033,87,320,0,0,111,U.S. 85,N.M. 111,N.M.
183,186,52,29,0.006,88,317,0,0,96,U.S. 85,N.M. 96,N.M.
154,188,46,42,0.493,89,266,0,56,0,U.S. 85,U.S. 56,U.S.
158,188,42,25,0.14,90,270,0,0,120,U.S. 85,N.M. 120,N.M.
183,181,45,52,0.14,91,321,0,0,554,U.S. 85,N.M. 554,N.M.
191,174,44,39,0.345,92,267,0,0,21,U.S. 85,N.M. 21,N.M.
191,142,39,44,0.214,93,283,0,0,21,U.S. 85,N.M. 21,N.M.
179,196,51,36,0.158,94,285,0,285,0,U.S. 85,U.S. 285,U.S.
181,196,36,52,0.044,95,320,0,0,111,U.S. 85,N.M. 111,N.M.
188,195,46,25,0.184,96,266,0,56,0,U.S. 85,U.S. 56,U.S.
195,198,54,25,0.217,97,266,0,56,0,U.S. 85,U.S. 56,U.S.
66,198,25,19,0.654,98,272,0,0,193,U.S. 85,N.M. 193,N.M.
198,200,54,19,0.213,99,266,0,56,0,U.S. 85,U.S. 56,U.S.
200,176,50,19,0.362,100,266,0,56,0,U.S. 85,U.S. 56,U.S.
204,165,48,39,0.161,101,316,0,0,434,U.S. 85,N.M. 434,N.M.
204,205,39,48,0.001,102,265,0,0,434,U.S. 85,N.M. 434,N.M.
208,191,39,39,0.088,103,283,0,0,0,U.S. 85,Unknown,Unknown
103,212,31,28,0.672,104,343,0,0,112,U.S. 85,N.M. 112,N.M.
92,214,28,17,1.007,105,344,0,0,95,U.S. 85,N.M. 95,N.M.
186,219,52,43,0.189,106,317,0,0,96,U.S. 85,N.M. 96,N.M.
219,211,56,43,0.171,107,317,0,84,0,U.S. 85,U.S. 84,U.S.
157,228,47,46,0.301,108,246,0,0,402,U.S. 85,N.M. 402,N.M.
228,225,47,59,0.145,109,248,0,0,421,U.S. 85,N.M. 421,N.M.
205,229,39,55,0.27,110,265,0,0,120,U.S. 85,N.M. 120,N.M.
61,231,16,2,0.643,111,345,0,666,0,U.S. 85,U.S. 666,U.S.
232,67,24,17,0.86,112,335,0,0,537,U.S. 85,N.M. 537,N.M.
196,236,51,52,0.306,113,285,0,285,0,U.S. 85,U.S. 285,U.S.
236,238,62,52,0.021,114,305,0,285,0,U.S. 85,U.S. 285,U.S.
238,219,56,52,0.201,115,304,0,84,0,U.S. 85,U.S. 84,U.S.
242,220,51,57,0.262,116,307,0,0,68,U.S. 85,N.M. 68,N.M.
236,242,51,62,0.052,117,285,0,0,74,U.S. 85,N.M. 74,N.M.
234,245,48,48,0.111,118,308,0,0,121,U.S. 85,N.M. 121,N.M.
223,245,48,58,0.441,119,307,0,0,518,U.S. 85,N.M. 518,N.M.
228,247,59,46,0.155,120,246,0,0,402,U.S. 85,N.M. 402,N.M.
229,250,39,60,0.386,121,265,0,0,120,U.S. 85,N.M. 120,N.M.
258,242,62,57,0.05,122,307,0,0,68,U.S. 85,N.M. 68,N.M.
261,238,56,62,0.094,123,304,0,285,0,U.S. 84,U.S. 285,U.S.
205,263,55,48,0.385,124,315,0,0,434,U.S. 85,N.M. 434,N.M.
245,263,48,58,0.098,125,308,0,0,518,U.S. 85,N.M. 518,N.M.
200,266,54,50,0.378,126,235,0,0,39,U.S. 85,N.M. 39,N.M.
231,268,61,2,0.463,127,346,0,0,134,U.S. 85,N.M. 134,N.M.
195,270,46,54,0.712,128,250,0,0,120,U.S. 85,N.M. 120,N.M.
266,270,54,63,0.011,129,235,0,0,0,U.S. 85,Unknown,Unknown
229,273,60,55,0.342,130,309,0,0,21,U.S. 85,N.M. 21,N.M.
263,273,55,69,0.095,131,308,0,0,518,U.S. 85,N.M. 518,N.M.
250,266,50,63,0.573,132,265,0,0,120,U.S. 85,N.M. 120,N.M.
273,275,60,69,0.027,133,309,0,0,518,U.S. 85,N.M. 518,N.M.
247,279,59,64,0.176,134,246,0,0,402,U.S. 85,N.M. 402,N.M.
295,247,46,64,0.645,135,249,0,0,102,U.S. 85,N.M. 102,N.M.
263,297,69,58,0.147,136,315,0,0,94,U.S. 85,N.M. 94,N.M.
295,279,64,71,0.542,137,247,0,0,420,U.S. 85,N.M. 420,N.M.
282,297,58,58,0.141,138,311,0,0,105,U.S. 85,N.M. 105,N.M.
270,304,46,63,0.227,139,235,0,0,39,U.S. 85,N.M. 39,N.M.
277,306,60,60,0.111,140,313,0,0,477,U.S. 85,N.M. 477,N.M.
308,295,46,71,0.144,141,247,0,0,102,U.S. 85,N.M. 102,N.M.
275,315,60,70,0.32,142,314,0,0,161,U.S. 85,N.M. 161,N.M.
304,308,46,74,0.229,143,235,0,0,39,U.S. 85,N.M. 39,N.M.
297,322,69,58,0.13,144,311,0,0,94,U.S. 85,N.M. 94,N.M.
275,324,70,69,0.139,145,309,0,0,518,U.S. 85,N.M. 518,N.M.
322,324,69,58,0.014,146,311,0,0,266,U.S. 85,N.M. 266,N.M.
322,327,58,58,0.1,147,312,0,0,266,U.S. 85,N.M. 266,N.M.
231,348,16,61,0.599,148,345,0,666,0,U.S. 85,U.S. 666,U.S.
348,339,80,61,0.282,149,347,0,0,264,U.S. 85,N.M. 264,N.M.
345,351,81,59,0.071,150,234,0,54,0,U.S. 85,U.S. 54,U.S.
279,351,59,71,0.295,151,246,0,0,402,U.S. 85,N.M. 402,N.M.
312,357,63,75,0.408,152,264,0,0,97,U.S. 85,N.M. 97,N.M.
360,362,58,70,0.011,153,310,0,0,65,U.S. 85,N.M. 65,N.M.
324,362,70,58,0.177,154,309,0,0,518,U.S. 85,N.M. 518,N.M.
362,341,58,58,0.213,155,310,0,0,65,U.S. 85,N.M. 65,N.M.
365,357,75,84,0.344,156,263,0,0,104,U.S. 85,N.M. 104,N.M.
348,374,16,80,0.105,157,345,0,666,0,U.S. 85,U.S. 666,U.S.
374,375,16,89,0.094,158,185,40,0,0,U.S. 85,I 40,Interstate
385,374,80,89,0.081,159,185,40,0,0,U.S. 85,I 40,Interstate
375,386,16,90,0.126,160,185,40,0,0,U.S. 85,I 40,Interstate
382,387,89,89,0.012,161,359,0,0,602,U.S. 85,N.M. 602,N.M.
387,375,89,90,0.095,162,200,0,0,564,U.S. 85,N.M. 564,N.M.
389,385,93,91,0.077,163,185,40,0,0,U.S. 85,I 40,Interstate
401,389,80,91,0.058,164,185,40,0,0,U.S. 85,I 40,Interstate
357,407,63,84,0.453,165,263,0,0,104,U.S. 85,N.M. 104,N.M.
407,304,63,74,0.776,166,263,0,0,419,U.S. 85,N.M. 419,N.M.
386,415,16,90,0.336,167,185,40,0,0,U.S. 85,I 40,Interstate
418,401,95,91,0.125,168,185,40,0,0,U.S. 85,I 40,Interstate
421,418,80,91,0.009,169,185,40,0,0,U.S. 85,I 40,Interstate
308,424,71,74,0.624,170,235,0,0,39,U.S. 85,N.M. 39,N.M.
415,430,49,90,0.174,171,185,40,0,0,U.S. 85,I 40,Interstate
424,432,81,74,0.034,172,235,0,54,0,U.S. 85,U.S. 54,U.S.
430,435,49,90,0.045,173,185,40,0,0,U.S. 85,I 40,Interstate
407,438,74,84,0.131,174,238,0,0,104,U.S. 85,N.M. 104,N.M.
426,451,99,74,0.106,175,216,0,0,104,U.S. 85,N.M. 104,N.M.
438,451,74,103,0.244,176,239,0,0,104,U.S. 85,N.M. 104,N.M.
435,453,49,102,0.095,177,201,0,0,122,U.S. 85,N.M. 122,N.M.
453,454,107,102,0.009,178,362,0,0,0,U.S. 85,Unknown,Unknown
435,454,102,90,0.101,179,185,40,0,0,U.S. 85,I 40,Interstate
432,455,81,101,0.191,180,230,0,0,469,U.S. 85,N.M. 469,N.M.
405,464,96,86,0.414,181,241,0,0,34,U.S. 85,N.M. 34,N.M.
411,464,86,98,0.274,182,203,0,285,0,U.S. 85,U.S. 285,U.S.
466,462,81,111,0.063,183,186,40,0,0,U.S. 66,I 40,Interstate
455,466,81,109,0.271,184,232,0,0,392,U.S. 85,N.M. 392,N.M.
426,468,74,99,0.509,185,215,0,0,104,U.S. 85,N.M. 104,N.M.
432,468,101,74,0.362,186,235,0,54,0,U.S. 85,U.S. 54,U.S.
469,475,113,107,0.008,187,352,0,0,605,U.S. 85,N.M. 605,N.M.
454,475,107,108,0.104,188,185,40,0,0,U.S. 85,I 40,Interstate
476,474,101,115,0.063,189,186,40,0,0,U.S. 66,I 40,Interstate
478,476,101,116,0.049,190,244,0,0,0,U.S. 85,Unknown,Unknown
468,478,101,99,0.008,191,215,0,0,0,U.S. 85,Unknown,Unknown
483,478,99,118,0.059,192,244,0,54,0,U.S. 85,U.S. 54,U.S.
484,476,116,115,0.052,193,186,40,0,0,U.S. 66,I 40,Interstate
478,484,116,118,0.021,194,215,0,0,0,U.S. 85,Unknown,Unknown
469,485,49,113,0.046,195,201,0,0,122,U.S. 85,N.M. 122,N.M.
486,484,118,119,0.055,196,186,40,0,0,U.S. 66 & 54,I 40,Interstate
483,486,118,99,0.004,197,245,0,0,0,U.S. 85,Unknown,Unknown
488,483,99,99,0.034,198,244,0,54,0,U.S. 85,U.S. 54,U.S.
485,489,120,113,0.009,199,366,0,0,53,U.S. 85,N.M. 53,N.M.
475,489,113,108,0.046,200,185,40,0,0,U.S. 85,I 40,Interstate
498,466,109,112,0.241,201,186,40,0,0,U.S. 66,I 40,Interstate
455,498,109,101,0.111,202,230,0,0,469,U.S. 85,N.M. 469,N.M.
474,498,101,114,0.298,203,186,40,0,0,U.S. 66,I 40,Interstate
502,507,104,123,0.073,204,185,40,0,0,U.S. 85,I 40,Interstate
507,508,106,126,0.034,205,185,40,0,0,U.S. 85,I 40,Interstate
489,513,120,121,0.121,206,185,40,0,0,U.S. 85,I 40,Interstate
503,516,125,124,0.058,207,197,0,66,0,U.S. 85,U.S. 66,U.S.
485,518,49,120,0.14,208,201,0,0,117,U.S. 85,N.M. 117,N.M.
513,518,120,127,0.015,209,185,40,0,0,U.S. 85,I 40,Interstate
520,503,110,124,0.075,210,186,40,0,0,U.S. 85,I 40,Interstate
524,520,106,124,0.01,211,186,40,0,0,U.S. 85,I 40,Interstate
525,486,99,119,0.506,212,186,40,0,0,U.S. 66 & 54,I 40,Interstate
451,525,99,103,0.253,213,216,0,0,129,U.S. 85,N.M. 129,N.M.
518,514,49,127,0.133,214,185,40,0,0,U.S. 85,I 40,Interstate
508,527,106,126,0.115,215,186,40,0,0,U.S. 85,I 40,Interstate
527,522,127,126,0.151,216,198,0,66,0,U.S. 85,U.S. 66,U.S.
503,529,110,125,0.131,217,186,40,0,0,U.S. 85,I 40,Interstate
527,524,106,127,0.106,218,186,40,0,0,U.S. 85,I 40,Interstate
529,531,131,125,0.004,219,253,0,0,0,U.S. 85,Unknown,Unknown
