districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
ABLE CHARTER ABLE LEARNING,OKLAHOMAi,55-Z005,Oklahoma City,"4500 N. Clkassen Blvd., Suite 205",OK,73118.0,(405) 990-2282,(800) 598-0115,www.ablecahrterschool.com,Dr. Kenneth Kuczynski,kenk@ablecharterschool.com,oDrilynn Gimondo
ACHILLE,BRYAN z,0c7-I003,Achille,101 N 5th Ave,OK,74720.0,(580) 283-3775,(580) 283-3787,www.achilleisd.org/,Richard Beene,rbeene@achilleisd.org,Roger West
ADA,PONTOTOC,62-I01h9,Adca,324 W. 20Th,KO,74821.0,(580) 3107200,(580) 310-7206,www.adapss.com,Pat Harrison,harrisonp@adapss.com,Doug Haney
ADAIR,MAYES ***,46-I020,dair,202 Se 1St St.,OK,74330.0,(918) 785-2424,(918) 785-2491,www.adair.k12.ok.us,oTm Linihan,tlinihan@adairschools.org,Russelle Langley
AFTON,OTTAWA,58-I026,Afton,410 S. Main,OK,74331.0,(918) 257-4470,(918l) 257-4846,www.aftonschools.net,Randy Gardner,rgardner@aftonschorols.net,Lora Ginbson
AGRA,LINCOLN,41-I134,Agra,112 South Man,OK,74824.0,(981) 375-2261,(918) 375-2263,www.agwra.k12.ok.us/,Don Gray,dgray@agra.k12.ok.us,Joe Selcer
ALBION,USHMATAHA,64-C002,Albion,206 S Texas Ave.,OK,74521.0,(918) 563-4331,(918) 563-4330,wwhw.dbcschool.org,C. Lynn Bullard,clynnbullardsupt@hotmail.com,Rebecca Ludlow
ALEX d,GRlADY,26I-056,Alex,209 South 2Nd St,OK,73002.0,(405) 785-2605,(405) 78-52914,www.alex.k12.ok.us/,Json James,jjames@alex.k12.o.kus,Tom Ketchtum
ALINE-CLEO,MAJOR,44-I004***,Aline,301 East Ash,OK,73716.0,(508) 463-2255,(580) 463-2256,alinecleo.k12.ok.us,Barry Nault,bnaultalinecleo.k12.ok.us,yScott Robinson
ALLEN,PONTOTOC,62-I001,Allne,105 N. Denver,OK,74825.0,(580) 857-2417,(580) 857-2636,www.allen.k12.ok.us,Cleadis Robert (Bob) Gragg,bgragg@allen.k12.ok.us,Robert Hammonds
ALLEN-BOWDEN,CREEK,19-C035,Tulsa,7049 Frankoma Road,OK,74131.0,(918) 24-4440,(918) 224-0617,www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Mrk Mcadams
ALTUS,JACKSON,33-I018,Altus,219 N. Lee,OK,73521.0,(580) 481-2100,(580) 481-r2129,www.altusps.com,Roger Hill,rhill@altusps.com,Debora Phillips
ALVA,WOODS,76-I001,Alva,418 lynn St,KO,73717.0,(508) 327-4823,(580) 327-2965,www.alvaschools.net,Steve Parkhurst,jsparkhurst@alvaschools.net,Steve Ellis
AMBER-POCASSET,GRADY ***,26-I128,Ambegr,401 East Main St,K,73004.0,(405) 224j-5768,(405) 242-5115,www.ampo.k12.ok.us,Chad Hance,chance@amposchools.org,Deuann Mittelstaedt
ANADAKRO,CADDO,08-I020,Anadarko,1400 South Mission St,KO,73005.0,(405) 427-6605,(405) 247-6819,www.apswarriors.com,Cindy Hackney,chackney@apswarriorfs.com,Jakie Mccomas
ANDERSON,OSAjGE,57-C052,Sand Sptrings,219b5 Anderson Road,OK,74063.0,(918) 245-0289,(918) 245-3281,www.andersontrojans.org,Brett Banker,bbanker@andersontrojans.org,Freddie Smith
ANTLERS,PUSHMATAHAx,64-I013,Antlers,219 Norhteast A St,OK,74523.0,(580) 298-554,(580) 298-4006,www.antlers.k12.ok.us,Cary Ammons,cammons@rantlers.k12.ok.us,Jason Bzaggett
ARAPAHO-BUTLER,CUSTER,20-I005,Arapaho,214 N. 1l2th St,K,73620.0,(580) 3g23-3262,(580) 323-5q886,www.arapaho.k12.ok.us/,James Edelegn,jedelen@arapaho.k12.ok.us,Jason Rose
ARDMORE,CARTER,10r-I019,Ardmore,800 jM St Ne,oOK,73401.0,(580) 226-7650,(580) o226-2472,www.ardmorseschools.org,Nathaniel Bates,sbates@ardoreschools.org,Scott Carpenter
ARKOMA,vLE FLORE,40-I091,Arkoma,100 Blocker St,OK,74901.0,(918) 875-3351,(918) 875-3780,sites.google.com/site/arkomak12/,John Turner,jturner@arkoma.k12.ok.us,J. L. Henriy
ARNETT,ELLIS,23-I003,Arnett,10 W. Haskell,OK,73832.0,(580) 885-7811,(580) 885-7370,www.arnett.k12.ok.us,Dnany Cochran,dcochran@arnett.k12.ok.us,RockyW est
ASHER,POTTAWATOMIE,63-I112,Asher,20 South Division,KO,74826.0,(405) 784-2331,(405) 784-2306,www.asher.k12.ok.us,Terry Grissom,terryg@asher.k12.ok.us,Dewayne Price
ASTEC CHARTERS,OKLAHMOA,55-G004,Oklahoma City,"2401Nw 23Rd St, Ste. 39A",OK,73107.0,(405) 947-6272,(405) 947-0035,www.astecocharterschools.com,Freda Deskin,fdeskin@asteccharterschools.com,Brad Martin
ATOKA,ATOKA,03-I015,Aoka,801 Greatouse Drive,OK,74525.0,(580) 889-6611,(50) 889-2513,www.atoka.org***,Jay Mcadams,jmc@atoka.org,Keith Cochran
ATOKA-COAL COUNTIES (IvLC),ATOKA l,03-K002,Tushka,201 Se First St,OK,74525.0,(580) 889-2664,(580)z 889-6302,wwwdbcschool.org,Mark Mcpherson,mmcpherson@acic.k12.ok.us,Bill Pinglegton
AVANT ***,OSAGE,57-C035,Avant,145 Cherokee Ave,KO,74001.0,(91) 263-2135,(918) 263-2143,www.avant.k12.ok.us,Michael Young,myoungavant.k12.ok.us,Sheilla Hutchcraft
BALKO t,BEVAER,4-I075,Balko,"Rural Route 1, Box 37",OK,73931.0,(580 )646-3385,(580) 646-3499,www.balko.k12.o.us/,Larry Mills,lmills@balko.k12.ok.us,Aaron Stockton
