districtname,countyname,code,city,address,statevalue,zip,phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
ABLE CHARTER ABLE LEARNING,OKLAHOMA,55-Z005,Oklahoma City,"4500 N. Classen Blvd., Suite 205",OK,73118.0,(405) 990-2282,(800) 598-0115,www.ablecharterschool.com,Dr. Kenneth Kuczynski,kenk@ablecharterschool.com,Dorilynn Gimondo
ACHILLE,BRYAN,07-I003,Achille,101 N 5th Ave,OK,74720.0,(580) 283-3775,(580) 283-3787,www.achilleisd.org/,Richard Beene,rbeene@achilleisd.org,Roger West
ADA,PONTOTOC,62-I019,Ada,324 W. 20Th,OK,74821.0,(580) 310-7200,(580) 310-7206,www.adapss.com,Pat Harrison,harrisonp@adapss.com,Doug Haney
ADAIR,MAYES,46-I002,Adair,202 Se 1St St.,OK,74330.0,(918) 785-2424,(918) 785-2491,www.adair.k12.ok.us,Tom Linihan,tlinihan@adairschools.org,Russell Langley
AFTON,OTTAWA,58-I026,Afton,410 S. Main,OK,74331.0,(918) 257-4470,(918) 257-4846,www.aftonschools.net,Randy Gardner,rgardner@aftonschools.net,Lora Gibson
AGRA,LINCOLN,41-I134,Agra,112 South Main,OK,74824.0,(918) 375-2261,(918) 375-2263,www.agra.k12.ok.us/,Don Gray,dgray@agra.k12.ok.us,Joe Selcer
ALBION,PUSHMATAHA,64-C002,Albion,206 S Texas Ave.,OK,74521.0,(918) 563-4331,(918) 563-4330,www.dbcschool.org,C. Lynn Bullard,clynnbullardsupt@hotmail.com,Rebecca Ludlow
ALEX,GRADY,26-I056,Alex,209 South 2Nd St,OK,73002.0,(405) 785-2605,(405) 785-2914,www.alex.k12.ok.us/,Jason James,jjames@alex.k12.ok.us,Tom Ketchum
ALINE-CLEO,MAJOR,44-I004,Aline,301 East Ash,OK,73716.0,(580) 463-2255,(580) 463-2256,alinecleo.k12.ok.us,Barry Nault,bnault@alinecleo.k12.ok.us,Scott Robinson
ALLEN,PONTOTOC,62-I001,Allen,105 N. Denver,OK,74825.0,(580) 857-2417,(580) 857-2636,www.allen.k12.ok.us,Cleadis Robert (Bob) Gragg,bgragg@allen.k12.ok.us,Robert Hammonds
ALLEN-BOWDEN,CREEK,19-C035,Tulsa,7049 Frankoma Road,OK,74131.0,(918) 224-4440,(918) 224-0617,www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Mark Mcadams
ALTUS,JACKSON,33-I018,Altus,219 N. Lee,OK,73521.0,(580) 481-2100,(580) 481-2129,www.altusps.com,Roger Hill,rhill@altusps.com,Debora Phillips
ALVA,WOODS,76-I001,Alva,418 Flynn St,OK,73717.0,(580) 327-4823,(580) 327-2965,www.alvaschools.net,Steve Parkhurst,jsparkhurst@alvaschools.net,Steve Ellis
AMBER-POCASSET,GRADY,26-I128,Amber,401 East Main St,OK,73004.0,(405) 224-5768,(405) 224-5115,www.ampo.k12.ok.us,Chad Hance,chance@amposchools.org,Deann Mittelstaedt
ANADARKO,CADDO,08-I020,Anadarko,1400 South Mission St,OK,73005.0,(405) 247-6605,(405) 247-6819,www.apswarriors.com,Cindy Hackney,chackney@apswarriors.com,Jackie Mccomas
ANDERSON,OSAGE,57-C052,Sand Springs,2195 Anderson Road,OK,74063.0,(918) 245-0289,(918) 245-3281,www.andersontrojans.org,Brett Banker,bbanker@andersontrojans.org,Freddie Smith
ANTLERS,PUSHMATAHA,64-I013,Antlers,219 Northeast A St,OK,74523.0,(580) 298-5504,(580) 298-4006,www.antlers.k12.ok.us,Cary Ammons,cammons@antlers.k12.ok.us,Jason Baggett
ARAPAHO-BUTLER,CUSTER,20-I005,Arapaho,214 N. 12th St,OK,73620.0,(580) 323-3262,(580) 323-5886,www.arapaho.k12.ok.us/,James Edelen,jedelen@arapaho.k12.ok.us,Jason Rose
ARDMORE,CARTER,10-I019,Ardmore,800 M St Ne,OK,73401.0,(580) 226-7650,(580) 226-2472,www.ardmoreschools.org,Nathaniel Bates,sbates@ardmoreschools.org,Scott Carpenter
ARKOMA,LE FLORE,40-I091,Arkoma,100 Blocker St,OK,74901.0,(918) 875-3351,(918) 875-3780,sites.google.com/site/arkomak12/,John Turner,jturner@arkoma.k12.ok.us,J. L. Henry
ARNETT,ELLIS,23-I003,Arnett,103 W. Haskell,OK,73832.0,(580) 885-7811,(580) 885-7307,www.arnett.k12.ok.us,Danny Cochran,dcochran@arnett.k12.ok.us,Rocky West
ASHER,POTTAWATOMIE,63-I112,Asher,201 South Division,OK,74826.0,(405) 784-2331,(405) 784-2306,www.asher.k12.ok.us,Terry Grissom,terryg@asher.k12.ok.us,Dewayne Price
ASTEC CHARTERS,OKLAHOMA,55-G004,Oklahoma City,"2401 Nw 23Rd St, Ste. 39A",OK,73107.0,(405) 947-6272,(405) 947-0035,www.asteccharterschools.com,Freda Deskin,fdeskin@asteccharterschools.com,Brad Martin
ATOKA,ATOKA,03-I015,Atoka,801 Greathouse Drive,OK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,Jay Mcadams,jmc@atoka.org,Keith Cochran
ATOKA-COAL COUNTIES (ILC),ATOKA,03-K002,Tushka,201 Se First St,OK,74525.0,(580) 889-2664,(580) 889-6302,www.dbcschool.org,Mark Mcpherson,mmcpherson@acic.k12.ok.us,Bill Pinglegton
AVANT,OSAGE,57-C035,Avant,145 Cherokee Ave,OK,74001.0,(918) 263-2135,(918) 263-2143,www.avant.k12.ok.us,Michael Young,myoung@avant.k12.ok.us,Sheilla Hutchcraft
BALKO,BEAVER,04-I075,Balko,"Rural Route 1, Box 37",OK,73931.0,(580) 646-3385,(580) 646-3499,www.balko.k12.ok.us/,Larry Mills,lmills@balko.k12.ok.us,Aaron Stockton
BANNER,CANADIAN,09-C031,El Reno,2455 North Banner Road,OK,73036.0,(405) 262-0598,(405) 262-0628,www.banner.k12.ok.us,Larry York,ljyork68@banner.k12.ok.us,Mike Keller
BARNSDALL,OSAGE,57-I029,Barnsdall,200 S 8th St,OK,74002.0,(918) 847-2271,(918) 847-3029,www.barnsdallschools.org,Rick Loggins,rloggins@barnsdallschools.org,Billy Moles
BARTLESVILLE,WASHINGTON,74-I030,Bartlesville,1100 Sw Jennings,OK,74003.0,(918) 336-8600,(918) 337-3643,www.bps-ok.org,Gary Quinn,quinngw@bps-ok.org,Doug Divelbiss
BATTIEST,MCCURTAIN,48-I071,Broken Bow,5635 Unit E Battiest Pickens Road,OK,74728.0,(580) 241-7810,(580) 241-7847,www.dbcschool.org,Stace Ebert,eberts@battiest.k12.ok.us,James Hamilton
BEARDEN,OKFUSKEE,54-C029,Okemah,372006 Hwy 48,OK,74859.0,(918) 623-0156,(918) 623-9349,www.bearden.k12.ok.us,Danielle Deere,ddeere@bearden.k12.ok.us,Robert Adams
BEAVER,BEAVER,04-I022,Beaver,807 Ave. G,OK,73932.0,(580) 625-3444,(580) 625-3690,www.beaver.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
BEGGS,OKMULGEE,56-I004,Beggs,1201 West Ninth St,OK,74421.0,(918) 267-3628,(918) 267-3635,www.beggs.k12.ok.us,Rondald Martin,cswearingen@beggs.k12.ok.us,Michael Hubbell
BELFONTE,SEQUOYAH,68-C050,Muldrow,475751 State Highway 101,OK,74948.0,(918) 427-3522,(918) 427-1288,www.belfonte.k12.ok.us/,Paul Pinkerton,ppinkerton@belfonte.k12.ok.us,Mike Hyde
