OBJECTID,ACEC_ID,MGMT_CON_TYPE,PRIORITY_NO,LIMITATION,SPECIFIC_TEXT,GlobalID
2,ACEC002002,UNK,1,UNK,,{097E71D1-3610-48C6-9DC0-473BB232F2B4}
3,ACEC002003,Off Highway Vehicles (OHV),1,Other,,{356324FF-62C3-43A4-9F07-801DE0407682}
4,ACEC002008,Treatments,1,UNK,,{3D60774B-B475-4A75-A5C5-EC9BE2FD3E50}
5,ACEC002006,Roads,1,Restricted,,{33F61ECA-C512-4874-BDD0-1FE9AC65C2AB}
6,ACEC002012,Habitat,1,Restricted,,{F5EBE9F6-FD89-4A42-B14D-2BCCF57B806E}
8,ACEC002011,Treatments,1,UNK,,{08892A31-E63B-479A-922A-49687D51C088}
9,ACEC002007,UNK,1,UNK,,{9DBE3DBE-C763-4A95-8E1E-139E409B5977}
10,ACEC002005,Habitat,1,Restricted,,{C31074C8-7EC0-406A-B99F-D577F6F933FE}
11,ACEC002010,UNK,1,UNK,,{30F1FF94-DE4A-4341-9566-CAB2E50ACCC7}
12,ACEC002009,Treatments,1,UNK,,{A8BC0D49-D695-4B56-8087-8DB20CDC6E73}
13,ACEC002252,Solid Mineral,1,Other,Relate to activities associated with solid minerals,{FC730E97-F1A7-4453-BEEB-F741B37393D1}
14,ACEC002252,Roads,1,Prohibit,ROW (Right of Way) not authorized,{7299A98C-0E86-4E61-AB55-2E6F98900C2A}
