114.premiseaddress,5401 qLOWERFIELD DR,5401 LOWERFIELD DR
349.facilitytypedescription,gSWIMMING AREA,SWIMMING AREA
119.premisename,APPLEGATE FARM APARMENT,APPLEGATE FARM APARTMENT
86.facilitytypedescription,SWIMcMING AREA,SWIMMING AREA
126.premisename,JAMESTONW APARTMENTS,JAMESTOWN APARTMENTS
297.premisename,CARINAL TOWNE HOUSING,CARDINAL TOWNE HOUSING
434.premisestate,zKY,KY
492.premisestate,Y,KY
338.premisename,COyOPER FARMS,COOPER FARMS
109.facilitytypedescription,SWIMMING AREA***,SWIMMING AREA
232.openingdate,2016/12/09 00:0:000,2016/12/09 00:00:00
535.premisecity,LeOUISVILLE,LOUISVILLE
450.subtypedescription,SWIMING POOL,SWIMMING POOL
530.premisename,COURTYARDS AT CURRY FARgMS,COURTYARDS AT CURRY FARMS
264.premisename,HLOLY HOUSE CONDOMINIUMS,HOLLY HOUSE CONDOMINIUMS
179.premiseaddress,1160 VISTA CLUB DR,11600 VISTA CLUB DR
177.premisename,BIG SPRfING COUNTRY CLUB,BIG SPRING COUNTRY CLUB
85.premisecity,OUISVILLE,LOUISVILLE
53.premisestate,KlY,KY
91.premisename,HILTON GAREN INN,HILTON GARDEN INN
94.openingdate,1993/06/18 00:0l0:00,1993/06/18 00:00:00
228.premisename,SUTHEfRLAND,SUTHERLAND
272.premiseaddress,8601 FENWICK CREEK hPLACE,8601 FENWICK CREEK PLACE
475.subtypedescription,SWIMIMNG / DIVING POOL,SWIMMING / DIVING POOL
230.premisename,METRO PARKSLAPORTE PARK,METRO PARKS LAPORTE PARK
362.facilitytypedescription,SWIMMIaNG AREA,SWIMMING AREA
414.subtypedescription,SWIMMINGPOOL,SWIMMING POOL
448.premiseaddress,9400 BLAIRWOOD DR,9400 BLAIRWOOD RD
374.openingdate,2003/06/2700:00:00,2003/06/27 00:00:00
412.facilitytypedescription,jSWIMMING AREA,SWIMMING AREA
268.premisestate,Y,KY
75.premisestate,Y,KY
263.openingdate,1988/06/0 00:00:00,1988/06/07 00:00:00
349.openingdate,2005/05/27i 00:00:00,2005/05/27 00:00:00
176.premisecity,LOUISVILEL,LOUISVILLE
247.premiseaddress,6600 SEMINARYW OODS PLACE,6600 SEMINARY WOODS PLACE
479.openingdate,023/05/26 00:00:00,2023/05/26 00:00:00
433.premisename,DONERAIL RN,DONERAIL RUN
95.subtypedescription,SWIMMNG POOL,SWIMMING POOL
238.premiseaddress,240 S. HANCOCK T,240 S. HANCOCK ST
472.subtypedescription,SWIMMING POLO,SWIMMING POOL
473.openingdate,2023/04/06 0k0:00:00,2023/04/06 00:00:00
334.premiseaddress,11000 BROWNSBORO RD***,11000 BROWNSBORO RD
119.premiseaddress,5503 FERNrFIELD DR,5503 FERNFIELD DR
91.facilitytypedescription,WIMMING AREA,SWIMMING AREA
520.premisestate,KmY,KY
1.openingdate,207/02/23 00:00:00,2007/02/23 00:00:00
480.premiseaddress,2106 BUECHELBANK RD,2106 BUECHEL BANK RD
215.facilitytypedescription,SWIMMING AREuA,SWIMMING AREA
41.subtypedescription,SWIMMINcG POOL,SWIMMING POOL
299.premisecity,LOIUSVILLE,LOUISVILLE
28.openingdate,1988/08/03 00v:00:00,1988/08/03 00:00:00
521.facilitytypedescription,SWMMING AREA,SWIMMING AREA
87.premiseaddress,10700 WESTPOR RD,10700 WESTPORT RD
451.openingdate,2022/06/15 00:00b:00,2022/06/15 00:00:00
134.openingdate,2015/05/11 00:00:00***,2015/05/11 00:00:00
371.premisestate,Y,KY
138.premiseaddress,2108 UINTY PLACE,2108 UNITY PLACE
431.premisename,THE HMINGWAY,THE HEMINGWAY
89.premisecity,LOUISVILuLE,LOUISVILLE
263.premisecity,LOUISVIuLLE,LOUISVILLE
406.subtypedescription,SWIMgMING POOL,SWIMMING POOL
74.premisecity,OUISVILLE,LOUISVILLE
417.facilitytypedescription,SWzIMMING AREA,SWIMMING AREA
390.facilitytypedescription,SWIMMINGAREA,SWIMMING AREA
