Post (hide subjects),Posted by,When,Unnamed: 3
5D or 7D... dilemmaNew,ChuckMiller,"Jan 29, 2012",
What are you planning to shoot?New,rkodama1,"Jan 29, 2012",
Re: What are you planning to shoot?New,ChuckMiller,"Jan 29, 2012",
Re: What are you planning to shoot?New,iburdeinick,"Jan 29, 2012",
Re: What are you planning to shoot?New,jennajenna,"Jan 30, 2012",
Re: What are you planning to shoot?New,Keith Z Leonard,"Jan 29, 2012",
Re: What are you planning to shoot?New,shine1,"Jan 29, 2012",
Re: What are you planning to shoot?New,Y0GI,"Jan 30, 2012",
Re: What are you planning to shoot?New,dresner,"Jan 31, 2012",
Re: What are you planning to shoot?New,bluestreakrem,"Feb 1, 2012",
Re: What are you planning to shoot?New,KentG,"Feb 1, 2012",
Re: What are you planning to shoot?New,Y0GI,"Feb 1, 2012",
5D then.New,JackM,"Jan 30, 2012",
Re: 5D then.New,Faintandfuzzy,"Jan 30, 2012",
5D (from a 7D owner)New,tomKphoto,"Jan 31, 2012",
Re: 5D (from a 7D owner) secondedNew,Richard Katris,"Feb 1, 2012",
Re: What are you planning to shoot?New,KentG,"Feb 1, 2012",
Re: 5D or 7D... dilemmaNew,Zee Char,"Jan 29, 2012",
Re: 5D or 7D... dilemmaNew,Crimguy,"Jan 29, 2012",
Re: 5D or 7D... dilemmaNew,Keith Z Leonard,"Jan 29, 2012",
Re: 5D or 7D... dilemmaNew,John Pennington,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,Faintandfuzzy,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,Crimguy,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,Faintandfuzzy,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,JackM,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,Faintandfuzzy,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,JackM,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,Keith Z Leonard,"Jan 30, 2012",
Re: 5D or 7D... dilemmaNew,JackM,"Jan 30, 2012",
