2661.county,Coreyll ,Coryell 
685.statevalue,IlD,ID
2692.statecounty,TX_Freesotne,TX_Freestone
2149.fipstwo,4f0015,f40015
311.countytwo,Wsahington ,Washington 
149.statecounty,ARPerry,AR_Perry
3227.statevalue,Y,WY
178.county,Coxchise ,Cochise 
2800.countytwo,Presidiio ,Presidio 
1345.county,Goohue ,Goodhue 
2674.fipstwo,f4125,f48125
685.countytwo,tLatah ,Latah 
1916.statevalue,H,NH
1458.countytwo,Johsnon ,Johnson 
1415.county,eBnton ,Benton 
1069.countytwo,iLvingston ,Livingston 
1099.statecounty,KY_Plaski,KY_Pulaski
1883.fipstwo,f3131,f31131
2827.statevalue,XT,TX
2025.countytwo,Onondag a,Onondaga 
14.countytwo,Kodihak Island Borough,Kodiak Island Borough
629.fipstwo,pf19143,f19143
2714.statecounty,TX_Hartely,TX_Hartley
3063.countytwo,Kng ,King 
716.countytwo,Coo k,Cook 
491.county,Meriwethe ,Meriwether 
1774.countytwo,Cavailier ,Cavalier 
1663.fipstwo,30109,f30109
1603.countytwo,aWyne ,Wayne 
1681.county,Caswel ,Caswell 
1875.countytwo,Lou p,Loup 
2670.statecounty,TX_Deaf Smiht,TX_Deaf Smith
2528.fipstwo,f4723,f47023
965.county,Osxborne ,Osborne 
1071.county,Lyn ,Lyon 
150.statevalue,oAR,AR
1357.statecounty,MN_Lac qui Pale,MN_Lac qui Parle
1010.statevalue,Y,KY
2441.statevalue,pSC,SC
1703.countytwo,Granivlle ,Granville 
137.fipstwo,f0508o1,f05081
2314.fipstwo,42119,f42119
2747.fipstwo,f84271,f48271
3180.fipstwo,54045,f54045
1935.statevalue,JN,NJ
653.statevalue,AI,IA
1781.countytwo,GoldenValley ,Golden Valley 
2170.statecounty,OqK_Harmon,OK_Harmon
345.statecounty,FL_ilchrist,FL_Gilchrist
2200.fipstwo,f4c0117,f40117
13.statecounty,AK_Ketchikan Gateway Brough,AK_Ketchikan Gateway Borough
879.county,Sulliavn ,Sullivan 
21.fipstwo,f0298,f02198
1667.fipstwo,fe37005,f37005
1953.fipstwo,f35012,f35021
766.county,ercer ,Mercer 
321.fipstwo,f090l15,f09015
491.statevalue,GoA,GA
1605.statevalue,SM,MS
576.county,Chicksaw ,Chickasaw 
1682.statecounty,N_Catawba,NC_Catawba
1896.statecounty,NES_cotts Bluff,NE_Scotts Bluff
1560.statecounty,MnS_Jones,MS_Jones
3222.countytwo,Johnvson ,Johnson 
1969.statecounty,NM_Sierra***,NM_Sierra
3018.fipstwo,f5183,f51183
529.countytwo,Tif t,Tift 
3093.statevalue,IW,WI
3207.county,Wayn ,Wayne 
417.statecounty,pGA_Chatham,GA_Chatham
1342.fipstwo,f2p7043,f27043
802.statevalue,IaL,IL
22.county,Simtka City and Borough,Sitka City and Borough
2510.countytwo,odd ,Todd 
2686.countytwo,Faytte ,Fayette 
