OBJECTID,KSLIDE_ID,SW_ID,LOCATION,YEAR_,MONTH_,DAY_,FILENUMBER,COMMENTS,COMMENTS_2,COMMENTS_3,CREATED_DATE,LAST_EDITED_DATE,PARCELS_IMPACTED,RECID,SHAPE_Length
1,,,8838 39th Ave S,1997,3,19,96-97 Storm,Scarp line based on sketch. Refer to slide point on 8838 39th Ave S.,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,8838 39th Ave S,321,65.0397549430191
2,,,1524 Magnolia Way W,1997,1,2,"96-97 Storm, SED M-3",,"Rough estimate of the Magnolia Bridge scarp line based on Inspection Forms, photos, and a partial sketch of the scarp.",Refer to the initiation point on 1524 Magnolia Way W.,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,1500-1552 Magnolia Way W & 2001 W Garfield St,327,478.90715890704
3,,,3507 SW Hanford St,1997,1,,96-97 Storm,Scarp line based on sketch in attached file.,Refer to slide point near elevation 292 ft just west of scarp.,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,3507 SW Hanford St,328,165.513441851067
4,,,1655 E Boston Terrace,1997,1,,96-97 Storm,,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,1655 E Boston Terrace,329,54.5089015389855
5,,,8826 39th Ave S,1997,3,19,96-97 Storm,Scarp line based on sketch. Refer to slide point on 8826 39th Ave S.,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,"8818, 8826 39th Ave S",339,92.8990349996088
6,,,1671 E Boston Terrace ,1997,1,,96-97 Storm,,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,1671 E Boston Terrace,350,62.1439119126575
7,,,View Ave NW,1997,1,2,DCLU,This scarp was sketched from a geotechnical report.,Multiple mudflows over the course of several days occurred along this slope.,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,,648,333.750080733531
8,,,"622, 630 SW Othello St",1997,2,,96-97 Storm,Skin slide with 15' scarp about 25' from residence.,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,622 SW Othello St & 630 SW Othello St,657,110.389804835322
9,,,606 SW Othello St,1996,,,1995 or 1996,Slide was in either 1995 or 1996. ,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,606 SW Othello St & 612 SW Othello St,673,55.9988484816974
10,,,602 SW Othello St ,1997,2,,96-97 Storm,Skin slide with edge of scarp about 10' from residence.,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,602 SW Othello St & 606 SW Othello St,675,60.1023977547575
11,,,"4015, 4019 Aikins Ave SW",1997,1,1,96-97 Storm,Estimated scarp line based on photos and reports. Refer to slide point on 4019 Aikins Ave SW.,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,"4015, 4019 Aikins Ave SW",976,86.8886768343875
12,,,4832 35th Ave SW,1997,1,,96-97 Storm,Refer to slide point on 4832 35th Ave SW,,,2019/11/13 19:47:51+00,2019/11/13 19:47:51+00,"4832, 4842 35th Ave SW",978,121.524957847242
