362.datevalue,03/23/021 10:00:00 AM,03/23/2021 10:00:00 AM
642.datevalue,12/28/2021 10:00:t00 AM,12/28/2021 10:00:00 AM
112.datevalue,03/28/2020 10:00:00 AM,07/16/2020 10:00:00 AM
134.datevalue,04/16/2020 10:00:00 AM,08/07/2020 10:00:00 AM
271.datevalue,12/22/2020 10:00:00 MA,12/22/2020 10:00:00 AM
81.objectid,2.0,81
148.datevalue,08/21w/2020 10:00:00 AM,08/21/2020 10:00:00 AM
84.objectid,14.0,84
82.datevalue,05/13/2020 10:00:00 AM,06/16/2020 10:00:00 AM
329.datevalue,02/18/2021 10:00:0a0 AM,02/18/2021 10:00:00 AM
55.objectid,20.0,55
28.objectid,10.0,28
385.datevalue,04/15/2021 10:00:00 AM***,04/15/2021 10:00:00 AM
12.objectid,4.0,12
644.datevalue,12/30/2021 1:00:00 AM,12/30/2021 10:00:00 AM
285.datevalue,01/05/201 10:00:00 AM,01/05/2021 10:00:00 AM
361.datevalue,03/22/202 10:00:00 AM,03/22/2021 10:00:00 AM
80.objectid,16.0,80
111.objectid,16.0,111
89.objectid,27.0,89
77.objectid,1.0,77
540.datevalue,09/17/2021 10:n00:00 AM,09/17/2021 10:00:00 AM
108.objectid,4.0,108
374.datevalue,0z4/04/2021 10:00:00 AM,04/04/2021 10:00:00 AM
24.objectid,4.0,24
106.objectid,8.0,106
403.datevalue,05/03/202110:00:00 AM,05/03/2021 10:00:00 AM
30.objectid,4.0,30
76.datevalue,05/05/2020 10:00:00 AM,06/10/2020 10:00:00 AM
130.datevalue,03/27/2020 10:00:00 AM,08/03/2020 10:00:00 AM
46.objectid,1.0,46
114.objectid,4.0,114
72.objectid,27.0,72
166.datevalue,09/08/2020 g10:00:00 AM,09/08/2020 10:00:00 AM
66.objectid,2.0,66
351.datevalue,03/12/2021 10:c00:00 AM,03/12/2021 10:00:00 AM
78.objectid,36.0,78
82.objectid,27.0,82
13.objectid,8.0,13
303.datevalue,01/23/202 10:00:00 AM,01/23/2021 10:00:00 AM
71.objectid,22.0,71
233.datevalue,1a1/14/2020 10:00:00 AM,11/14/2020 10:00:00 AM
100.objectid,7.0,100
310.datevalue,10/30/2021 10:00:00 AM,01/30/2021 10:00:00 AM
592.datevalue,11/082/021 10:00:00 AM,11/08/2021 10:00:00 AM
59.objectid,5.0,59
357.datevalue,03/18/2021 10:00:00 lAM,03/18/2021 10:00:00 AM
56.datevalue,04/16/2020 10:00:00 AM,05/21/2020 10:00:00 AM
97.objectid,7.0,97
113.datevalue,04/04/2020 10:00:00 AM,07/17/2020 10:00:00 AM
54.objectid,1.0,54
83.objectid,58.0,83
107.datevalue,04/05/2020 10:00:00 AM,07/11/2020 10:00:00 AM
479.datevalue,07/182/021 10:00:00 AM,07/18/2021 10:00:00 AM
207.datevalue,10/19/020 10:00:00 AM,10/19/2020 10:00:00 AM
41.objectid,17.0,41
120.objectid,4.0,120
160.datevalue,09/02/2020 10:00:00a AM,09/02/2020 10:00:00 AM
79.objectid,10.0,79
435.datevalue,06/04/2021 10:0:000 AM,06/04/2021 10:00:00 AM
319.datevalue,02/80/2021 10:00:00 AM,02/08/2021 10:00:00 AM
45.datevalue,03/30/2020 10:00:00 AM,05/10/2020 10:00:00 AM
48.objectid,2.0,48
103.objectid,25.0,103
45.objectid,1.0,45
6.objectid,4.0,6
86.objectid,3.0,86
62.objectid,4.0,62
542.datevalue,09/19/2012 10:00:00 AM,09/19/2021 10:00:00 AM
15.objectid,2.0,15
291.datevalue,01/11/2021 10:0:00 AM,01/11/2021 10:00:00 AM
344.datevalue,03/05/2021k 10:00:00 AM,03/05/2021 10:00:00 AM
90.objectid,4.0,90
582.datevalue,10/29/202k1 10:00:00 AM,10/29/2021 10:00:00 AM
625.datevalue,12/11/2p021 10:00:00 AM,12/11/2021 10:00:00 AM
245.datevalue,11/26/20a20 10:00:00 AM,11/26/2020 10:00:00 AM
218.datevalue,e10/30/2020 10:00:00 AM,10/30/2020 10:00:00 AM
510.datevalue,08/18/2021 10:00:0o0 AM,08/18/2021 10:00:00 AM
124.objectid,3.0,124
51.objectid,20.0,51
98.datevalue,04/02/2020 10:00:00 AM,07/02/2020 10:00:00 AM
173.datevalue,09/15/2020 0:00:00 AM,09/15/2020 10:00:00 AM
101.objectid,36.0,101
52.objectid,3.0,52
413.datevalue,05/13/2021 10:00:0 AM,05/13/2021 10:00:00 AM
123.datevalue,04/05/2020 10:00:00 AM,07/27/2020 10:00:00 AM
487.datevalue,07/62/2021 10:00:00 AM,07/26/2021 10:00:00 AM
65.objectid,14.0,65
230.datevalue,11/11/2020 l10:00:00 AM,11/11/2020 10:00:00 AM
47.objectid,2.0,47
32.objectid,2.0,32
18.objectid,2.0,18
69.objectid,3.0,69
131.objectid,22.0,131
61.objectid,4.0,61
317.datevalue,02/06/2021 10:0000 AM,02/06/2021 10:00:00 AM
410.datevalue,0i5/10/2021 10:00:00 AM,05/10/2021 10:00:00 AM
40.objectid,3.0,40
76.objectid,22.0,76
458.datevalue,06/2/72021 10:00:00 AM,06/27/2021 10:00:00 AM
127.objectid,31.0,127
133.objectid,11.0,133
39.objectid,2.0,39
42.objectid,11.0,42
87.objectid,27.0,87
26.objectid,23.0,26
95.objectid,5.0,95
92.datevalue,04/16/2020 10:00:00 AM,06/26/2020 10:00:00 AM
99.objectid,5.0,99
172.datevalue,09/1/2020 10:00:00 AM,09/14/2020 10:00:00 AM
276.datevalue,12/27/2020 100:0:00 AM,12/27/2020 10:00:00 AM
73.objectid,4.0,73
490.datevalue,07/29/2021 10:00:00 cAM,07/29/2021 10:00:00 AM
104.datevalue,04/18/2020 10:00:00 AM,07/08/2020 10:00:00 AM
74.datevalue,03/31/2020 10:00:00 AM,06/08/2020 10:00:00 AM
74.objectid,4.0,74
614.datevalue,a11/30/2021 10:00:00 AM,11/30/2021 10:00:00 AM
136.datevalue,04/03/2020 10:00:00 AM,08/09/2020 10:00:00 AM
24.datevalue,03/30/2020 10:00:00 AM,04/19/2020 10:00:00 AM
387.datevalue,04/17l/2021 10:00:00 AM,04/17/2021 10:00:00 AM
185.datevalue,09/27/2020 01:00:00 AM,09/27/2020 10:00:00 AM
616.datevalue,12/02/2021 1x0:00:00 AM,12/02/2021 10:00:00 AM
112.objectid,31.0,112
326.datevalue,02/15/2021 10:00:00AM,02/15/2021 10:00:00 AM
75.datevalue,05/07/2020 10:00:00 AM,06/09/2020 10:00:00 AM
44.datevalue,04/03/2020 10:00:00 AM,05/09/2020 10:00:00 AM
118.objectid,25.0,118
34.objectid,16.0,34
19.objectid,4.0,19
91.objectid,27.0,91
35.objectid,8.0,35
541.datevalue,09/18/2021 10:0:00 AM,09/18/2021 10:00:00 AM
29.objectid,21.0,29
46.datevalue,04/02/2020 10:00:00 AM,05/11/2020 10:00:00 AM
50.objectid,10.0,50
65.datevalue,04/09/2020 10:00:00 AM,05/30/2020 10:00:00 AM
44.objectid,8.0,44
161.datevalue,09/03/2020 10:00:00AM,09/03/2020 10:00:00 AM
80.datevalue,04/20/2020 10:00:00 AM,06/14/2020 10:00:00 AM
102.objectid,8.0,102
482.datevalue,7/21/2021 10:00:00 AM,07/21/2021 10:00:00 AM
414.datevalue,05/14/202d1 10:00:00 AM,05/14/2021 10:00:00 AM
56.objectid,2.0,56
57.datevalue,03/31/2020 10:00:00 AM,05/22/2020 10:00:00 AM
511.datevalue,08/19/2y021 10:00:00 AM,08/19/2021 10:00:00 AM
151.datevalue,08/24/2020 1:00:00 AM,08/24/2020 10:00:00 AM
105.objectid,57.0,105
121.objectid,3.0,121
618.datevalue,12/04/2021 10:00:00 AjM,12/04/2021 10:00:00 AM
608.datevalue,1/24/2021 10:00:00 AM,11/24/2021 10:00:00 AM
343.datevalue,03/04/2021 10s:00:00 AM,03/04/2021 10:00:00 AM
108.datevalue,04/30/2020 10:00:00 AM,07/12/2020 10:00:00 AM
97.datevalue,03/28/2020 10:00:00 AM,07/01/2020 10:00:00 AM
55.datevalue,04/04/2020 10:00:00 AM,05/20/2020 10:00:00 AM
119.objectid,22.0,119
268.datevalue,12/k19/2020 10:00:00 AM,12/19/2020 10:00:00 AM
37.objectid,10.0,37
60.objectid,5.0,60
639.datevalue,12/25/2g021 10:00:00 AM,12/25/2021 10:00:00 AM
313.datevalue,02/02/p2021 10:00:00 AM,02/02/2021 10:00:00 AM
102.datevalue,04/16/2020 10:00:00 AM,07/06/2020 10:00:00 AM
67.objectid,1.0,67
68.objectid,2.0,68
88.objectid,21.0,88
105.datevalue,03/27/2020 10:00:00 AM,07/09/2020 10:00:00 AM
64.objectid,1.0,64
92.objectid,3.0,92
109.objectid,21.0,109
53.objectid,14.0,53
267.datevalue,12/18/20v20 10:00:00 AM,12/18/2020 10:00:00 AM
132.datevalue,04/05/2020 10:00:00 AM,08/05/2020 10:00:00 AM
209.datevalue,10/21/2020 10:00:0 AM,10/21/2020 10:00:00 AM
359.datevalue,30/20/2021 10:00:00 AM,03/20/2021 10:00:00 AM
115.datevalue,04/15/2020 10:00:00 AM,07/19/2020 10:00:00 AM
129.objectid,4.0,129
178.datevalue,09/20/2020 1:000:00 AM,09/20/2020 10:00:00 AM
126.objectid,25.0,126
579.datevalue,10/26/0221 10:00:00 AM,10/26/2021 10:00:00 AM
584.datevalue,10/31/2021 10b:00:00 AM,10/31/2021 10:00:00 AM
83.datevalue,04/06/2020 10:00:00 AM,06/17/2020 10:00:00 AM
617.datevalue,12/03/2021 0:00:00 AM,12/03/2021 10:00:00 AM
58.datevalue,04/05/2020 10:00:00 AM,05/23/2020 10:00:00 AM
332.datevalue,02/21/20211 0:00:00 AM,02/21/2021 10:00:00 AM
107.objectid,23.0,107
60.datevalue,04/08/2020 10:00:00 AM,05/25/2020 10:00:00 AM
562.datevalue,10/09/2021 10:0:00 AM,10/09/2021 10:00:00 AM
49.objectid,20.0,49
122.objectid,22.0,122
110.objectid,11.0,110
101.datevalue,04/08/2020 10:00:00 AM,07/05/2020 10:00:00 AM
386.datevalue,04/16/2021 10:f00:00 AM,04/16/2021 10:00:00 AM
51.datevalue,04/07/2020 10:00:00 AM,05/16/2020 10:00:00 AM
43.objectid,8.0,43
117.objectid,7.0,117
378.datevalue,40/08/2021 10:00:00 AM,04/08/2021 10:00:00 AM
621.datevalue,12/07/2021 10:0g0:00 AM,12/07/2021 10:00:00 AM
620.datevalue,12/06/202 10:00:00 AM,12/06/2021 10:00:00 AM
342.datevalue,03/03/2201 10:00:00 AM,03/03/2021 10:00:00 AM
70.objectid,9.0,70
164.datevalue,09/06/2020x 10:00:00 AM,09/06/2020 10:00:00 AM
93.objectid,14.0,93
116.datevalue,03/30/2020 10:00:00 AM,07/20/2020 10:00:00 AM
78.datevalue,04/03/2020 10:00:00 AM,06/12/2020 10:00:00 AM
63.objectid,20.0,63
125.objectid,22.0,125
85.objectid,1.0,85
241.datevalue,1122/2020 10:00:00 AM,11/22/2020 10:00:00 AM
135.datevalue,04/18/2020 10:00:00 AM,08/08/2020 10:00:00 AM
236.datevalue,11/17/2020 10:00:0 0AM,11/17/2020 10:00:00 AM
94.objectid,27.0,94
478.datevalue,07/17/202 10:00:00 AM,07/17/2021 10:00:00 AM
104.objectid,10.0,104
227.datevalue,11/0/2020 10:00:00 AM,11/08/2020 10:00:00 AM
75.objectid,14.0,75
528.datevalue,09/05/2021 10:00:00v AM,09/05/2021 10:00:00 AM
603.datevalue,111/9/2021 10:00:00 AM,11/19/2021 10:00:00 AM
157.datevalue,08/30/2020 1:000:00 AM,08/30/2020 10:00:00 AM
96.objectid,27.0,96
33.objectid,11.0,33
128.datevalue,04/12/2020 10:00:00 AM,08/01/2020 10:00:00 AM
49.datevalue,03/31/2020 10:00:00 AM,05/14/2020 10:00:00 AM
38.objectid,36.0,38
54.datevalue,04/29/2020 10:00:00 AM,05/19/2020 10:00:00 AM
98.objectid,9.0,98
355.datevalue,03/16/2021 10:0:00 AM,03/16/2021 10:00:00 AM
515.datevalue,08/23/202110:00:00 AM,08/23/2021 10:00:00 AM
