objectid(long),coundist(long),counname,counadd,counloc,counyrelected(long),counterm(long),counparty,counphoneno,counfax,counemail,commentsvalue,counweb,shapearea(double precision),shapelen(double precision)
2.0,1,JESSICA GREEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1101,,jessica.green@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-1,408970892.98321,139704.362361809
2.0,2,BARBARA SHANKLIN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1102,,barbara.shanklin@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-2,217202297.283477,89646.3002190043
2.0,3,KEISHA DORSEY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1103,,keisha.dorsey@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-3,197617856.880853,101545.319385398
4.0,4,JECOREY ARTHUR,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1104,,jecorey.arthur@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-4,180883833.884832,89420.3333677958
5.0,5,DONNA PURVIS,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1105,,donna.purvis@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-5,233949463.34757,79269.1548285207
6.0,6,DAVID JAMES,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1106,,david.james@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-6,143349262.273315,77269.0172548008
7.0,7,PAULA MCCRANEY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1107,,paula.mccraney@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-7,346549737.67079,124296.8136572
8.0,8,CASSIE ARMSTRONG,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1108,,cassie.armstrong@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-8,188280096.348281,79965.8842065789
9.0,9,BILL HOLLANDER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1109,,bill.hollander@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-9,283782621.025351,106254.501105293
10.0,10,PAT MULVIHILL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1110,,pat.mulvihill@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-10,279236519.03453,125661.289178396
11.0,11,KEVIN KRAMER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,R,502-574-1111,,kevin.kramer@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-11,306330104.772226,128357.594111735
12.0,12,RICK BLACKWELL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1112,,rick.blackwell@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-12,366008375.534173,132690.226682396
13.0,13,MARK FOX,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1113,,mark.fox@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-13,911637694.93547,203397.631358728
14.0,14,CINDI FOWLER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1114,,cindi.fowler@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-14,784664803.807497,214109.68778508
15.0,15,KEVIN TRIPLETT,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1115,,kevin.triplett@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-15,188001607.887746,96940.4586932216
