zip,eiaid,utilityname,state,servicetype,ownership,commrate,indrate,resrate
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.1068726355611601,0.0437957875457875,0.1124000721283885
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
38858,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.1275415896487985,0.0,0.1270452358036573
38858,230,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23308,84,Albany Utility Board,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23486,84,Albany Utility Board,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23350,55,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23395,230,City of Anaheim - (CA),VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23410,230,City of Aberdeen - (MS),VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23417,84,City of Ames - (IA),VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23426,84,Albany Utility Board,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
21864,84,A & N Electric Coop,VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
23414,84,City of Anaheim - (CA),VA,Bundled,Cooperative,0.1092887301071776,0.07822747137051,0.1210538706232271
