objectid(long),zcta_five_ce_one_zero(long),geoid_one_zero(long),funcstat_one_zero,aland_one_zero(long),awater_one_zero(long),county,sif_area(double precision),global_id,aland_one_zero_one(long),awater_one_zero_one(long),intptlat_one_zero_one(double precision),intptlon_one_zero_one(double precision),partflg_one_zero_one,geoid_one_zero_one_two(long),zcta_five_ce_one_zero_one_two(long),county_one_two,id(long),median_hh_income(double precision)
1,48371,2648371,S,110655621,4157391,Wayne,1.0,a7f9954d-8407-437f-9267-a068b2d25519,110655621,4157391,51.94769011953733,-83.2915307,N,2648371,48371,Oakland,161,72362.0
2,48380,2648380,S,65730039,4189694,Wayne,1.100325965481029,665df799-45bc-47d6-8858-f9f1d3c6d014,65730039,4189694,42.5830021,-83.6668237,N,2648380,48380,Oakland,165,90302.0
3,48081,2648081,S,10178038,3460922,Wayne,1.0,c3a3787a-9ac1-4817-9cea-195ec12ba783,10178038,3460922,42.494669,-82.8950389,N,2648081,48081,Macomb,34,57277.0
4,48315,2648315,S,33063561,425300,Wayne,1.0,168af005-994c-40c5-88cc-70b737974d65,33063561,425300,25.71955316110644,-82.996562,N,2648315,48315,Macomb,132,70210.0
5,48317,2648317,S,31361812,1328385,Wayne,1.0,fe86e94c-e388-4121-9763-444ae8e5bf69,31361812,1328385,42.6448395,-83.0519717,N,2648317,48317,Macomb,134,53279.0
6,48088,2648088,S,11490620,0,Wayne,0.7075003953421263,068b3fbd-930e-45d6-9bff-879b81e2fbf8,11490620,0,42.515645,-58.44526852856868,N,2648088,48088,Macomb,39,55876.0
7,48048,2648048,S,49265723,402169,Wayne,1.0,650ecdb0-a1bf-4cb7-80bc-3238b28567e2,49265723,402169,42.7457468,-82.7958699,N,2648048,48048,Macomb,19,54580.0
8,48236,2648236,S,19463663,3357791,Wayne,1.0,11f9e67a-5260-4d6e-92eb-14f2aafa98ba,19463663,3357791,42.425373,-82.8931944,N,2648236,48236,Wayne,115,94515.0
9,48383,2648383,S,38623150,2452196,Wayne,1.0,e2cf5d78-b6b4-4840-a89a-6e18e29c52c9,38623150,2452196,41.09245578919986,-83.525841,N,2648383,48383,Oakland,168,71047.0
10,48335,2648335,S,19519357,9310,Wayne,1.0,d0fc55ea-104f-459b-82ea-c8cf5b228b90,19519357,9310,52.198971469649656,-83.4051512,N,2648335,48335,Oakland,145,63597.0
11,48320,2648320,S,2832858,794949,Wayne,1.0,eb8eaacf-fd95-4230-97f4-911f051e14de,2832858,794949,42.6119345,-83.3380921,N,2648320,48320,Oakland,135,49036.0
12,48165,2648165,S,24100791,601254,Wayne,0.9746568801844104,357ec643-33b4-4321-b506-c39c0005dabd,24100791,601254,42.501565,-83.6169224,N,2648165,48165,Oakland,66,60208.0
13,48363,2648363,S,52310794,851170,Wayne,0.8523268054006404,950c40de-ef30-48f2-be91-7e9258f672b5,52310794,851170,42.7724831,-83.1624995,N,2648363,48363,Oakland,158,103955.0
14,48073,2648073,S,19104791,0,Wayne,1.0,725bcb46-e16d-47da-83c9-6ced8160d512,19104791,0,42.5192053,-83.1643617,N,2648073,48073,Oakland,30,60914.0
15,48083,2648083,S,22379873,0,Wayne,1.0617478575843506,24eae8ae-5bb0-4439-9f9a-26feb95a1a4d,22379873,0,42.5570211,-83.1168587,N,2648083,48083,Oakland,36,65547.0
16,48213,2648213,S,16923386,0,Wayne,1.0,c58ac1df-2605-481c-bea9-cb310be5ceda,16923386,0,42.3979308,-82.9952131,N,2648213,48213,Wayne,95,20914.0
17,48216,2648216,S,5747286,0,Wayne,1.0,7b1cbc84-cd9a-4efd-ba28-c2e8d31b75cf,5747286,0,42.3264844,-119.70936509219337,N,2648216,48216,Wayne,98,22762.0
18,48221,2648221,S,14119737,2042,Wayne,1.0,cba2f1e9-159a-4dbb-a4ae-9b90e2ed12e1,14119737,2042,42.4269999,-43.4208064741067,N,2648221,48221,Wayne,103,37693.0
19,48215,2648215,S,10395926,0,Wayne,1.0,0b61850e-7626-41dc-953e-41a65ffa6b76,10395926,0,42.3750512,-86.51323194966884,N,2648215,48215,Wayne,97,21633.0
20,48227,2648227,S,19504196,0,Wayne,1.0,2533e3fa-4fc1-4d9c-920b-bfc8770ad677,19504196,0,42.3872489,-83.1925916,N,2648227,48227,Wayne,108,29027.0
21,48128,2648128,S,6123655,134025,Wayne,1.0,09ce4ddd-4315-4a26-a520-4489061310af,6123655,134025,59.8029255259052,-83.2599691,N,2648128,48128,Wayne,56,76354.0
22,48195,2648195,S,17672628,12035,Wayne,1.0,8c45faa3-0f4e-44f5-8258-22f748962cec,17672628,12035,42.2049746,-83.2065107,N,2648195,48195,Wayne,82,48924.0
23,48192,2648192,S,13720595,377603,Wayne,1.0,812ed188-69c4-4064-b5ae-fedd3558e350,13720595,377603,42.208455,-43.82797913566753,N,2648192,48192,Wayne,80,51074.0
24,48230,2648230,S,8360759,3001154,Wayne,1.0,1a953fd2-5dd8-449a-a319-63d1753d4f39,8360759,3001154,62.08144528966918,-82.9218416,N,2648230,48230,Wayne,111,99714.0
25,48187,2648187,S,46813620,32123,Wayne,1.0,59770636-e44d-48bb-8421-8608651c1af3,46813620,32123,42.3255729,-83.4835758,N,2648187,48187,Wayne,78,76832.0
