2432.namelsad,Census Tact 1104.01,Census Tract 1104.01
2411.funcstat,***,S
3533.li_cor_dac,LCI,LIC
3230.li_cor_dac,LgIC,LIC
2225.mtfcc,G520,G5020
1895.namelsad,Census Tratc 4.04,Census Tract 4.04
4730.funcstat,,S
3591.funcstat,,S
4270.mtfcc,5G020,G5020
1292.mtfcc,G5t020,G5020
125.mtfcc,5020,G5020
1243.funcstat,***,S
129.li_cor_dac,Bosth,Both
1323.mtfcc,5020,G5020
550.namelsad,Census Tract 38.20,Census Tract 38.02
1261.mtfcc,G5200,G5020
1480.namelsad,ensus Tract 5358.04,Census Tract 5358.04
1703.mtfcc,G502t0,G5020
4340.li_cor_dac,ILC,LIC
4250.funcstat,,S
2117.li_cor_dac,Boht,Both
4602.li_cor_dac,Btoh,Both
3754.namelsad,Census Tract 9.10,Census Tract 79.10
2384.li_cor_dac,Boh,Both
413.mtfcc,G5002,G5020
4075.li_cor_dac,Bvoth,Both
1993.li_cor_dac,LCI,LIC
1609.mtfcc,G020,G5020
3642.mtfcc,Gf5020,G5020
4650.funcstat,dS,S
1565.namelsad,Census Tract w90.08,Census Tract 90.08
3691.namelsad,Cenysus Tract 33.02,Census Tract 33.02
266.namelsad,Census Tracty 71,Census Tract 71
95.namelsad,ensus Tract 29.01,Census Tract 29.01
289.mtfcc,5020,G5020
823.li_cor_dac,Boht,Both
3816.funcstat,***,S
2846.li_cor_dac,IC,LIC
538.li_cor_dac,oth,Both
1868.mtfcc,G5200,G5020
333.mtfcc,Gq5020,G5020
3582.namelsad,Census Tract4 814.01,Census Tract 4814.01
1920.namelsad,Cesnus Tract 3690.01,Census Tract 3690.01
4377.mtfcc,G5002,G5020
4333.li_cor_dac,Btoh,Both
4012.namelsad,Censvus Tract 5723.02,Census Tract 5723.02
2119.funcstat,***,S
255.namelsad,Census Trcat 2423,Census Tract 2423
3443.namelsad,Census Tract 212.20,Census Tract 2912.20
502.mtfcc,G5200,G5020
751.mtfcc,G5002,G5020
2358.li_cor_dac,LCI,LIC
1165.li_cor_dac,oth,Both
1291.mtfcc,Gq5020,G5020
4712.mtfcc,G5200,G5020
185.funcstat,mS,S
312.namelsad,Census Trcat 36.08,Census Tract 36.08
3165.namelsad,CensusT ract 55.02,Census Tract 55.02
219.funcstat,mS,S
3540.funcstat,,S
1812.li_cor_dac,IC,LIC
822.namelsad,Cenwsus Tract 457.07,Census Tract 457.07
4004.namelsad,Census Tract 4a.03,Census Tract 4.03
3829.namelsad,Census ract 9.04,Census Tract 9.04
1202.li_cor_dac,LgIC,LIC
1740.namelsad,Census Tract 2730,Census Tract 2703
1221.mtfcc,Gw5020,G5020
984.li_cor_dac,Boht,Both
2731.mtfcc,5020,G5020
761.mtfcc,G502a0,G5020
2026.funcstat,***,S
3465.namelsad,Census Trxact 4.01,Census Tract 4.01
4565.namelsad,Census Traczt 5534,Census Tract 5534
2335.namelsad,Cesnus Tract 46.01,Census Tract 46.01
2706.mtfcc,G020,G5020
3414.li_cor_dac,fLIC,LIC
1702.namelsad,eCnsus Tract 2411.20,Census Tract 2411.20
2609.li_cor_dac,IC,LIC
198.li_cor_dac,Botvh,Both
3758.funcstat,***,S
2406.namelsad,Cnensus Tract 995.09,Census Tract 995.09
3308.li_cor_dac,LCI,LIC
2952.li_cor_dac,LwIC,LIC
4384.namelsad,Census Tract 77.20,Census Tract 77.02
1318.namelsad,Cnsus Tract 9107.13,Census Tract 9107.13
3045.mtfcc,Gq5020,G5020
3404.funcstat,***,S
3390.li_cor_dac,ILC,LIC
3809.namelsad,Census ract 1201.03,Census Tract 1201.03
2502.mtfcc,G5002,G5020
1420.mtfcc,G5w020,G5020
2077.funcstat,tS,S
2321.li_cor_dac,LCI,LIC
3676.li_cor_dac,LIgC,LIC
430.li_cor_dac,Bokth,Both
934.namelsad,Census Tract 1r197,Census Tract 1197
876.mtfcc,G5w020,G5020
2835.mtfcc,5G020,G5020
2145.mtfcc,G020,G5020
3689.mtfcc,Gk5020,G5020
3941.li_cor_dac,Btoh,Both
3745.namelsad,CensusT ract 6500.04,Census Tract 6500.04
3102.funcstat,,S
3293.mtfcc,G5u020,G5020
2278.mtfcc,Gb5020,G5020
875.funcstat,***,S
489.funcstat,gS,S
1452.funcstat,yS,S
4364.funcstat,jS,S
3893.li_cor_dac,DCA,DAC
4173.namelsad,Census Tract 400.1,Census Tract 40.01
3849.li_cor_dac,xLIC,LIC
469.funcstat,,S
759.li_cor_dac,LhIC,LIC
2462.funcstat,***,S
650.funcstat,,S
2076.funcstat,,S
2823.namelsad,Census Trazct 5009.01,Census Tract 5009.01
4200.li_cor_dac,Bnoth,Both
847.mtfcc,G502b0,G5020
962.li_cor_dac,Boyth,Both
4692.namelsad,Census Tract 503d1.23,Census Tract 5031.23
1581.funcstat,,S
1921.mtfcc,5G020,G5020
2338.li_cor_dac,Boht,Both
2608.namelsad,Census Trac t70.14,Census Tract 70.14
1460.li_cor_dac,vLIC,LIC
2169.funcstat,,S
1982.funcstat,,S
1250.li_cor_dac,LC,LIC
3019.funcstat,***,S
4043.namelsad,Cenus Tract 24.01,Census Tract 24.01
3828.li_cor_dac,Bofth,Both
2019.funcstat,,S
3581.mtfcc,5G020,G5020
647.mtfcc,G5002,G5020
78.li_cor_dac,DAdC,DAC
2870.mtfcc,G0520,G5020
85.li_cor_dac,Botdh,Both
1365.li_cor_dac,LIuC,LIC
2372.li_cor_dac,oth,Both
3503.li_cor_dac,LCI,LIC
4484.mtfcc,G502k0,G5020
645.mtfcc,G0520,G5020
702.mtfcc,G020,G5020
2124.funcstat,,S
465.li_cor_dac,oLIC,LIC
1803.namelsad,Census Travct 1924.10,Census Tract 1924.10
757.funcstat,,S
3052.namelsad,ensus Tract 4024,Census Tract 4024
946.mtfcc,G520,G5020
73.funcstat,,S
3425.mtfcc,G502l0,G5020
2908.funcstat,***,S
2489.namelsad,Cnesus Tract 748.01,Census Tract 748.01
4733.li_cor_dac,LCI,LIC
1874.namelsad,Census Tract 163.20,Census Tract 163.02
24.namelsad,Census Tracqt 2,Census Tract 2
1202.mtfcc,G520,G5020
2153.namelsad,Census ract 5032.14,Census Tract 5032.14
4397.namelsad,Census Tracbt 27.02,Census Tract 27.02
2268.namelsad,Census Tract 29.50,Census Tract 29.05
4609.li_cor_dac,Boh,Both
1637.funcstat,,S
