1537.statecounty,MS_lCaiborne,MS_Claiborne
109.county,Cleeland ,Cleveland 
96.fips,2105.0,1133
244.county,vTrinity ,Trinity 
3186.statevalue,V,WV
1442.fipstwo,f2i9069,f29069
2158.countytwo,otton ,Cotton 
2529.county,Claibonre ,Claiborne 
101.statecounty,AK_Hoonah-Angoon Census Area,AR_Boone
890.county,Washivngton ,Washington 
400.statecounty,AR_Columbia,GA_Bartow
1662.statecounty,M_TWheatland,MT_Wheatland
2923.countytwo,Calrke ,Clarke 
2619.statevalue,X,TX
1396.countytwo,Switf ,Swift 
2042.fipstwo,f36110,f36101
2660.statevalue,XT,TX
165.statecounty,AL_Baldwin,AR_Stone
1471.fipstwo,f29191,f29119
196.fipstwo,f01063,f06009
2410.fipstwo,f4511,f45011
1360.statecounty,M_Le Sueur,MN_Le Sueur
2452.fipstwo,f4005,f46005
355.statevalue,LF,FL
256.fips,2122.0,8013
1916.statevalue,H,NH
2172.countytwo,Haskll ,Haskell 
1873.statevalue,NtE,NE
2382.countytwo,Rio Grande Mnuicipio,Rio Grande Municipio
354.statecounty,AK_Dillingham Census Area,FL_Holmes
125.statefips,2.0,5
808.countytwo,Bone ,Boone 
111.county,Juneau City and Borough,Conway 
2104.county,lMarion ,Marion 
700.countytwo,Washignton ,Washington 
442.statecounty,AG_Echols,GA_Echols
603.fipstwo,f19019,f19091
2995.county,Pirnce Edward ,Prince Edward 
2718.county,Hederson ,Henderson 
3140.statecounty,I_Rusk,WI_Rusk
502.statefips,60,13
2705.county,Guadavlupe ,Guadalupe 
2647.statecounty,TXChambers,TX_Chambers
389.statevalue,LF,FL
2933.fipstwo,51057,f51057
206.fipstwo,f02060,f06029
147.fips,1129.0,5101
1196.statevalue,A,MA
480.statecounty,GA_Le,GA_Lee
1932.statevalue,NmJ,NJ
159.statefips,2.0,5
246.statefips,2.0,6
506.countytwo,yPike ,Pike 
1364.countytwo,Marsahll ,Marshall 
2915.countytwo,Campboell ,Campbell 
2436.fipstwo,45063,f45063
177.fips,2013.0,4001
2643.statevalue,TdX,TX
104.county,Aleutians West Census Area,Carroll 
1935.statevalue,JN,NJ
1046.statecounty,KY_Hkardin,KY_Hardin
1758.statevalue,C,NC
1625.fipstwo,f0033,f30033
884.statecounty,IN_Vanderburhg,IN_Vanderburgh
297.fipstwo,f02188,f08093
3086.statevalue,I,WI
85.fipstwo,f01063,f01111
1497.countytwo,Reynols ,Reynolds 
940.fipstwo,f20v091,f20091
1094.statevalue,Y,KY
325.fips,2013.0,10005
65.statevalue,L,AL
330.county,Bdrevard ,Brevard 
2937.county,Fauquir ,Fauquier 
1420.countytwo,Caldwlel ,Caldwell 
51.fips,2105.0,1043
229.statecounty,AK_Bethel Census Area,CA_San Francisco
90.fipstwo,f02050,f01121
535.statecounty,GA_Twgigs,GA_Twiggs
275.statecounty,AK_Dillingham Census Area,CO_Grand
1855.countytwo,Gran t,Grant 
3034.fipstwo,f500y03,f50003
1648.countytwo,Priarie ,Prairie 
2510.countytwo,odd ,Todd 
2496.countytwo,Mead ,Meade 
1198.fipstwo,f24h001,f24001
2319.statecounty,PA_Westvmoreland,PA_Westmoreland
1037.statecounty,KY_ulton,KY_Fulton
2864.fipstwo,f8505,f48505
24.fips,2060.0,2240
397.fipstwo,f06069,f13009
2875.statevalue,UtT,UT
2650.countytwo,Caly ,Clay 
974.fipstwo,f20195,f20159
309.statevalue,OC,CO
41.statecounty,AL_Autauga,AL_Choctaw
1892.countytwo,zRock ,Rock 
639.statefips,112,19
216.statecounty,AK_Aleutians East Borough,CA_Modoc
276.fips,2105.0,8051
1893.countytwo,Shaline ,Saline 
310.statevalue,gCO,CO
2221.statecounty,OR_Cackamas,OR_Clackamas
2213.statecounty,KO_Tulsa,OK_Tulsa
3119.statecounty,WI_kLanglade,WI_Langlade
217.statecounty,AK_Haines Borough,CA_Mono
235.fipstwo,f02240,f06087
2122.countytwo,Putna m,Putnam 
485.countytwo,Lumopkin ,Lumpkin 
649.statefips,67,19
1264.county,Ggebic ,Gogebic 
1144.statevalue,AL,LA
1960.statevalue,M,NM
2943.statecounty,VA_Ftredericksburg city,VA_Fredericksburg city
656.county,Wrigt ,Wright 
546.statefips,75,13
1189.statevalue,MaA,MA
895.countytwo,Alen ,Allen 
87.fips,2050.0,1117
