OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SOURCE_LYR,ADMU_LNTYPE,GLOBALID,SHAPE_Length
1,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{AA74C270-FB67-4D1F-B4E8-09BD1503E01C},0.383155441284924
2,SUBDIVISION,SOURCEL,0,PLSSIntersected,FOB,{B5A83BC6-FA98-47DA-9575-0701DEC224E1},1.44071844917762
3,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{FA9372A0-7BFD-46F9-BE8E-8068A7BB88B6},0.596299785130681
4,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{628752CD-1B80-44DD-8C46-8FF942B09769},0.211435857836536
5,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{8E902D1E-C768-4CFD-8D01-0106A5B58872},0.393609622033015
6,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{F836197A-AE6D-432E-8FA8-08554148974F},1.22143855964511
7,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{30699E3F-8E8E-4C2B-B109-A3D6935C0ABA},0.0288311786936502
8,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{48533B39-447E-4959-A67E-88077D1585E1},0.507459382239844
9,SUBDIVISION,SOURCEL,0,PLSSIntersected,FOB,{0EC4E50F-5414-4F22-9D21-B7D5EADCDE00},0.555484180521522
10,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{8AD5A854-6C5D-4756-840D-E74C41E67A51},0.00862456275353689
11,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{62B6606B-EC2F-451F-A8AF-939F129C08CE},0.0158810790620603
12,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{0104BFD9-F5CF-4160-9776-C3FDF8421F46},0.0100914289814222
13,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{6BCE79F5-6EDD-4B22-BBE4-58B5606DD42B},0.0105145726153292
14,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{6CE6832D-0B43-4D15-B23E-732C3C112392},0.735902711434423
15,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{E4C4BAB3-1FF2-4CB0-B933-C236CC8A7DA0},0.54159648260236
16,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{5BF9935D-FF0D-40F2-8B73-A462A426DC83},0.480230627051773
17,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{7751C071-0265-4A19-A169-196C2C14F2BA},1.07897004870046
18,SUBDIVISION,SOURCEL,0,PLSSIntersected,FOB,{91F64CA7-4773-4D2E-8DA1-1F206A903439},0.0233100376040637
19,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{577EC196-8235-479D-B111-69A0B4048B48},0.00680781474207471
20,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{28E2A496-CAEA-4677-A8BB-706F35357EAB},0.00600444971551957
21,SUBDIVISION,SOURCEL,0,PLSSIntersected,DOB,{A3AE5167-6AFF-4AD3-996C-AFE156204267},0.00299931036649841
22,ROAD,SOURCEL,0,GTRN_PUB_ROADS_ARC,DOB,{69E5DE90-837B-4E05-AC96-2897CF95E298},0.10020331589652
23,ROAD,SOURCEL,1, ,FOB,{4088BBCB-C22F-4BD8-80A3-EA6F52E6810F},0.344446439158316
24,WATERCOURSE,SOURCEL,0,HYD_PUB_FLOWLINE,DOB,{984DE522-ABB6-43EB-A7A8-E7AFE418D0F6},0.248720527334959
25,CLOSURE,DIS,0,GCD_arc,DOB,{DB31AE21-7BCF-4878-A019-4925BB515D22},0.00144359002360234
26,WATERCOURSE,SOURCEL,0,HYD_PUB_FLOWLINE,DOB,{59999ED0-7740-4D39-A4E2-9F3E5CBFE99B},0.140018355796964
27,CLOSURE,DIS,1, ,DOB,{72172035-EA19-42AF-980C-B99C986EDB74},0.0320013589363197
28,FENCE,SOURCEL,0,GRA_ARC,FOB,{4EC3F7B2-4B53-4B31-81D4-082AB74BB6F0},0.00931543819573631
29,FENCE,SOURCEL,0,GRA_ARC,FOB,{87900BF8-B8B4-4855-8B41-4D4F6415D9DE},0.794640720200743
30,FENCE,SOURCEL,0,vdo_dob_rab_arc,FOB,{9E3AADDD-A8F5-4814-908E-3D1BF9C030CA},0.339493022078325
31,CLOSURE,DIS,1, ,FOBEXT,{E2758955-E405-426D-BEEE-1E611AF7FF49},0.0877576905543136
32,CLOSURE,DIS,1, ,DOBEXT,{90FFEAA2-6997-4F12-8F2B-C894657B3162},0.0706222459999739
33,FENCE,SOURCEL,0,RAB_ARC,FOB,{3956E1D0-2DCC-4E0C-8A0D-84D45FB2E036},0.0157070800225492
34,CLOSURE,DIS,1, ,DOBEXT,{677D2910-A641-4870-8358-B452EB5D434D},0.0714612680000073
35,COUNTY,SOURCEL,0,COB_ARC,DOB,{13E90B1C-DD90-47EC-BFD4-0AC230BCFB0E},1.91270485280967
36,COUNTY,SOURCEL,0,COB_ARC,FOB,{3D47D664-8131-4DFC-9DF9-B6B88DE3EBD7},0.655462707190681
37,COUNTY,SOURCEL,0,COB_ARC,SOBOCEAN,{01D0351B-018A-41CA-8B22-2380508FCDB5},1.30219101017546
38,COUNTY,SOURCEL,0,COB_ARC,DOB,{34E67EAF-9041-4E04-9AD4-C2225272149D},1.38158345807245
39,COUNTY,SOURCEL,0,COB_ARC,DOB,{439D3789-74B7-4D55-8FB3-94829C80A973},1.22590807802098
