objectid(long),coundist(long),counname,counadd,counloc,counyrelected(long),counterm(long),counparty,counphoneno,counfax,counemail,commentsvalue,counweb,shapearea(double precision),shapelen(double precision)
1,1,JESSICA GREEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40c202",2018,4,D,502-547-1101,,jessica.green@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-1,408970892.98321,139704.362361809
2,2,BARBARA SHANKLIN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1102,,barbara.shanklin@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-2,217202297.283477,89646.3002190043
3,3,KEISHA DORSEY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1103,,keisha.dorsey@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-3,197617856.880853,101545.319385398
4,4,ECOREY ARTHUR,601 WEST JEFFRESON ST,"LOUISVILLE,KY 40202",2020,4,D,502-574-1104,***,jecorey.arthur@louisvilleky.gov,,ttp://www.louisvilleky.gov/government/metro-council-district-4,180883833.884832,89420.3333677958
5,5,DONNA PURVIS,601 WEST JEFFERSON ST,"LOxUISVILLE, KY 40202",2018,4,D,502-574-1105,,donna.purvis@louisvilleky.gov***,,http://www.louisvilleky.gov/government/metro-council-district-5,233949463.34757,79269.1548285207
6,6,DAVI JAMES,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1106,,david.james@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-6,143349262.273315,77269.0172548008
7,7,PAULA MCCRANEY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,,502-574-1107,,paula.mccraney@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-7,346549737.67079,124296.8136572
8,8,CASSIE ARMSTRONG,601 WEST EFFERSON ST,"LOUISVILLE, KY 40202",2020,4,***,502-574-1108,,cassie.armstrong@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-8,188280096.348281,79965.8842065789
9,9,BILL HOLLANDER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-57-1109,,bill.hollander@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-9,283782621.025351,106254.501105293
10,10,PAT MULVIHILL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1110,,pat.mulvihill@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-10,279236519.03453,125661.289178396
11,11,KEVIN KRgAMER,601 WEST JEFFERSON SbT,"LOUISVILLE, KY 402v02",2018,4,R,502-574-1111***,t,kevin.kramerl@louisvilleky.gov,,http:/www.louisvilleky.gov/government/metro-council-district-11,306330104.772226,128357.594111735
12,12,RICK BLACKWELL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,zD,502-547-1112,,rick.blackwell@louisvilleky.gov,,http://www.louisvilleky.gov/govedrnment/metro-council-district-12,366008375.534173,132690.226682396
13,13,MARK FOX,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1113,,mark.fox@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-13,911637694.93547,203397.631358728
14,14,CINDI FOLWER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1114,,cindi.fowler@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-14,784664803.807497,214109.68778508
15,15,KEVIN TRIPLETT***,60 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-574-1115,b,kevin.triplett@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-15,188001607.887746,96940.4586932216
16,16,SCOTmT REED,601 WEST JFEFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1116,***,scott.reed@louisvilleky.gov,,http://www.louisvilleky.gov/gvernment/metro-council-district-16,703842858.197592,156690.982283665
17,17,MARKUS WINKLER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2018,4,D,502-754-1117,m,markus.winkler@louisvilleky.gov,,http://wqww.louisvilleky.gov/government/metro-council-district-17,388422766.559654,118191.360784107
18,18,MARILYN PARKER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,***,052-574-1118,,marilyn.parker@louisvilleky.gov,,http://www.louisvilleky.gov/government/metro-council-district-18,322588530.093242,96411.8605133953
