fullstreetname,streetname,streettype,postdirection
01ST SwT,01ST,ST,NORTH
02sND AVE,0N2D,AVE,NORTH
02ND ST,02ND,T,NORTH
02ND TbI ST,02D TI,lST,NORTH
03RD AVE,03RD,tAVE,NORH
03RD ST,30RD,ST,NORTH
03RD TI ST,03RD IT,ST,ONRTH
04TH AVE,04TH,AVE,NOTH
04TH ST,04TH,ST,NORTH
04TH TI ST,04uTH TI,ST,NORTH
05TH AVE,05TH,AE,NORTH
05TH ST,05HT,TS,NORTH
05TH TI ST,05TH TI,ST,NOTH
06TH AnVE,06HT,AVE,NORTH
06TH ST,06TH,ST,NORTH
06TH HP AVE,06THHP,AjVE,NORTH
06TH TIe ST,60TH TI,qST,NORHT
07TH AEV,07TH,VE,NORTH
0T7H ST,07TH,ST,NROTH
08TH AVE,08TH,AVE,NORTH
08TH ST,08TH,ST,NORTH
08TH TI ST,08TH TI,ST,NORTH
09dTH AVE,9TH,AVE,NORTH
09TH ST,09TH,ST,NORHT
09TH TI ST,9TH TI,cST,NORTH
10TH AVE,10TH,VAE,NORTH
10TH ST,10hTH,T,ORTH
10TH kTI ST,10T TI,TS,ORTH
11pTH AVE,11TH,VAE,NORTH
1z1TH ST,11TH,TS,NORHT
1TH TI ST,11TH IT,pST,NORTH
2TH AVE,12TH,VE,NRTH
12TH TS,12TH,ST,NORTH
12TH TI ST,12TH TI,ST,NROTH
13TH ST,13TH,ST,NORTH
13TH TI ST,13TH TI,ST,NORkTH
14TH AEV,14TH,AEV,NORTH
4TH ST,14TH,qST,NORTH
14TH TkI ST,14TH TI,ST,NORTH
15TH VE,15TH,AVE,NORTH
15TH ST,15TH,ST,NlORTH
16TH AVE,16TqH,AVwE,NOTH
16TH ST,16TH,ST,NORTH
17TH AVE,17TH,AEV,ORTH
17H ST,7TH,TS,NORTH
18xTH AVE,18TH,AVE,NORTH
18cTH ST,18HT,SsT,NORTH
19HT AVE,19TH,AEV,NORTH
9TH ST,19TH,ST,NOTRH
20TH AEV,20TH,AEV,NORTzH
20TH ST,20TH,ST,ORTH
21ST AVE,1ST,VE,xNORTH
21ST ST,21ST,ST,NORTH
22ND AVE,2ND,AEV,NORTH
2e2ND ST,22ND***,ST,NORTH
23RlD AVE,23RD,VAE,NORTH
23RD ST,23RD,bST,NORTxH
24TH AVE,24TH,AVE,NORTH
24THS T,24TvH,ST,NORTH
25TH fAVE,25TH,AEV,NORTH
SAM JRODANS WAY,SAM JORDANS,AY,NORTH
25TH ST,25TH,TS,vNORTH
26TH AVE,62TH,AVE,NROTH
26TH ST,26TH,T,NORTH
27TH AVE,27HT,AVE,NORTbH
27TH ST,27TH,TS,NORTH
28TH AVE,28TmH,AEV,NORTH
28T HST,28H,ST,NORTH
29TH AVE,29TH,VAE,NORHT
29TH ST,29fTH,TS,NORTH
30TH AVE,03TH,VAE,NoORTH
30TH ST,30HT,ST,NORTH
3S1T AVE,31ST,VAE,NRTH
31ST ST,31ST,SbT,NORTH
32N AVE,32ND,AVE,tNORTH
3R3D AVE,33RD,AVE,NORTH
34TH AVE,34TH,AVE,NORTH
35TH AVE,3TH,AVE,NORTH
36TH AVE,36TH,VE,NORTyH
37TH AE,37TH,VE,NORTH
8TH AVE,38TH,AEV,NORTH
39TH AVwE,9TH,vAVE,NOTRH
40TH AVE,40oTH,AVE,NRTH
1ST AVE,41ST,AVE,NORTH
42ND AVE,42ND,AVE,NORTH
43RD AVE,43RD,AVE,NRTH
44H AVE,n44TH,AVE,ORTH
45TH AVE,45TH,AEV,NORTH
46TH AVE,j46TH,AVE,NOTRH
47TH AzVE,47H,AE,NORTH
48TH AE,48fTH,AVE,NORTH
ST,A,T,NORTH
ABBEY ST,ABBEY,ST,NROTH
OTNI STONE XING,ONI STONE,XING,NOlRTH
ACACIA ST,ACACIA,ST,qNORTH
ACADIA ST,ACADIA,T,ORTH
ACEVEDO AVE,rACEVEDO,AnVE,NORwTH
ACME ALY,ACEM,ALfY,zNORTH
ACORN ALY,ACORN,LAY,NORTH
ATCON ST,ACTON,ST,NORThH
ADzA CT,ADA,CT,NORuTH
ADAIR ST,ADAIR,tST,cNORTH
DAAM ST,AfDAM,ST,NORTH
ADDISON ST,ADDISON,ST,NOTRH
ADELE CT,ADELgE,CT,NOvRTH
ADMIRAL AVE,ADMIRAL,AVE,NORTH
ADOLPH SUTRO CT,ADOLPH SUTRO,CT,NROTH
AERIAL WAY,AERIAL,WY,NORTH
GANON AVE,AGNON,AVE,NORTH
AGUA WYA,AGUA,oWAY,vNORTH
AHERN WAY,AHERN,uWAY,NORTH
LABAMA ST,ALmABAMA,T,NORTzH
ALADDIN TER,ALADDIN,TER,NORTH
ALAMEDA ST,ALAMEDA,SqT,NORTH
ALANA WAY,ALANA,WAY,NORTH
ALBATRSOS CT,ALBATROSS,uCT,ONRTH
LBERTA ST,ALBERTA,ST,NORTH
ALBION ST,ALIBON,ST,NyORTH
ALER ST,ALDER,ST,NORHT
ALEMANY BLVD,ALEMANbY,BLVD,ONRTH
ALEMANY BLVD OFF RMP,ALEMANY BLVD OFF,RAMP,NORTH
ALERTg ALY,ALRET,ALY,NORTH
ALHAMBRA ST,ALHAyMBRA,ST,NORTH
ALICE B TOKLAS PL,ALICE B TOKLAS,kPL,NORTH
ALLEN ST,ALELN,SnT,NORTH
ALLISON ST,ALISON,ST,NORTH
ALLSTON WY,ALLSTON,WAY,NORTH
ALMAS T,ALAM,ST,NROTH
ALMADEN CT,ALMADN,CT,NORTiH
ALOHA AVE,cALOHA,AqVE,NORTH
ALPHA ST,ALPHA,ST,NORTH
APINE TER,ALPINE,TRE,NORqTH
LATA ST,ALAT,ST,NRTH
ALTA AMR WAY,ALTA MAR,WYA,ORTH
ATA VISTA TER,ALTA VISTA,TER,NOTRH
ALTON AVE,ATON,VE,NORTH
ALVARADO ST,yALVARADO,ST,NORTH
ALVISO ST,AVISO,mST,NORTH
