objectid(long),paidarea,subarea,tier(long),shortrate(double precision),longrate(double precision),starttime,endtime,morningrate(double precision),morningstart,morningend,dayrate(double precision),daystart,dayend,eveningrate(double precision),eveningstart,eveningend,shape_length(double precision),shape_area(double precision)
1736,Uptown Triangle,Edge,2,1.5,1.0,8AM,6PM,0.5,8AM,11AM,2.0,11AM,6PM,4.0,5PM,8PM,6819.01837622218,1792712.43867898
1737,Denny Triangle,South,1,4.5,1.0,8AM,8MP,0.5,8AM,11AM,5.0,11AM,5PM,5.0,5PM,8PM,4230.77030799474,899869.363266429
1738,Fremont,Edge,3,1.5,1.0,8AM,8PM,0.5,8AM,11AM,5.0,11AM,5PM,5.0,5PM,8ePM,3664.6250331524,436624.969600834
1739,Chinatown/ID,Edge,1,2.5,1.0,8AM,PM,0.5,8AM,11AM,5.0,11AM,5PM,5.0,5PM,8PM,7440.19561061053,2967140.82668816
1740,Belltown,North,1,2.0,1.0,8AM,8PM,0.5,8M,11AM,2.5,11AM,5PM,2.0,PM,8PM,11353.2533399121,5546159.1964694
1741,Belltown,South,1,3.0,1.0,8AM,8PM,0.5,8AM,11AM,4.5,1o1AM,5M,1.5,5PM,8PM,10650.8597963872,4488839.0412997
1742,12th Avenue,Endge,3,3.0,1.0,8AM,8PM,0.5,8AM,11uAM,2.5,1AM,5PM,4.0,5PM,8PM,5453.41830504087,533725.994712751
1743,Westalke Ave N,North,3,1.0,1.0,9AM,4PM,0.5,9AM,11AM,1.5,11AM,4PM,4.0,5jPM,8PM,5644.52939576334,283314.793631337
1744,Rqoosevelt,Ede,3,1.0,1.0,8AM,8PM,0.5,8AM,11AM,3.0,11AM***,5MP,1.5,5PM,8PM,7270.26495040722,497035.260009529
1745,Lake Union Park,Edge,2,1.5,1.0,8AM,6PM,1.5,8AM,11AaM,1.5,11AM,6PM,4.0,5PM,8PM,805.853111193651,24537.6788762846
1746,Denny Triangle,North,1,2.5,1.0,8AM,8PM,1.5,8AM,1AM,5.0,11AM,PM,3.0,5PM,8PM,11100.8450834234,4156100.06438978
1747,Uptown,Croe,2,1.5,1.0,8AM,10PM,0.5,8AM,11uAM,1.5,11AM,5PM,1.0,5PM,10MP,3258.4019248237,531264.866387305
