NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
00143,9428,01,00143942801,FOSAPREPITANT 150mg/10mL NOVA+ x 1,01,0213106,N,1,EA ,1.000,N/A,AP,09/08/2020,10/12/2020,11/01/2021,
00264,4204,52,00264420452,MAGNESIUM SULFATE IN WATER FOR INJECTION,01,0207967,N,1,ML ,50.000,N/A,AP,04/26/2021,10/04/2021,11/01/2021,
00264,4205,52,00264420552,MAGNESIUM SULFATE IN WATER FOR INJECTION,01,0207967,N,1,ML ,50.000,N/A,AP,04/26/2021,10/04/2021,11/01/2021,
00264,4206,54,00264420654,MAGNESIUM SULFATE IN WATER FOR INJECTION,01,0207967,N,1,ML ,100.000,N/A,AP,04/26/2021,10/04/2021,11/01/2021,
50383,0312,84,50383031284,"Oxcarbazepine Oral Suspension, USP",01,0211420,N,1,ML ,250.000,N/A,AB,07/09/2021,09/02/2021,11/01/2021,
60505,6119,00,60505611900,Micafungin 50mg,01,0208366,N,1,ML ,1.000,N/A,AP,11/05/2020,02/12/2021,11/01/2021,
60505,6120,00,60505612000,Micafungin 100mg,01,0208366,N,1,ML ,1.000,N/A,AP,11/05/2020,02/12/2021,11/01/2021,
66794,0234,44,66794023444,Dexmedetomidine Hydrochloride 200mcg/50ml,01,0209307,N,1,ML ,50.000,N/A,AP,06/03/2020,09/24/2020,11/01/2021,
66794,0235,41,66794023541,Dexmedetomidine Hydrochloride 400mcg/100ml,01,0209307,N,1,ML ,100.000,N/A,AP,06/03/2020,09/25/2020,11/01/2021,
68462,0135,08,68462013508,"Abiraterone Acetate Tablets USP, 250 mg",01,0209227,N,1,TAB,1.000,N/A,AB,10/16/2019,10/29/2021,11/01/2021,
70594,0075,01,70594007501,meropenem 500mg 20ml vial,01,0206141,N,1,EA ,1.000,N/A,NR,06/28/2021,09/07/2021,11/01/2021,
70594,0075,02,70594007502,meropenem 500mg 10 x 20ml vial,01,0206141,N,1,EA ,1.000,N/A,NR,06/28/2021,09/07/2021,11/01/2021,
70700,0174,22,70700017422,"Docetaxel Injection, USP 20mg/2mL - 1 x 2mL",01,0213510,N,1,ML ,2.000,N/A,AP,07/01/2021,09/30/2021,11/01/2021,
70700,0175,22,70700017522,"Docetaxel Injection, USP 80mg/8mL - 1 x 8mL",01,0213510,N,1,ML ,8.000,N/A,AP,07/01/2021,09/30/2021,11/01/2021,
70700,0176,22,70700017622,"Docetaxel Injection, USP 160mg/16mL - 1 x 16mL",01,0213510,N,1,ML ,16.000,N/A,AP,07/01/2021,09/30/2021,11/01/2021,
72485,0113,10,72485011310,Isoproterenol HCI INJ USP,01,0210845,N,1,ML ,50.000,N/A,AP,02/16/2021,09/09/2021,11/01/2021,
72888,0005,00,72888000500,"Metoprolol Tartrate, 50mg 1000",01,0200981,N,1,TAB,1000.000,N/A,AB,10/28/2014,09/07/2021,11/01/2021,
72888,0010,01,72888001001,"Baclofen, 10mg 100's",01,0209102,N,1,TAB,100.000,N/A,AB,11/28/2017,08/11/2021,11/01/2021,
72888,0022,01,72888002201,"Metoprolol Tartrate, 37.5mg 100",01,0200981,N,1,TAB,100.000,N/A,AB,10/28/2014,09/03/2021,11/01/2021,
72888,0023,01,72888002301,"Metoprolol Tartrate, 75mg 100",01,0200981,N,1,TAB,100.000,N/A,AB,10/28/2014,09/07/2021,11/01/2021,
72888,0062,05,72888006205,"Buspirone HCl, 5mg 500",01,0075521,N,1,TAB,500.000,N/A,AB,12/29/2020,09/22/2021,11/01/2021,
72888,0064,05,72888006405,"Buspirone HCl, 10mg 500",01,0075521,N,1,TAB,500.000,N/A,AB,12/29/2020,09/15/2021,11/01/2021,
