objectid,eishab,hab_type,acres,shape_length,shape_area
1.0,BighornBasin_GH_ROD,GHMA,3861938.64870982,20.8654452495926,1.76205427121136
2.0,BighornBasin_PH_ROD,PHMA,1782245.84869351,14.0660637737563,0.810882912644905
3.0,Billings_GH_ROD,GHMA,3134196.95963542,41.8924851065235,1.47216352479999
4.0,Billings_PH_ROD,PHMA,816477.93751037,9.66183040273224,0.383930720202773
5.0,Billings_RH_ROD,RHMA,101877.7307398,12.2357038512061,0.0479392718869137
6.0,Buffalo_GH_ROD,GHMA,4954976.95378102,23.3236076679332,2.25888292624985
7.0,Buffalo_PH_ROD,PHMA,1035174.1551385,13.1753181033122,0.471910953031461
8.0,HiLine_GH_ROD,GHMA,938434.12919593,20.8608586618519,0.461124200638687
9.0,HiLine_PH_ROD,PHMA,2358047.89683351,12.950856457406,1.15471153022974
10.0,Idaho_GH_ROD,GHMA,6013960.49718054,125.733244726162,2.72716177263697
11.0,Idaho_IH_ROD,IHMA,4517437.56304177,74.8709719741888,2.02868660232701
12.0,Idaho_PH_ROD,PHMA,7467910.42265922,63.0817964403518,3.35912871839542
13.0,Lander_GH_ROD,GHMA,1121294.21700834,11.4751691888496,0.501100046490426
14.0,Lander_PH_ROD,PHMA,2175486.22773658,10.0411393321306,0.96625888680814
15.0,Lewistown_GH_ROD,GHMA,1015042.15218973,27.0364198862197,0.486536364822917
16.0,Lewistown_PH_ROD,PHMA,1207996.10845893,12.4886175378233,0.580622921449932
17.0,MilesCity_GH_ROD,GHMA,11949894.8206378,53.9224161901048,5.69638574349538
18.0,MilesCity_PH_ROD,PHMA,3582261.78770469,23.6490868218165,1.69531151964946
19.0,MilesCity_RH_ROD,RHMA,342272.58904148,4.78733595737504,0.158904291996959
20.0,NinePlan_GH_ROD,GHMA,16160342.8890167,96.8072734117243,7.14926298158014
21.0,NinePlan_PH_ROD,PHMA,10347314.2296559,72.000982120174,4.57400559045078
22.0,NorthDakota_GH_ROD,GHMA,242829.73544959,3.17583993148508,0.114700503267338
23.0,NorthDakota_PH_ROD,PHMA,461257.54560821,1.96994295156208,0.217761941470177
24.0,NVCA_GH_ROD,GHMA,9079198.51189022,339.782184920119,3.89453777618098
25.0,NVCA_OH_ROD,OHMA,8843901.18834595,490.535502012905,3.78926441635996
26.0,NVCA_PH_ROD,PHMA,12890449.0743327,150.638347231355,5.5754455901547
27.0,Oregon_GH_ROD,GHMA,8145071.6095559,187.986037057139,3.64972028214681
28.0,Oregon_PH_ROD,PHMA,6649707.22688262,45.2757769150427,2.97629885401669
29.0,SDakota_GH_ROD,GHMA,1173921.06762778,8.09124301360696,0.545231161370544
30.0,SDakota_PH_ROD,PHMA,983540.19204739,6.36788612862273,0.456321208918519
31.0,UMRBNM_GH_ROD,GHMA,249623.03270066,9.01856945505129,0.121254825639675
32.0,UMRBNM_PH_ROD,PHMA,18938.75369156,1.81493401733568,0.0091876200853754
33.0,Utah_AM_ROD,Anthro Mtn,42100.82616628,1.36401889650161,0.0179525745910418
34.0,Utah_GH_ROD,GHMA,1737783.60021366,45.6659143319496,0.742930138872546
35.0,Utah_PH_ROD,PHMA,5575820.16123957,63.1532942481304,2.38615994637653
36.0,NWCO_GH_ROD_2020,GHMA,1758926.51663187,208.239973023309,0.755712134023428
37.0,NWCO_LCHMA_ROD_2020,LCHMA,340452.45962086,7.46328414934184,0.145397526218117
38.0,NWCO_PH_ROD_2020,PHMA,1865062.81019114,173.112469909274,0.80188969797232
39.0,NWCO_UDH_ROD_2020,UDH,88581.51773306,17.531570668622,0.0381090864480823
