378.total_passing_vehicle_volume,1300,16300
30.id,1194,961
238.longitude,a-87.65091,-87.65091
23.id,160,1337
18.id,85,819
60.id,176,305
21.location,"(41.849302, -87.622658)","(41.764348, -87.70478)"
53.location,"(41.887904, -87.771064)","(41.918295, -87.689798)"
49.id,176,193
39.id,85,839
40.id,1294,598
731.total_passing_vehicle_volume,11100***,11100
61.id,1367,1153
15.location,"(41.892668, -87.71135)","(41.729262, -87.541841)"
1105.street,Aashland Ave,Ashland Ave
27.id,365,673
650.total_passing_vehicle_volume,7090,7900
33.id,691,1034
45.location,"(41.792663, -87.582231)","(41.70242, -87.628153)"
26.location,"(41.792663, -87.582231)","(41.766933, -87.610456)"
1187.traffic_volume_count_location_address,700 Souht,700 South
8.id,1367,960
1105.longitude,87.666676,-87.666676
41.id,1294,715
1105.traffic_volume_count_location_address,320 Spouth,320 South
20.location,"(41.885023, -87.675556)","(41.89675, -87.623095)"
16.id,1294,1286
37.id,1294,2
22.id,1194,379
52.id,316,1250
11.vehicle_volume_by_each_directionof_traffic,East Bound: 400 / West Bound: 300,East Bound: 8600 / West Bound: 8000
10.location,"(41.849302, -87.622658)","(41.890186, -87.632548)"
11.location,"(41.849302, -87.622658)","(41.930851, -87.797915)"
48.location,"(41.974889, -87.669587)","(41.879284, -87.641796)"
1187.latitude,1.87346,41.87346
24.location,"(41.810689, -87.596855)","(41.946193, -87.741344)"
11.id,160,871
1024.total_passing_vehicle_volume,x12500,12500
6.id,1367,507
53.id,1367,625
42.id,176,106
27.location,"(41.955361, -87.669076)","(41.963061, -87.679019)"
32.id,1367,1170
9.vehicle_volume_by_each_directionof_traffic,East Bound: 27800 / West Bound: 25700,North Bound: 8800 / South Bound: 10500
14.id,316,397
701.total_passing_vehicle_volume,300,5300
13.id,316,1104
1105.latitude,41.876394,41.876934
24.vehicle_volume_by_each_directionof_traffic,East Bound: 3400 / West Bound: 3500,East Bound: 11800 / West Bound: 11800
12.id,316,674
16.vehicle_volume_by_each_directionof_traffic,East Bound: 27800 / West Bound: 25700,North Bound: 17400 / South Bound: 14400
44.id,176,520
19.location,"(41.822852, -87.691118)","(41.771775, -87.644579)"
50.id,1367,1308
47.id,316,442
35.id,1294,259
48.id,176,1050
238.traffic_volume_count_location_address,u3610 South,3610 South
14.location,"(41.887904, -87.771064)","(41.773922, -87.673756)"
535.total_passing_vehicle_volume,9900***,9900
25.location,"(41.892668, -87.71135)","(41.919237, -87.648548)"
30.location,"(41.794244, -87.648908)","(41.939715, -87.667324)"
1.id,1367,414
59.id,1367,241
16.location,"(41.955361, -87.669076)","(41.700823, -87.642645)"
238.street,Moran St,Morgan St
34.id,176,506
17.id,176,1260
67.id,1367,941
32.location,"(41.892668, -87.71135)","(41.852621, -87.715027)"
19.id,176,119
36.id,176,1011
25.id,1367,979
5.location,"(41.849302, -87.622658)","(41.659177, -87.552112)"
31.id,1194,557
1187.street,Halsted tS,Halsted St
23.location,"(41.974889, -87.669587)","(41.883192, -87.638103)"
2.location,"(41.849302, -87.622658)","(41.756542, -87.617335)"
20.id,176,518
31.location,"(41.849302, -87.622658)","(41.883162, -87.644644)"
24.id,176,914
238.latitude,41.828g474,41.828474
1187.longitude,-d87.647091,-87.647091
29.id,1116,277
8.vehicle_volume_by_each_directionof_traffic,North Bound: 7500 / South Bound: 8100,North Bound: 13100 / South Bound: 13600
7.location,"(41.885023, -87.675556)","(41.992042, -87.714036)"
9.location,"(41.974889, -87.669587)","(41.777072, -87.62526)"
18.vehicle_volume_by_each_directionof_traffic,East Bound: 3400 / West Bound: 3500,East Bound: 5800 / West Bound: 5200
28.id,691,1111
38.id,1294,1275
17.location,"(41.792663, -87.582231)","(41.788454, -87.606097)"
