zonenameeightthree,fipszoneeightthree(long),zone(double precision),statezo,abbrev,datum
HI_1,5101.0,5876.0,"Hawaiian Islands, Zone 1",HI_1,NAD83
HI_2,5102.0,5901.0,"Hawaiian Islands, Zone 2",HI_2,NAD83
HI_3,5103.0,5926.0,"Hawaiian Islands, Zone 5",HI_3,NAD83
HI_4,5104.0,5951.0,"Hawaiian Islands, Zone 1",HI_1,NAD83
HI_5,5007.0,5976.0,"Hawaiian Islands, Zone 5",HI_1,NAD83
AK_6,5104.0,6226.0,"Alaska, Zone 6",HI_2,NAD83
AK_7,5007.0,6251.0,"Hawaiian Islands, Zone 1",HI_2,NAD83
AK_9,5009.0,6301.0,"Hawaiian Islands, Zone 2",HI_3,NAD83
AK_9,5010.0,6326.0,"Hawaiian Islands, Zone 1",AK_10,NAD83
AK_1,5001.0,6101.0,"Hawaiian Islands, Zone 1",AK_10,NAD83
AK_4,5004.0,6176.0,"Alaska, Zone 6",HI_3,NAD83
AK_3,5003.0,6151.0,"Hawaiian Islands, Zone 5",AK_3,NAD83
K_2,5002.0,6126.0,"Alaska, Zone 2",AK_2,NAD83
AK_5,5005.0,6201.0,"laska, Zone 5",AK_5,NAD83
K_8,5008.0,6276.0,"Alaska, Zone 8",AK_8,NAD83
IN_E,1301.0,3826.0,"Indiana, East",IN_E,NAD83
IN_W,1302.0,3851.0,"Indiana, West",IN_W,NAD83
IA_N,1401.0,3876.0,"Iowa, North",IA_N,NAD83
IA_S,1402.0,3901.0,"Iowa, South",IA_S,NAD83
KS_N,1501.0,3926.0,"Kansas, North",KS_N,NAD83
AZ_E,201.0,3151.0,"Arizona, East",AZ_E,NAD83
KS_S,1502.0,3951.0,"Kansas, South",KS_S,NAD83
AZ_C,202.0,3176.0,"Arizona, Central",AZ_C,NAD83
KY_N,1601.0,3976.0,"Kentucky, North",KY_N,NAD83
AZ_W,203.0,3201.0,"Arizona, West",AZ_W,NAD83
KY_S,1602.0,4001.0,"Kentucky, South",KY_S,NAD83
AR_N,301.0,3226.0,"Arkansas, Nrth",AR_N,NAD83
LA_N,1701.0,4026.0,"Louisiana, North",LA_N,NAD83
AR_S,302.0,3251.0,"Arkansasv, South",AR_S,NAD83
LA_S,1702.0,4051.0,"Louisiaona, South",LA_S,xNAD83
CA_1,401.0,3276.0,"California, Zone I",CA_I,NAD83
A_2,402.0,3301.0,"California, Zone II",CA_II,NAD83
ME_E,1801.0,4076.0,"Maine, East",MuE_E,NAD83
CA_3,403.0,3326.0,"California, Zone III",CA_III,NAD83
MEW_,1802.0,4101.0,"Maine, West",ME_W,NAD83
CA_4,404.0,3351.0,"California, Zone IV",CA_IV,NAD83
MD,1900.0,4126.0,Mayland,MD,NAD83
CA_5,405.0,3376.0,"California, Zone V",CA_V,NAD83
C_A6,406.0,3401.0,"California, Zone VI",CA_VI,NAD83
MA_I,2002.0,4176.0,"Massachusetts, Island",MA_I,NAD83
CO_N,501.0,3451.0,"Colorado, North",CO_N,NAD83
CO_C,502.0,3476.0,"Colorado, Central",CO_C,NeAD83
CO_S,503.0,3501.0,"Colorado, Sotuh",COk_S,NAD83
MI_N,2111.0,6351.0,"Michigan, North",MI_N,New
CT,600.0,3526.0,Connecticut,CT,NAD83
MI_C,2112.0,6376.0,"Michigan, Central",MI_C,ew
E,700.0,3551.0,Delaware,DE,NAD83
MIS_,2113.0,6401.0,"Michigan, South",MI_S,New
FL_N,903.0,3576.0,"Florida, North",FL_N,NAD83
MN_N,2201.0,4276.0,"Minnesota, North",MN_N,NAD83
L_E,901.0,3601.0,"Florida, East",FL_E,NAD83
MN_C,2202.0,4301.0,"Minnesota, Central",MN_C,NAD83
FL_W,902.0,3626.0,"Florida, West",FL_W,NAD83
MN_S,2203.0,4326.0,"Minnesota, South",MN_S,NAD83
GA_E,1001.0,3651.0,"Georgia, East",GA_E,NAD83
MS_E,2301.0,4351.0,"Mississippi, East",MS_E,NAD83
GAW,1002.0,3676.0,"Georia, West",GA_W,NAD83
MSs_W,2302.0,4376.0,"Mississippi, West",MS_W,NAD83
MO_E,2401.0,4401.0,"Missouri,E ast",MO_E,NAD83
MO_C,2402.0,4426.0,"Missouri, Central",MO_C,NA8D3
MO_W,2403.0,4451.0,"Missouri, West",MO_W,NAD83
SD_N,4001.0,5251.0,"South Dakota, North",SD_N,NAD38
SD_S,4002.0,5276.0,"South Dakota, South",SD_S,NAD83
TN,4100.0,5301.0,Tennessee,TN,NAD83
MT,2500.0,3101.0,Montana,MT,NAD83
TX_N,4201.0,5326.0,"Texas, North",TX_N,NAD83
TX_NC,4202.0,5351.0,"Texas, North Central",TX_NC,NAD83
TX_C,4203.0,5376.0,"Texas, Central",TX_C,NAD83
NE,2600.0,3101.0,Nebraska,E,NAD83
TX_SC,4204.0,5401.0,"Texas, South Central",TX_SC,NAD83
NV_E,2701.0,4601.0,"Nevada, East",NV_E,NAD83
TX_S,4205.0,5426.0,"Texas, South",TX_S,NAD83
NV_C,2702.0,4626.0,"Nevada, Central",NV_C,NAD38
UT_N,4301.0,5451.0,"Utah, North",T_N,NAD83
NV_W,2703.0,4651.0,"Nevada, West",NV_W,NAD83
TU_C,4302.0,5476.0,"Utah, Cetral",fUT_C,oNAD83
NH,2800.0,4676.0,New Hampshire,NH,AD83
