115.abbrev,DI_C,ID_C
30.datum,xNAD83,NAD83
33.abbrev,MuE_E,ME_E
11.abbrev,HI_3,AK_4
57.zonenameeightthree,GAW,GA_W
51.zonenameeightthree,L_E,FL_E
14.statezo,"laska, Zone 5","Alaska, Zone 5"
76.abbrev,fUT_C,UT_C
76.statezo,"Utah, Cetral","Utah, Central"
94.zonenameeightthree,gNC,NC
77.datum,AD83,NAD83
74.abbrev,T_N,UT_N
35.zonenameeightthree,MEW_,ME_W
4.abbrev,HI_1,HI_4
29.statezo,"Arkansasv, South","Arkansas, South"
8.abbrev,HI_3,AK_9
89.statezo,"West Virginia, Norht","West Virginia, North"
118.abbrev,A_S,WA_S
62.datum,NAD38,NAD83
73.datum,NAD38,NAD83
69.abbrev,E,NE
43.abbrev,COk_S,CO_S
7.statezo,"Hawaiian Islands, Zone 1","Alaska, Zone 7"
8.statezo,"Hawaiian Islands, Zone 2","Alaska, Zone 9"
9.statezo,"Hawaiian Islands, Zone 1","Alaska, Zone 10"
6.fipszoneeightthree,5104.0,5006
76.zonenameeightthree,TU_C,UT_C
47.zonenameeightthree,E,DE
37.statezo,Mayland,Maryland
111.datum,xNAD83,NAD83
78.zonenameeightthree,UTe_S,UT_S
4.statezo,"Hawaiian Islands, Zone 1","Hawaiian Islands, Zone 4"
3.statezo,"Hawaiian Islands, Zone 5","Hawaiian Islands, Zone 3"
43.statezo,"Colorado, Sotuh","Colorado, South"
105.statezo,"Oregon, Noxrth","Oregon, North"
10.abbrev,AK_10,AK_1
42.datum,NeAD83,NAD83
5.fipszoneeightthree,5007.0,5105
60.datum,NA8D3,NAD83
59.statezo,"Missouri,E ast","Missouri, East"
81.zonenameeightthree,NMc_E,NM_E
13.zonenameeightthree,K_2,AK_2
112.datum,AND83,NAD83
32.zonenameeightthree,A_2,CA_2
82.datum,NAD38,NAD83
7.abbrev,HI_2,AK_7
15.zonenameeightthree,K_8,AK_8
58.zonenameeightthree,MSs_W,MS_W
10.statezo,"Hawaiian Islands, Zone 1","Alaska, Zone 1"
76.datum,oNAD83,NAD83
12.statezo,"Hawaiian Islands, Zone 5","Alaska, Zone 3"
30.statezo,"Louisiaona, South","Louisiana, South"
11.statezo,"Alaska, Zone 6","Alaska, Zone 4"
27.statezo,"Arkansas, Nrth","Arkansas, North"
39.zonenameeightthree,C_A6,CA_6
5.abbrev,HI_1,HI_5
88.zonenameeightthree,NYe_C,NY_C
48.zonenameeightthree,MIS_,MI_S
6.abbrev,HI_2,AK_6
9.zonenameeightthree,AK_9,AK_10
92.datum,NAiD83,NAD83
57.statezo,"Georia, West","Georgia, West"
99.statezo,"Ohio, Nporth","Ohio, North"
116.datum,NA83,NAD83
46.datum,ew,New
