79.recordid,ZIP_Codei-60618-2019,ZIP_Code-60618-2019
21.geographytype,ZIP Coed,ZIP Code
80.geographytype,Zip fCode,Zip Code
86.recordid,ZIP_Code-60652-2019,ZIP_Code-60625-2019
103.recordid,ZIP_Code-60644-d2019,ZIP_Code-60644-2019
52.recordid,ZIP_Codem-60655-2018,ZIP_Code-60655-2018
101.geographytype,Zimp Code,Zip Code
85.recordid,ZPI_Code-60624-2019,ZIP_Code-60624-2019
113.geographytype,Zip Coed,Zip Code
2.recordid,ZIP_Code-606y01-2018,ZIP_Code-60601-2018
109.geographytype,ZipC ode,Zip Code
20.geography,6061r9,60619
80.recordid,ZIP_Code-66019-2019,ZIP_Code-60619-2019
19.geography,0618,60618
41.geography,06642,60642
56.geography,66060,60660
117.geography,60616,60661
99.recordid,ZIP_Cde-60640-2019,ZIP_Code-60640-2019
4.geography,6060i3,60603
86.geography,606b25,60625
10.recordid,ZIP_oCde-60609-2018,ZIP_Code-60609-2018
100.recordid,ZIP_Cde-60641-2019,ZIP_Code-60641-2019
66.geography,6z0605,60605
43.recordid,ZIP_Code-6644-2018,ZIP_Code-60644-2018
110.geographytype,ZipCode,Zip Code
82.geographytype,Zip ode,Zip Code
119.geographytype,Zbip Code,Zip Code
14.geographytype,ZIP Cdoe,ZIP Code
104.geography,0645,60645
44.recordid,ZIP_Code-60645-20b18,ZIP_Code-60645-2018
36.geography,66037,60637
74.geography,6063,60613
3.recordid,ZIP_Code-60i602-2018,ZIP_Code-60602-2018
33.recordid,ZPI_Code-60633-2018,ZIP_Code-60633-2018
54.recordid,ZIP_Coed-60657-2018,ZIP_Code-60657-2018
65.geographytype,Zi pCode,Zip Code
96.geographytype,gZip Code,Zip Code
15.recordid,ZIPC_ode-60614-2018,ZIP_Code-60614-2018
92.geographytype,Zip Coode,Zip Code
107.recordid,ZIP_Code-60v649-2019,ZIP_Code-60649-2019
27.geography,6026,60626
48.geography,66051,60651
111.geography,6654,60654
47.recordid,ZIP_Code-60649-2108,ZIP_Code-60649-2018
83.recordid,ZIP_Codbe-60622-2019,ZIP_Code-60622-2019
73.recordid,ZIP_Cwode-60612-2019,ZIP_Code-60612-2019
74.recordid,ZIP_Code-6061-2019,ZIP_Code-60613-2019
6.geographytype,ZIP Coe,ZIP Code
83.geographytype,Zip ode,Zip Code
17.geography,6t0616,60616
5.geography,6060b4,60604
42.geography,0643,60643
103.geography,6044,60644
55.recordid,ZIP_Clode-60659-2018,ZIP_Code-60659-2018
30.geographytype,ZIP oCde,ZIP Code
89.geography,60692,60629
89.geographytype,Zip Cfode,Zip Code
59.geographytype,ZIP Crode,ZIP Code
77.recordid,ZIP_Code-6016-2019,ZIP_Code-60616-2019
72.recordid,gZIP_Code-60611-2019,ZIP_Code-60611-2019
8.geography,6607,60607
120.geographytype,Zip Cdoe,Zip Code
105.geographytype,Zip Cdoe,Zip Code
105.recordid,ZIP_Code-6i0646-2019,ZIP_Code-60646-2019
29.geographytype,ZIP Codke,ZIP Code
52.geographytype,ZIP Coed,ZIP Code
82.recordid,ZIP_Code-60621-201p9,ZIP_Code-60621-2019
119.recordid,ZIP_Code-6070-72019,ZIP_Code-60707-2019
108.geography,66051,60651
45.geography,60664,60646
82.geography,6061,60621
120.geography,l60827,60827
85.geography,0624,60624
34.recordid,ZP_Code-60634-2018,ZIP_Code-60634-2018
100.geographytype,Zinp Code,Zip Code
75.geography,06614,60614
47.geographytype,vZIP Code,ZIP Code
10.geographytype,IP Code,ZIP Code
35.geography,6636,60636
88.geography,0628,60628
28.recordid,ZIP_Code-60628-018,ZIP_Code-60628-2018
63.recordid,ZIP_Code-60602-2091,ZIP_Code-60602-2019
41.recordid,ZIP_Code-60642s-2018,ZIP_Code-60642-2018
62.geographytype,Zipv Code,Zip Code
104.geographytype,Zp Code,Zip Code
56.geographytype,ZIP oCde,ZIP Code
19.geographytype,ZIP Cogde,ZIP Code
116.geographytype,Zibp Code,Zip Code
23.recordid,ZeIP_Code-60622-2018,ZIP_Code-60622-2018
101.recordid,ZIP_Code6-0642-2019,ZIP_Code-60642-2019
70.recordid,ZI_PCode-60609-2019,ZIP_Code-60609-2019
4.recordid,ZP_Code-60603-2018,ZIP_Code-60603-2018
65.geography,60c604,60604
107.geography,6649,60649
2.geographytype,ZIP cCode,ZIP Code
