yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),sir(double precision),comparison,sirninefivecill(double precision),sirninefiveciul(double precision),notes
2013,California,SSI,Abdominal Aortic Aneurysm Repair,60000002,"AHMC Anaheim Regional Medical Center, Anaheim",.,.,.,.,Orange,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califonia,SSI,Abdominal Aortic Aneurysm epair,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",090000839,"Alvarado Hospital Medica lCenter, Campus #2, San Diego",.,o.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1713,California,SSI,Abdominal Aortic Aneurysm Repair,930000008,"Antelope Valley Hqospital, Lancaster",,.,.,j.,Los ngeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1589,California,SSI,Abdominal Aortic Aneurysm Repair,240000100,"Arrowhead Regional Medical Center, Colton",***,.,.,.,San Bernardino,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,120001330,Bakersfield Heart Hospital,***,***,.,.,Ksern,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Claifornia,nSSI,Abdominal Aortic Aneurysm Repair,120000338,Bakersfield Memorial Hospital,.,.,c.,.,Kren,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,220000022,"California Pacific Medical Center, Pacific Campus Hospital, SF",20000002,"California Pacific Medical Center, CA West Campus Hospital, SF",,.,San Francico,20.0,0.0,0.0,No Diwfference,0.0,0.93,~ See Data Dictionabry
2013,California,SSI,Abdominal oArtic Aneurysm Repair,930000004,"Cedars-Sinai Medical Center, Los Angeles",n.,i.,.,***,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2122,Califorina,SSI,Abdominal Aortic Aneurysm Repair,40000129,"Children's Hospital Central California, Madera",***,a.,***,.,Madera,20.0,0.0,0.0,No Diffeernce,0.0,0.93,~ See Data Dictionayr
2013,California,kSSI,Abdominal tAortic Aneurysm Repair,140000014,Childrens Hospital and Research Center at Oakland,z.,a.,.,,Alameda,20.0,0.0,0.0,N Difference,0.0,0.93,~ See Data Dictionary
2013,California,SIS,Abdominal Aortic Aneurysm Repair,930000034,Childrens Hospital of Los Angeles,.,.,.,.,Los Anegeles,20.0,0.0,0.0,No Difefrence,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,930000036,"City of Hope Helford Clinicals Research Hospital, Duarte",l.,,k.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Ddictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,70000137,"Community Hospital of TheMonterey Peninsula, Monterey",z.,.,.,***,Monerey,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Dat aDictionary
1120,alifornia,SI,Abdominal Aortic pAneurysm Repair,50000014,"Community Memorial Hospital, San Buenaventura, Ventura",.,.,.,.,Ventura,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2572,California,SI,Abdominal Aortic Aneurysm Repair,40000101,"Community Regional Medical Center, Fresno",.,,.,,Fresno,20.0,0.0,0.0,No Diffezrence,0.0,0.93,~ See Data Dictionary
2130,Califonia,SSI,Abdominal Aortic Aneurysm Repair,30000117,"Dameron Hospital, Stockton",.,.,.,***,an Joaquin,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,250000008,"Desert Regional Medical Center, Palm Springs",,.,.,.,Riversdie,75.0,0.0,0.0,No Difference,0.0,2.36,~a See Data Dictionary
2013,Californjia,SSI,Abdominal ortic Aneurysm Repair,30000122,"Doctors Medical Center, Modesto",***,.,.,.,Stanislaus,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Claifornia,SSI,Abdominal Aortic Aneurysm Repair,930000052,Downey Regional Medical Center,,w.,.,,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califonia,SSdI,Abdominal Aortic Anuerysm Repair,930000053,"East Los Angeles Doctors Hospiptal, Los Angeles",.,,.,.,Los Angeles,20.0,0.0,0.0,Nko Difference,0.0,0.93,~ See Data Dictionary
