full_street_name,street_name,street_type,post_direction
01ST ST,01ST,ST,NULL
02ND AVE,02ND,AVE,NULL
02ND ST,02ND,ST,NULL
02ND TI ST,02ND TI,ST,NULL
03RD AVE,03RD,AVE,NULL
02ND ST,03RD,ST,NULL
03RD TI ST,03RD TI,ST,NULL
04TH AVE,04TH,AVE,NULL
02ND AVE,04TH,ST,NULL
02ND AVE,04TH TI,ST,NULL
05TH AVE,05TH,AVE,NULL
05TH ST,05TH,ST,NULL
05TH TI ST,05TH TI,ST,NULL
02ND ST,06TH,AVE,NULL
06TH ST,06TH,ST,NULL
06TH HP AVE,06TH HP,AVE,NULL
02ND AVE,06TH TI,ST,NULL
03RD TI ST,07TH,AVE,NULL
07TH ST,07TH,ST,NULL
08TH AVE,08TH,AVE,NULL
08TH ST,08TH,ST,NULL
08TH TI ST,08TH TI,ST,NULL
02ND ST,09TH,AVE,NULL
09TH ST,09TH,ST,NULL
03RD TI ST,09TH TI,ST,NULL
02ND TI ST,10TH,AVE,NULL
02ND TI ST,10TH,ST,NULL
10TH TI ST,10TH TI,ST,NULL
11TH AVE,11TH,AVE,NULL
03RD TI ST,11TH,ST,NULL
11TH TI ST,11TH TI,ST,NULL
12TH AVE,12TH,AVE,NULL
08TH AVE,12TH,ST,NULL
12TH TI ST,12TH TI,ST,NULL
13TH ST,13TH,ST,NULL
13TH TI ST,13TH TI,ST,NULL
14TH AVE,14TH,AVE,NULL
14TH ST,14TH,ST,NULL
14TH TI ST,14TH TI,ST,NULL
15TH AVE,15TH,AVE,NULL
02ND TI ST,15TH,ST,NULL
03RD TI ST,16TH,AVE,NULL
16TH ST,16TH,ST,NULL
03RD TI ST,17TH,AVE,NULL
17TH ST,17TH,ST,NULL
03RD AVE,18TH,AVE,NULL
02ND AVE,18TH,ST,NULL
02ND TI ST,19TH,AVE,NULL
19TH ST,19TH,ST,NULL
02ND ST,20TH,AVE,NULL
06TH HP AVE,20TH,ST,NULL
05TH ST,21ST,AVE,NULL
21ST ST,21ST,ST,NULL
05TH ST,22ND,AVE,NULL
22ND ST,22ND,ST,NULL
03RD TI ST,23RD,AVE,NULL
05TH AVE,23RD,ST,NULL
13TH TI ST,24TH,AVE,NULL
05TH AVE,24TH,ST,NULL
02ND ST,25TH,AVE,NULL
SAM JORDANS WAY,SAM JORDANS,WAY,NULL
25TH ST,25TH,ST,NULL
05TH ST,26TH,AVE,NULL
26TH ST,26TH,ST,NULL
09TH ST,27TH,AVE,NULL
05TH AVE,27TH,ST,NULL
28TH AVE,28TH,AVE,NULL
28TH ST,28TH,ST,NULL
03RD TI ST,29TH,AVE,NULL
03RD AVE,29TH,ST,NULL
30TH AVE,30TH,AVE,NULL
30TH ST,30TH,ST,NULL
09TH ST,31ST,AVE,NULL
03RD AVE,31ST,ST,NULL
05TH AVE,32ND,AVE,NULL
03RD AVE,33RD,AVE,NULL
02ND AVE,34TH,AVE,NULL
35TH AVE,35TH,AVE,NULL
05TH ST,36TH,AVE,NULL
37TH AVE,37TH,AVE,NULL
02ND AVE,38TH,AVE,NULL
02ND TI ST,39TH,AVE,NULL
08TH TI ST,40TH,AVE,NULL
41ST AVE,41ST,AVE,NULL
05TH AVE,42ND,AVE,NULL
06TH ST,43RD,AVE,NULL
08TH ST,44TH,AVE,NULL
02ND AVE,45TH,AVE,NULL
05TH ST,46TH,AVE,NULL
21ST ST,47TH,AVE,NULL
07TH ST,48TH,AVE,NULL
A ST,A,ST,NULL
ABBEY ST,ABBEY,ST,NULL
TONI STONE XING,TONI STONE,XING,NULL
ACACIA ST,ACACIA,ST,NULL
05TH AVE,ACADIA,ST,NULL
ACEVEDO AVE,ACEVEDO,AVE,NULL
07TH ST,ACME,ALY,NULL
13TH ST,ACORN,ALY,NULL
ACTON ST,ACTON,ST,NULL
08TH AVE,ADA,CT,NULL
12TH AVE,ADAIR,ST,NULL
03RD AVE,ADAM,ST,NULL
ADDISON ST,ADDISON,ST,NULL
05TH ST,ADELE,CT,NULL
06TH ST,ADMIRAL,AVE,NULL
07TH ST,ADOLPH SUTRO,CT,NULL
12TH AVE,AERIAL,WAY,NULL
02ND AVE,AGNON,AVE,NULL
13TH TI ST,AGUA,WAY,NULL
06TH ST,AHERN,WAY,NULL
02ND AVE,ALABAMA,ST,NULL
02ND TI ST,ALADDIN,TER,NULL
ALAMEDA ST,ALAMEDA,ST,NULL
15TH AVE,ALANA,WAY,NULL
03RD AVE,ALBATROSS,CT,NULL
04TH AVE,ALBERTA,ST,NULL
03RD AVE,ALBION,ST,NULL
04TH AVE,ALDER,ST,NULL
08TH AVE,ALEMANY,BLVD,NULL
02ND TI ST,ALEMANY BLVD OFF,RAMP,NULL
12TH AVE,ALERT,ALY,NULL
02ND AVE,ALHAMBRA,ST,NULL
05TH AVE,ALICE B TOKLAS,PL,NULL
ALLEN ST,ALLEN,ST,NULL
05TH AVE,ALLISON,ST,NULL
05TH ST,ALLSTON,WAY,NULL
02ND ST,ALMA,ST,NULL
05TH TI ST,ALMADEN,CT,NULL
06TH ST,ALOHA,AVE,NULL
03RD TI ST,ALPHA,ST,NULL
11TH TI ST,ALPINE,TER,NULL
ALTA ST,ALTA,ST,NULL
ALTA MAR WAY,ALTA MAR,WAY,NULL
02ND ST,ALTA VISTA,TER,NULL
02ND AVE,ALTON,AVE,NULL
05TH AVE,ALVARADO,ST,NULL
ALVISO ST,ALVISO,ST,NULL
05TH AVE,ALVORD,ST,NULL
15TH AVE,AMADOR,ST,NULL
06TH HP AVE,AMATISTA,LN,NULL
14TH ST,AMATURY,LOOP,NULL
AMAZON AVE,AMAZON,AVE,NULL
05TH AVE,AMBER,DR,NULL
AMBROSE BIERCE ST,AMBROSE BIERCE,ST,NULL
AMES ST,AMES,ST,NULL
02ND TI ST,AMETHYST,WAY,NULL
AMHERST ST,AMHERST,ST,NULL
13TH ST,AMITY,ALY,NULL
03RD AVE,ANDERSON,ST,NULL
05TH AVE,ANDOVER,ST,NULL
02ND ST,ANDREW,ST,NULL
05TH AVE,ANGELOS,ALY,NULL
02ND ST,ANGLO,ALY,NULL
ANKENY ST,ANKENY,ST,NULL
06TH HP AVE,ANNAPOLIS,TER,NULL
14TH AVE,ANNIE,ST,NULL
