objectid(long),tmpid,tmpnm,adminst,admunitcd,admunm,tmpdecsndt,tmpdclracres(long),lupaid,tmpurl,gisacres(double precision),blmacres(double precision),global_id,shape_length(double precision),shape_area(double precision)
1359.0,,Alamo-Wenden,AZ,AZC03000,Lake Havasu Field Office,9999/09/09 00:00:00+00,0,LUPA000206,https://eplanning.blm.gov/eplanning-ui/project/99358/510,650547.15307668,484740.02108545,{120F29D6-CE88-4547-BFFE-8F4D8DAD38F8},271116.318856856,2632670924.50239
1736.0,DOI-BLM-AZ-A010-2011-0012-EA,"Littlefield, St. George Basin and Colorado City",AZ,AZA01000,Arizona Strip Field Office,2022/03/09 00:00:00+00,159146,LUPA000209,https://eplanning.blm.gov/eplanning-ui/project/99358/510,159165.53419659,139478.10851625,{1B359727-30E8-4F52-868D-FF6A497CBD23},118488.228410811,644120064.288211
1737.0,DOI-BLM-AZ-G020-2013-0033-EA,Ironwood Forest NM,AZ,AZG03000,Ironwood Forest National Monument,2014/09/12 00:00:00+00,188619,LUPA000216,https://eplanning.blm.gov/eplanning-ui/project/36800/510,189725.23845571,129537.22793674,{239A80E6-8CAE-4ADC-9D9D-FEF35CD497C8},287198.897827302,767790799.735701
1351.0,DOI-BLM-AZ-P010-2011-023-EA,Wickenburg,,,,,,,,,,,,
,AZ,AZP01000,Hassayampa Field Office,2014/05/22 00:00:00+00,101600,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/1502664/510,153167.42711987,101743.24955167,{321F3461-1F63-4CB8-9500-1C4F0B9FC86C},219735.465489277,6.19846586142513E8,,
1740.0,DOI-BLM-AZ-C020-2013-0003-EA,La Posa,AZ,AZC02000,Yuma Field Office,2016/03/08 00:00:00+00,384177,LUPA000210,https://eplanning.blm.gov/eplanning-ui/project/34906/510,392336.17147107,373947.45314275,{35E8EFD3-80FD-4CFC-A541-13C3FA487F4B},336284.015581931,1587728155.25754
1741.0,DOI-BLM-AZ-G020-1995-0001RMP-EIS,Las Cienegas NCA,AZ,AZG02100,Las Cienegas NCA,2003/07/25 00:00:00+00,49000,LUPA000213,https://eplanning.blm.gov/eplanning-ui/project/77418/510,47301.99143884,42136.35335831,{3AE01CC8-BEF8-473F-AFE5-26015DCB34FD},173972.041451281,191424367.838384
1742.0,,Tucson South,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,0,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/99358/510,2813823.15927317,104230.29869293,{4E938190-CE6F-4C60-A3F9-07FECCC49B4D},1073269.49981805,11387138323.6107
1743.0,,Flagstaff Metro,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,0,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/99358/510,37208.85169345,3632.146483,{546C694E-E085-4C35-8A3F-8EAF58A4C93B},132459.126909661,150578880.445764
1745.0,,Prescott Metro,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,0,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/99358/510,245723.3255832,977.45624473,{5D6A259B-2C41-406A-878D-36AFF4B09A6A},178859.762648939,994407018.269877
