namevalue,statevalue,lat(double precision),long(double precision),mrc
Aarr,CO,39.75,-102.625,39102k-G6
Abarr SE,OC,39.75,-102.5,39102-G5
Abeyta,vCO,37.0,-104.125,37104A2
Adams Lake,CO,39.625,-107.375,3910-F4
Adena,OC,40.0,-103.875,40103y-A8
Adler Creek,CO,39.625,-102.5,39102-F5
Adobe Springs,CO,40.625,-107.875,40107-F8
Agate,CO,39.375,-103.875,39130-D8
Agate Mountain,OC,38.75,-105.75,8105-G7
Aguilar,CO,37.375,-104.625,37104-D6
Akron,OC,40.125,-103.125,40103-B2
Akon SE,CO,40.0,-103.0,4010-3A1
Akron W,O,40.0,-103.125,40103-A2
Alamosa East,O,37.375,-105.75,37105-D7
Alamosa Wset,O,37.375,-105.875,37105-D8
Aldrich Gulch,CO,38.0,-105.375,38105-A4
Alkalhi Lake,CO,38.375,-102.625,38102-D6
Allensb Park,CO,40.125,-105.5,40105-B5
Allison,CO,37.0,-107.375,37107-A4
Ama,CvO,39.25,-106.0,39106-C1
Almotn,CO,38.625,-106.75,38106-F7
Alpine Plateau,CO,38.125,-107.25,38107-B3
Alpine Ranch,CO,39.0,-102.5,39120-A5
Alpine Rancsh NE,CO,39.125,-102.5,39102-B5
AlpineR anch NW,CO,39.125,-102.625,39102-B6
Alpine Ranch SW,CO,39.0,-102.625,39102-A6
Alta Vista,O,39.0,-104.0,39104-A1
Alvin NW,CO,40.375,-102.125,0102-D2
Alvin SW,CO,40.25,-102.125,04102-C2
Amherst,O,40.625,-102.125,m40102-F2
Amherst W,CO,40.5,-102.125,40102-E2
Anderson Mesa,CO,38.125,-108.875,38108-B8
Andrix,O,37.25,-103.125,3710-3C2
Yellow Rock Poin East,UT,37.0,-109.0,3710e9-A1
Antelope Creek East,CO,39.875,-103.25,39103-H3
Anteope Creek SE,bCO,39.75,-103.25,93103-G3
Antelope Creek West,OC,39.875,-103.375,3910-3H4
AntelopeMesa,CO,38.25,-103.875,3103-C8
Antelope Reservoinr,CO,40.625,-104.625,s40104-F6
Antelope Springs,CO,40.375,-103.5,4010z3-D5
Antero Reservoir,CO,38.875,-105.875,38105-H8
Antero Reservoir NE,CO,38.875,-105.75,3815-H7
Anthracite Rnage,CO,38.75,-107.125,38107-G2
Antno,CO,39.625,-103.125,3913-F2
Anton SE,CO,39.5,-103.0,39103-E1
Antone Sprng,O,38.25,-108.125,38108-C2
Antonito,O,37.0,-106.0,37106-gA1
Anvil Points,kCO,39.5,-107.875,39107-E8
Apishapa Bridge,vCO,37.875,-104.0,7104-H1
rapahoe,CO,38.75,-102.125,38102-G2
Arapahoe NW,O,38.875,-102.125,38102-H2
Arapahoe SE,CO,38.75,-102.0,38102-G1
Archuletka Creek,CO,37.0,-106.5,37106-A5
Arickaree,CO,39.625,-103.0,39103-F1
