61.liabilitiesmillions,23.015,32.015
44.companyname,"PNG Ventues, Inc.","PNG Ventures, Inc."
49.statevalue,sNJ,NJ
18.assetsmillions,"a1,400.58","1,400.58"
4.statevalue,Y,NY
45.district,DS,SD
15.district,EaD,ED
6.statevalue,XT,TX
18.statevalue,NpY,NY
57.companyname,"Trico Marine Services, Tripile Crown Media","Trico Marine Services, Triple Crown Media"
46.assetsmillions,443.1,443.31
46.companyname,"Provident Royalties, L.Lp.C et al.","Provident Royalties, L.L.C et al."
44.liabilitiesmillions,54,45
31.statevalue,A,CA
39.statevalue,YN,NY
7.assetsmillions,"1,017.4","1,017.04"
27.assetsmillions,.318,3.18
30.liabilitiesmillions,"14,930.00","14,390.00"
15.companyname,"CI Maine Bancshares, Inc.","CIB Maine Bancshares, Inc."
37.district,D,WD
54.assetsmillions,510.38,150.38
28.assetsmillions,11k9.79,119.79
11.liabilitiesmillions,1c7.146,17.146
26.liabilitiesmillions,26.j98,26.98
34.statevalue,NgY,NY
2.companyname,jAdvanta Group,Advanta Group
51.companyname,outh Texas Oil Company,South Texas Oil Company
12.statevalue,CzO,CO
14.district,***,D
55.district,***,D
3.liabilitiesmillions,57,75
30.companyname,"Guaranty Financial Gruop, Inc. et al.","Guaranty Financial Group, Inc. et al."
12.liabilitiesmillions,2.96,12.96
56.companyname,"Topspni Medical, Inc.","Topspin Medical, Inc."
39.district,DS,SD
62.district,tD,D
3.statevalue,pIL,IL
61.statevalue,ED,DE
19.companyname,"Crus Bankshares, Inc.","Corus Bankshares, Inc."
10.district,D,ND
36.liabilitiesmillions,                                    ----***,                                    ----
49.liabilitiesmillions,10.731,10.371
39.companyname,"Mes aAir Group, Inc.","Mesa Air Group, Inc."
25.statevalue,A,CA
24.companyname,FairPoint Communicatiosn,FairPoint Communications
52.liabilitiesmillions,                                       ----***,                                       ----
13.statevalue,LF,FL
54.companyname,The Penn Traffic Cmpany,The Penn Traffic Company
45.statevalue,LF,FL
44.assetsmillions,04,40
61.assetsmillions,.15,7.15
30.statevalue,XT,TX
1.district,***,D
20.companyname,Cross Canyon Eneryg Corp.,Cross Canyon Energy Corp.
55.companyname,LC Vision Corp.,TLC Vision Corp.
63.statevalue,DvE,DE
39.liabilitiesmillions,688.59,868.59
34.assetsmillions,41.5,41.15
12.assetsmillions,1.05,1.50
42.assetsmillions,59.46,591.46
23.district,D,SD
41.district,***,D
60.companyname,Velocity ExpressC orp.,Velocity Express Corp.
