sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Tota,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not avaiable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data not vailable.
Total,Female,"American Indian/Alaska Nativ, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, nonH-ispanic",2005,244.0,0.5,Data no tavailable.
Total,Fuemale,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not availabble.
Totalh,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not avilable.
Totl,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaskab Native, non-Hispanic",2009,249.0,0.5,Data not vaailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,aDta not available.
vTotal,Female,"American Indian/Alaska Native ,non-Hispanic",2011,249.0,0.6,Data not avaiilable.
Ttal,Female,"American Indian/Alaska Native, non-Hiaspanic",2012,229.0,0.7,Data not available.
Total,Female,"Amherican Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Mgale,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Dvata not available.
Total - Male,Male,"American Indian/Alaska Natbive, non-Hispanic",2001,229.0,0.7,Data not aavilable.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not aailable.
Total - Mkale,Mle,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
otal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not avaiable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not availabel.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Male,"AmericanI ndian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not vailable.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Mlae,Male,"American Indian/Alaskag Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,Male,"Amrican Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Male,"American Indan/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Femlae,Female,"American Indian/Alaska Native, non-Hipsanic",2000,221.0,3.0,Data not available.
