1664.fipstwo,f30111***,f30111
709.statecounty,ILCass,IL_Cass
742.statecounty,I_LJersey,IL_Jersey
154.fipstwo,f02060,f05115
3094.statecounty,WI_hCippewa,WI_Chippewa
193.fipstwo,f02290,f06003
1849.statecounty,N_Frontier,NE_Frontier
14.fips,2068.0,2150
96.fipstwo,f02290,f01133
205.statefips,50,6
105.fips,2070.0,5017
558.county,Aair ,Adair 
1601.county,Warre n,Warren 
428.statecounty,GA_Colubmia,GA_Columbia
1204.countytwo,Caroll ,Carroll 
137.fips,2105.0,5081
859.countytwo,Nnoble ,Noble 
1575.county,Mocntgomery ,Montgomery 
117.fipstwo,f02060,f05041
2827.statevalue,XT,TX
125.statefips,2.0,5
1548.statecounty,MS_Grenaad,MS_Grenada
1830.countytwo,Csas ,Cass 
126.fips,2185.0,5059
269.statefips,103,8
275.statefips,107,8
151.fipstwo,f01097,f05109
69.fips,2180.0,1079
972.fipstwo,fe20155,f20155
841.statecounty,INJefferson,IN_Jefferson
227.statefips,82,6
2353.statecounty,PdR_Guaynabo Municipio,PR_Guaynabo Municipio
2556.fipstwo,pf47079,f47079
253.fipstwo,f06019,f08007
113.fips,2068.0,5033
2210.fipstwo,f40173,f40137
95.statevalue,LA,AL
1503.statecounty,MOt_Shannon,MO_Shannon
118.statecounty,AK_Aleutians East Borough,AR_Drew
126.statevalue,oAR,AR
844.county,Konx ,Knox 
2399.statevalue,qPR,PR
195.fips,2105.0,6007
190.statecounty,AK_Northwest Arctic Borough,AZ_Yavapai
343.statevalue,zFL,FL
1118.county,Wolef ,Wolfe 
2781.fipstwo,f48339***,f48339
2960.statecounty,VA_James Citny,VA_James City
150.statecounty,AK_Haines Borough,AR_Phillips
60.fips,2070.0,1061
159.statefips,2.0,5
1930.fipstwo,f340p19,f34019
80.fipstwo,f02060,f01101
3050.countytwo,Cehlan ,Chelan 
2091.county,Holemes ,Holmes 
2429.statecounty,C_Hampton,SC_Hampton
68.county,Wade Hampton Census Area,Lauderdale 
110.fips,5013.0,5027
