41.park_name,Dwightz Park,Dwight Park
37.park_name,Clark Paurk,Clark Park
24.park_name,Benedict Sports Coplex,Benedict Sports Complex
42.park_name,Esquer jPark,Esquer Park
28.park_name,Arreedondo Park,Arredondo Park
21.park_address,"1817 E Cornell Dr Temep, AZ 85283","1817 E Cornell Dr Tempe, AZ 85283"
8.park_name,Tempe BeachP ark,Tempe Beach Park
42.park_address,2407 E McArthur Dr Tempe AZ 85281,"2407 E McArthur Dr Tempe, AZ 85281"
19.park_address,"6818 S Los Feliz Dr Tempe, ZA 85283","6818 S Los Feliz Dr Tempe, AZ 85283"
46.park_name,Parque de Sza,Parque de Soza
24.park_address,"490 W Guadalupe Rd Tempe, AZ8 5283","490 W Guadalupe Rd Tempe, AZ 85283"
56.park_name,Rio Salado Prk,Rio Salado Park
51.park_address,"1250 E Marigold Ln Tempe, A Z85281","1250 E Marigold Ln Tempe, AZ 85281"
26.park_address,"2015 E Hermosa Dr Teme, AZ 85282","2015 E Hermosa Dr Tempe, AZ 85282"
37.park_address,"1730 S Roosevelt St Tempeo, AZ 85281","1730 S Roosevelt St Tempe, AZ 85281"
25.park_name,Kiwanis Pamrk,Kiwanis Park
17.park_address,"7300 S Lakesohre Dr Tempe, AZ 85283","7300 S Lakeshore Dr Tempe, AZ 85283"
53.park_name,Evelyn HallmanP ark,Evelyn Hallman Park
20.park_name,ScudderPark,Scudder Park
33.park_address,"3421S Kenneth Pl Tempe, AZ 85282","3421 S Kenneth Pl Tempe, AZ 85282"
15.park_address,"1835 E Caroline Ln Teme, AZ 85284","1835 E Caroline Ln Tempe, AZ 85284"
7.park_name,Rio Saladox Park,Rio Salado Park
47.park_name,Birchett Park***,Birchett Park
