540.code,74-Im030,74-I030
166.superintendentsemail,mmartin@paulsvalley.k2.ok.us,mmartin@paulsvalley.k12.ok.us
124.fax,(98) 367-5848,(918) 367-5848
421.code,61-0I63,61-I063
25.boardpresident,cBrandon Storm,Brandon Storm
85.address,604 N. 7Th S.,604 N. 7Th St.
149.address,00 West Ruble,500 West Ruble
145.fax,(918o) 326-0035,(918) 326-0035
550.code,77l-I003,77-I003
423.phone,580) 857-2417,(580) 857-2417
159.countyname,GARFIELD    ***,GARFIELD    
101.superintendentsemail,dtrenit@flowermound.k12.ok.us,dtrent@flowermound.k12.ok.us
511.boardpresident,Don Parkenr,Don Parker
129.districtname,OILTON    w                    ,OILTON                        
286.superintendentsemail,ajbrewer@wasihngton.k12.ok.us,ajbrewer@washington.k12.ok.us
189.districtname,BUFFALO               g        ,BUFFALO                       
226.statevalue,K,OK
303.superintendent,Lyn Maxwell,Lynn Maxwell
207.address,706 N. 5Th St UnitG ,706 N. 5Th St Unit G
130.fax,(918) 32k4-5336,(918) 324-5336
343.districtname,OKC CHARTER: KIPP vREACH COLL. ,OKC CHARTER: KIPP REACH COLL. 
350.city,Lutwher,Luther
500.districtname,AHRDESTY                      ,HARDESTY                      
202.websiteurl,http://wwwa.ltusps.com,http://www.altusps.com
116.districtname,KETCHUM      u                 ,KETCHUM                       
523.address,109 North Armstrong Sqtreet,109 North Armstrong Street
374.superintendent,Allne Callahan,Allen Callahan
156.phone,(58m0) 863-2220,(580) 863-2220
126.districtname,MOUNDS                       ,MOUNDS                        
376.address,204 East q5Th Street,204 East 5Th Street
521.fax,(9q18) 246-1401,(918) 246-1401
425.phone,(580 310-6751,(580) 310-6751
217.websiteurl,Kidre.k12.ok.us,Kidare.k12.ok.us
484.superintendentsemail,lcalloway@gans.k12.k.us,lcalloway@gans.k12.ok.us
78.city,Tahlequha,Tahlequah
50.boardpresident,Jamie Coiurtney,Jamie Courtney
473.address,36085 Ew 1104,36085 Ew 1140
521.superintendentsemail,shery.durkee@sandites.org,sherry.durkee@sandites.org
98.websiteurl,www.cottonwoodschool.ent,www.cottonwoodschool.net
463.code,6n6-I007,66-I007
391.boardpresident,Dann yDouthit,Danny Douthit
483.superintendentsemail,ronald.flanagan@staffm.uldrowps.org,ronald.flanagan@staff.muldrowps.org
416.code,16-I014,61-I014
216.fax,(580) 632-3970,(580) 362-3970
258.websiteurl,www.stroud.k12.ok.us***,www.stroud.k12.ok.us
299.countyname,MCCURTAIN  ,MCCURTAIN   
373.address,10061 Pryingey Avenue,10061 Pringey Avenue
121.superintendent,Rachel Coljlins,Rachel Collins
203.address,606 E. 6Thl Street,606 E. 6Th Street
