year,state,hai,operative_procedure,facility_id_one,facility_name_one,county,procedure_count,infection_count,predicted_infection_count,sir,comparison,sirci_nine_five_lower_limit,sirci_nine_five_upper_limit,notes
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000002,AHMC Anaheim Regional Medical Center,Orange,13,0,0.13,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000074,Anaheim Global Medical Center,Orange,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000008,Antelope Valley Hospital,Los Angeles,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,240000100,Arrowhead Regional Medical Center,San Bernardino,1,0,0.06,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,120001330,Bakersfield Heart Hospital,Kern,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,120000338,Bakersfield Memorial Hospital,Kern,5,0,0.09,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000002,California Hospital Medical Center - Los Angeles,Los Angeles,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,220000022,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,3,0,0.22,0.0,No Difference*,0.0,16.77,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000004,Cedars-Sinai Medical Center,Los Angeles,4,0,0.09,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,140000014,Children's Hospital & Research Center Oakland,Alameda,8,0,0.08,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000034,Children's Hospital Los Angeles,Los Angeles,14,0,0.14,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000070,Citrus Valley Medical Center - IC Campus,Los Angeles,3,0,0.06,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70000137,Community Hospital of The Monterey Peninsula,Monterey,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,50000014,Community Memorial Hospital - San Buenaventura,Ventura,26,0,0.33,0.0,No Difference*,0.0,11.18,* See Data Dictionary
