Style,MPG City,MPG Hwy,Invoice,MSRP
"2WD Reg Cab 140.5"" ST",,,"$31,732","$34,680"
"2WD Reg Cab 140.5"" SLT",,,"$34,953","$38,320"
"2WD Crew Cab 149"" ST",,,"$35,112","$38,250"
"2WD Crew Cab 149"" SLT",,,"$39,744","$43,485"
"2WD Crew Cab 149"" Laramie",,,"$42,913","$47,065"
"2WD Crew Cab 169"" ST",,,"$35,289","$38,450"
"2WD Crew Cab 169"" SLT",,,"$39,921","$43,685"
"2WD Crew Cab 169"" Laramie",,,"$43,090","$47,265"
"2WD Mega Cab 160.5"" SLT",,,"$40,454","$44,185"
"2WD Mega Cab 160.5"" Laramie",,,"$43,622","$47,765"
"4WD Reg Cab 140.5"" ST",,,"$34,422","$37,595"
"4WD Reg Cab 140.5"" SLT",,,"$37,869","$41,490"
"4WD Crew Cab 149"" ST",,,"$37,945","$41,350"
"4WD Crew Cab 149"" SLT",,,"$42,440","$46,430"
"4WD Crew Cab 149"" Laramie",,,"$45,551","$49,945"
"4WD Crew Cab 169"" ST",,,"$38,122","$41,550"
"4WD Crew Cab 169"" SLT",,,"$42,617","$46,630"
"4WD Crew Cab 169"" Laramie",,,"$45,728","$50,145"
"4WD Mega Cab 160.5"" SLT",,,"$43,110","$47,130"
"4WD Mega Cab 160.5"" Laramie",,,"$46,220","$50,645"
"2WD Reg Cab 143"" WB 60"" CA ST",,,"$29,445","$32,215"
"2WD Reg Cab 143"" WB 60"" CA SLT",,,"$29,445","$32,215"
"2WD Reg Cab 167"" WB 84"" CA ST",,,"$29,618","$32,410"
"2WD Reg Cab 167"" WB 84"" CA SLT",,,"$29,618","$32,410"
"2WD Quad Cab 163"" WB 60"" CA ST",,,"$31,879","$34,965"
"2WD Quad Cab 163"" WB 60"" CA SLT",,,"$31,879","$34,965"
"4WD Reg Cab 143"" WB 60"" CA ST",,,"$32,056","$35,165"
"4WD Reg Cab 143"" WB 60"" CA SLT",,,"$32,056","$35,165"
"4WD Reg Cab 167"" WB 84"" CA ST",,,"$32,233","$35,365"
"4WD Reg Cab 167"" WB 84"" CA SLT",,,"$32,233","$35,365"
"4WD Quad Cab 163"" WB 60"" CA ST",,,"$34,481","$37,905"
"4WD Quad Cab 163"" WB 60"" CA SLT",,,"$34,481","$37,905"
