OBJECTID,ADMIN_ST,ADM_UNIT_CD,ADMU_NAME,BLM_ORG_TYPE,APPRV_DT,EFF_DT,ADMU_ST_URL,PARENT_CD,PARENT_NAME,GlobalID,Shape__Area,Shape__Length
97,UT,UTC03000,St. George,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTC00000,Color Country,{C12A0921-E991-4965-833B-6201C6C12E0A},6370162710.8908,363661.586116469
101,UT,UTY02000,Monticello,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTY00000,Canyon Country,{F8A201AB-9650-4C96-8E1F-D59240EA4550},18581355738.9133,988772.469862946
102,UT,UTC01000,Cedar City,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTC00000,Color Country,{2860CB2B-2E31-426E-82CA-5260045A14D6},15185532656.9497,562409.016856449
103,UT,UTY01000,Moab,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTY00000,Canyon Country,{6625CBFE-86CB-461D-AB74-3C882EF79D7B},11521953285.6149,724391.031337546
104,UT,UTG02000,Price,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTG00000,Green River,{B1B99993-58A9-407C-BF3A-A99F6CEDC8C8},15391252725.2456,644931.676257667
105,UT,UTC02000,Richfield,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTC00000,Color Country,{CF6CB1FD-2913-433A-9477-185979007BB3},22180743952.7341,1097696.26511284
106,UT,UTW02000,Fillmore,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTW00000,West Desert,{FF5662DB-A613-483A-8A2F-60CDEA4E36C1},26537003603.0448,792196.838445626
107,UT,UTG01000,Vernal,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTG00000,Green River,{475ED5A1-1A1A-484B-94F9-E9EEB2A7361C},21936286331.3961,715209.167578964
108,UT,UTW01000,Salt Lake,Field,1946/01/01 00:00:00+00,1946/01/01 00:00:00+00,https://www.blm.gov/utah,UTW00000,West Desert,{4D3E637D-5095-48E3-8FF0-619222AFB11C},62711033357.3754,1254062.22274298
914,UT,UTC04000,Kanab,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,https://www.blm.gov/utah,UTP00000,Paria River,{32107685-0AC5-403A-893C-E566132CF655},2580570183.96728,527562.966812736
915,UT,UT030000,Grand Staircase Escalante Nat Monument,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,https://www.blm.gov/utah,UTP00000,Paria River,{F97D984D-4187-4D9F-B1C8-EFE43806B778},7610646090.80199,833280.355931364
916,UT,UTC04000,Kanab,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,https://www.blm.gov/utah,UTP00000,Paria River,{857EA8DD-E8A8-4AFC-96A1-61AC8F808FBE},9202094079.64847,888392.525269263
