sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanc",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
fTotal,emale,"American Indian/Alaska Native, non-Hsipanic",2003,242.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Tota l,Female,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not available.
Tota l,Fmeale,"American Indian/Alaska Native,k non-Hispanic",2006,229.0,0.7,Data not available.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Total,Femlae,"American Indian/Alask Native, non-Hispanic",2010,229.0,0.7,Data not available.
Toatl,emale,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Nativ, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Dcata not available.
Total- Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not available.
Total - ale,Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not avilable.
Totael - Male,Male,"Amrican Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data notavailable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total -M ale,Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not avialable.
Total - Male,Male,"American Indina/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Fmale,Female,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not availabe.
Total - Female,Female,"American Indian/Alaska Native, non-Hispjanic",2001,229.0,0.7,Datua not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Fremale,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Totl - Female,Femle,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not aavilable.
Total - Fejmale,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not avaliable.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,241.0,1.0,Data not available.
Total - Female,Female,"mAerican Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,243.0,0.9,Data not available.
Toatl - Female,emale,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,244.0,0.9,Data not available.
Total - Female,Female,"American India/nAlaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,243.0,0.7,Data notavailable.
"Total - White, non-Hispanic",Feumale,"White, non-Hispanic",2000,239.0,2.5,Data not available.
"Total - White, non-Hispanic",Female,"Whiet, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,253.0,0.6,Data not available.
"Total - White, non-Hispanic",Fmeale,"White, non-Hispanic",2004,229.0,0.7,Data no tavailable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,0.5,Data not available.
"Total - White, non-Hispanic",Femalae,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Whte, non-Hispanic",Female,"White, nocn-Hispanic",2007,257.0,0.7,Data not availabel.
"Total - White, nonHispanic",emale,"Whiet, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,260.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,229.0,0.7,Data nt available.
"Total - White, non-Hispanic",Femalhe,"White, non-Hispanic",2011,260.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hisanic",2012,229.0,0.7,Data not available.
"Tota l- White, non-Hispanic",Femle,"White, non-Hispanic",2013,259.0,0.6,Data not available.
"Total - Black, non-Hispanic",lFemale,"Black, non-Hispanic",2000,206.0,3.6,Data nota vailable.
"Totl - Black, non-Hispanic",Fembale,"Black, non-Hispanic",2001,229.0,0.7,Data not availble.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Feamle,"Black, non-Hispanic",2003,219.0,1.1,Data not vailable.
"Total - Black, non-Hispanic",Femasle,"Black, non-Histpanic",2004,229.0,0.7,Data nogt available.
"Total - Black, non-Hispanic",Female,"Blac, non-Hispanic",2005,222.0,1.0,Data not avanilable.
"Total - Black, non-Hispanic",Fmale,"Black, non-Hispainc",2006,229.0,0.7,Data not available.
"otal - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,226.0,1.3,Dat not available.
"Total - Black, non-Hispanic",uFemale,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Femael,"Black, non-Hispanic",2009,229.0,1.1,Data nota vailable.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Femakle,"Black, non-Hipsanic",2011,231.0,1.0,Data not available.
"Total - Back, non-Hispanic",Feale,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,232.0,0.7,Data not availabe.
Total - Hispanic,Female,Hispanic,2000,218.0,5.1,Data not available.
Total - Hispanic,Femacle,Hispanic,2001,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispnaic,2002,229.0,0.7,Data ont available.
Total - Hispanic,Female,Hispainic,2003,228.0,1.5,Data not avaivlable.
Total - Hispanic,Female,Hispanic,2004,229.0,0.7,Data not available.
Total - iHispanic,Female,Hnispanic,2005,229.0,1.0,Datanot available.
Total - Hispanic,Female,Hispanic,2006,229.0,0.7,Data not available.
Total - Hispanic,eFmale,Hispanic,2007,231.0,1.3,Data not availabfle.
Total - Hispanic,nFemale,Hispanic,2008,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2009,235.0,1.4,Data not available.
Total - Hcispanic,Female,Hispnaic,2010,229.0,0.7,Data not available.
Total - bHispanic,Femlae,Hispanic,2011,237.0,1.3,Data not avaliable.
Total - Hispanic,Female,Hispanic,2012,229.0,0.7,Data not available.
Total - Hispanic,Feimale,Hispanic,2013,238.0,1.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asiwan, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asfian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanc",Female,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,249.0,3.5,Data for 2000 through 2009 include qPacific Islanders.
"Total - Asian, non-Hispanic",Femadle,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,249.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"otal - Asian, non-Hispanic",Female,"Asian, non-Hispnaic",2009,253.0,4.4,Data for 2000 through 2009 include Pacific Islandpers.
"Total - Asian, nonf-Hispanic",Feale,"Asiian, non-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,266.0,6.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Totmal - Asian, non-Hispanic",Femlae,"Asian, non-Hispanci",2013,258.0,3.7,Data for 2000 through 2009 include Pacfiic Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not aavilable.
"Total - Pacific Islander, nn-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Dta not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Pacific Islander, nn-Hispanic",Femafle,"Pacific Islander, non-Hispanic",2004,229.0,0.7,Data not aavilable.
"Total - Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not avaialble.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data nost available.
"Total- Pacific Islander, non-Hispanic",Female,"Pacific Islnader, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,229.0,0.7,Data ynot available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,227.0,7.3,Data not available.
"Total - Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2012,229.0,0.7,Data not avaliable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islnder, non-Hispanic",2013,232.0,4.3,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska ative, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Naitve, non-Hispanic",Female,"Amevrican Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not availabele.
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",2003,234.0,1.7,Datla not available.
"Total - American Indian/Alaska Native, non-Hispanic",jFemale,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - American Indian/Aalska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,236.0,2.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispnic",Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,235.0,2.7,Data not available.
"Total w- American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native ,non-Hispanic",2009,232.0,3.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Americanp Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not availabel.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,232.0,3.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Dxata not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femgale,"American Iindian/Alaska Native, non-Hispanic",2013,241.0,4.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not aavilable.
