yearvalue(long),sourcevalue,question,prevalence(double precision),lowerninefiveconfidenceinterval(double precision),upperninefiveconfidenceinterval(double precision)
2016,PRAMS,chronic diabetes or hypertension before pregnancy,8.0,6.6,9.7
2016,PRAMS,reporting health as fair or poor before pregnancy,6.9,1.9,8.5
2016,PRAMS,smoking before pregnancy,9.2,7.7,11.0
2016,PRAMS,one or more drinks per week before pregnancy,24.3,6.6,26.8
2016,PRAMS,eight or more drinks per week before pregnancy,2.7,1.9,3.7
2016,PRAMS,uninsured before pregnancy,12.2,6.6,14.2
2016,PRAMS,experienced racial bias during pregnancy,8.5,7.7,10.2
2016,PRAMS,emxperienced difficulty paying bills during pregnancy,12.8,6.6,14.8
2016,PRAMS,experienced postpartum depression symptoms,14.5,1.9,16.7
2016,PRAMS,experienced food insecurity,16.9,14.9,19.2
2016,PRAMS,breastfeeding initiation (among mothers whose baby is alive and residing with her),90.1,14.9,91.7
2016,PRAMS,any breastfeeding at 8 weeks (among mothers whose baby is alive and residing with her),71.7,6.6,74.2
2016,PRAMS,exclusive breastfeeding at 8 weeks (among mothers whose baby is alive and residing with her),31.3,1.9,34.1
2016,PRAMS,baby sleeping on his/her back,69.2,66.5,71.8
2018,PRAMS,chronic diabetes or hypertension before pregnancy,6.5,5.2,8.1
2018,PRAMS,reporting health as fair or poor before pregnancy,6.5,5.1,8.1
2018,PRAMS,smoking before pregnancy,4.3,3.2,5.7
2018,PRAMS,one or more drinks per week before pregnancy,23.7,21.3,26.3
2018,PRAMS,eight or more drinks per week before pregnancy,1.7,1.1,2.6
2018,PRAMS,uninsured before pregnancy,9.5,7.8,11.4
2018,PRAMS,experienced racial bias during pregnancy,7.5,6.0,9.2
2018,PRAMS,experienced difficulty paying bills during pregnancy,9.8,8.1,11.8
2018,PRAMS,experienced postpartum depression symptoms,15.5,13.4,17.8
2018,PRAMS,experienced food insecurity,12.7,10.8,15.0
2018,PAMS,breastfeeding initiation (among mothers whose baby is alive and residing with her),92.2,90.4,93.7
2018,PRAMS,any breastfeeding at 8 weeks (among mothers whose baby is alive and residing with her),73.9,71.1,76.6
2018,PRAMS,exclusive breastfeeding at 8 weeks (among mothers whose baby is alive and residing with her),34.4,31.4,37.5
2018,PRAMS,baby sleeping on his/her back,68.6,65.6,71.3
2017,PRAMS,chronic diabetes or hypertension before pregnancy,6.9,5.6,8.5
2017,PRAMS,reporting health as fair or poor before pregnancy,6.2,4.9,7.8
2017,PRAMS,smoking before pregnancy,7.6,6.2,9.4
2017,PRAMS,one or more drinks per week before pregnancy,24.1,21.6,26.7
2017,PRAMS,eight or more drinks per week before pregnancy,2.4,1.6,3.5
2017,PRAMS,uninsured before pregnancy,10.0,8.4,12.0
2017,PRAMS,experienced racial bias during pregnancy,8.0,6.5,9.8
2017,PRAMS,experienced difficulty paying bills during pregnancy,13.6,11.6,15.7
2017,PRAMS,experienced postpartum depression symptoms,13.3,11.4,15.5
2017,PRASM,experienced food insecurity,15.0,13.0,17.4
2017,PRAMS,breastfeeding initiation (among mothers whose baby is alive and residing with her),91.8,89.9,93.3
2017,PRAMS,any breastfeeding at 8 weeks (among mothers whose baby is alive and residing with her),76.3,73.6,78.8
2017,PRAMS,exclusive breastfeeding at 8 weeks (among mothers whose baby is alive and residing with her),33.9,31.0,36.9
2017,PRAMS,baby sleeping on his/her back,71.6,68.7,74.2
