Unnamed: 0,TOTAL,%
0),2561,81.5
1),290,9.2
2),102,3.2
3),46,1.5
4),22,0.7
5),22,0.7
6),10,0.3
7),8,0.3
8),5,0.2
9),6,0.2
10),5,0.2
11),3,0.1
12),5,0.2
13),4,0.1
14),5,0.2
15),2,0.1
16),2,0.1
17),3,0.1
18),2,0.1
19),1,0.0
22),3,0.1
23),1,0.0
24),1,0.0
25),3,0.1
26),1,0.0
27),2,0.1
28),1,0.0
29),1,0.0
30),1,0.0
32),1,0.0
33),1,0.0
34),1,0.0
36),2,0.1
41),2,0.1
42),1,0.0
43),1,0.0
48),1,0.0
50),1,0.0
51),1,0.0
54),1,0.0
60),1,0.0
72),1,0.0
75),1,0.0
84),1,0.0
137),1,0.0
140),1,0.0
145),1,0.0
179),1,0.0
188),1,0.0
526),1,0.0
TOTAL,3141,100.0
