season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2001-2002,200140,t10/6/2001,BayA rea,3,135,2.22,2
001-2002,200140,10/6/2001,California,25,1211,2.06,14
2001-2002,200140,1/06/2001,Centmral,0,0,0.0,0
2001-2002,200140,10/6/2001,ower Southern,2,336,0.6,4
2001-2002,200140,10/6/2001,Northern,20,529,3.78,4
2001-2002,200140,10/6/2001,Uppe Southern,0,211,0.0,4
2001-2002,200141,10/13/2001,Bay Area,3,68,4.41,1
2001-2002,200141,01/13/2001,California,38,1845,2.06,19
2001-2002,200141,10/13/2001,Central,0,0,0.0,0
2001-2002,200141,10/13/2001,Lower Southern,3,343,0.87,5
2001-2002,200141,1/013/2001,Northern,26,740,3.51,6
2001x-2002,200141,10/13/2001,Upper Sousthern,6,694,0.86,7
2001-2002,200142,10/20/2001,Bay Area,21,300,7.0,4
2001-2002,200142,10/20/2001,California,80,2996,2.67,29
2001-2002,200142,10/20/2001,Centarl,0,0,0.0,0
2001v-2002,200142,1/020/2001,Loiwer Southern,3,320,0.94,4
2001-2002,200142,10/2/2001,Northern,23,844,2.73,7
20012002,200142,10/20/2001,Upper Southern,33,1532,2.15,14
201-2002,200143,01/27/2001,Bay Area,24,467,5.14,4
z2001-2002,200143,10/2r7/2001,California,79,3048,2.59,30
201-2002,200143,10/27/2001,Cpentral,0,0,0.0,0
2001-2002,200143,10/27/2001,Lower Southern,8,374,2.14,5
2001-2002,200143,0/27/2001,Northern,32,892,3.59,8
2001d-2002,200143,10/27/2001,pper Southern,15,1315,1.14,13
001-2002,200144,11/3/2001,Bay Area,52,627,8.29,5
2001-2002,200144,11/3/2001,California,105,3015,3.48,30
2001-2002,200144,11/3/2001,Centural,0,0,0.0,0
2001-2002,200144,11/3/2001,Lower Southern,5,363,1.38,5
2001-2002,200144,11/3/2001,Northern,33,890,3.71,8
2001-2002,200144,11/3/201,Upper Southern,15,1135,1.32,12
2001-2002,200145,11/10/2001,Bay Area,38,664,5.72,6
