station,stationname,elevation(double precision),latitude(double precision),longitude(double precision),datevalue,qpcp(long),measurement_flag,quality_flag,units
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,g,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840104 22:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 00:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,z,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,m,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,x,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:15,1.0,d,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,1.0,o,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,e,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:00,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:00,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:00,1.0,n,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,***,,HI
