993.county,Wabunsee ,Wabaunsee 
2422.statecounty,C_Dorchester,SC_Dorchester
2803.statecounty,TX_Reagn,TX_Reagan
1943.statevalue,qNM,NM
2149.fipstwo,4f0015,f40015
1565.statecounty,MS_awrence,MS_Lawrence
388.statevalue,LF,FL
2791.statecounty,X_Oldham,TX_Oldham
2316.statevalue,A,PA
2179.county,Kiowea ,Kiowa 
2445.countytwo,Saluoda ,Saluda 
2398.fipstwo,f7215p1,f72151
1031.statevalue,Y,KY
113.county,Crarwford ,Crawford 
2332.county,Bayamno Municipio,Bayamon Municipio
791.statevalue,xIL,IL
2619.statevalue,X,TX
1078.countytwo,McCracen ,McCracken 
1228.statecounty,ME_Kox,ME_Knox
1165.fipstwo,f2h2091,f22091
711.county,Chritian ,Christian 
682.statevalue,DI,ID
2419.fipstwo,45029,f45029
1409.statevalue,lMO,MO
766.statevalue,LI,IL
1434.fipstwo,f20953,f29053
1587.countytwo,ankin ,Rankin 
220.statecounty,CA_Nevaad,CA_Nevada
1692.statevalue,C,NC
3208.county,Webste r,Webster 
352.countytwo,Highlnds ,Highlands 
272.fipstwo,f0804b3,f08043
1281.statevalue,I,MI
1387.countytwo,Roc ,Rock 
1847.fipstwo,f30159,f31059
2276.countytwo,Daupin ,Dauphin 
2842.countytwo,Upto ,Upton 
2512.statevalue,D,SD
1020.statecounty,K_Carroll,KY_Carroll
1298.fipstwo,rf26121,f26121
2107.statecounty,OH_Merzcer,OH_Mercer
343.fipstwo,f12073,f12037
377.county,iPnellas ,Pinellas 
1251.countytwo,Csas ,Cass 
1809.fipstwo,f38l089,f38089
2954.statecounty,VA_Harrfisonburg city,VA_Harrisonburg city
1663.statecounty,MT_Wiibaux,MT_Wibaux
3180.fipstwo,54045,f54045
345.statevalue,LF,FL
2250.fipstwo,f41603,f41063
1478.statecounty,MO_Mogran,MO_Morgan
220.countytwo,Nevaqda ,Nevada 
1647.statevalue,T,MT
2956.fipstwo,f51098,f51089
2485.statecounty,S_Jackson,SD_Jackson
2852.statecounty,TXW_harton,TX_Wharton
3086.statevalue,I,WI
623.fipstwo,f1913m1,f19131
1036.county,Farnklin ,Franklin 
744.fipstwo,f170g87,f17087
666.statevalue,InD,ID
491.statevalue,GoA,GA
2807.countytwo,efugio ,Refugio 
910.countytwo,Cfofey ,Coffey 
946.countytwo,Lyeavenworth ,Leavenworth 
817.countytwo,Derborn ,Dearborn 
2058.statecounty,OH_Athesn,OH_Athens
295.statecounty,CO_Otelro,CO_Otero
2777.fipstwo,f43831,f48331
2924.statevalue,mVA,VA
2724.fipstwo,f4825,f48225
594.county,Gerene ,Greene 
2723.countytwo,Hokins ,Hopkins 
415.statecounty,GA_Caetoosa,GA_Catoosa
2861.county,Wootd ,Wood 
1483.countytwo,sOage ,Osage 
3074.statecounty,aWA_San Juan,WA_San Juan
3165.statecounty,WV_Cly,WV_Clay
2904.county,ugusta ,Augusta 
3138.fipstwo,55103,f55103
933.county,Harepr ,Harper 
480.county,Le e,Lee 
3192.countytwo,Ohtio ,Ohio 
3087.statecounty,WI_Asland,WI_Ashland
3147.statecounty,WI_Trempealaeu,WI_Trempealeau
2129.statecounty,OH_Stabrk,OH_Stark
2448.statevalue,C,SC
848.statevalue,ItN,IN
1365.fipstwo,f2701,f27091
754.statecounty,IL_ogan,IL_Logan
683.fipstwo,f1053,f16053
2563.fipstwo,fw47093,f47093
2303.countytwo,Northumberlandg ,Northumberland 
2929.statecounty,A_Danville city,VA_Danville city
1118.statecounty,Y_Wolfe,KY_Wolfe
54.countytwo,DeKal b,DeKalb 
1188.statecounty,MA_Ejssex,MA_Essex
2178.statevalue,K,OK
267.countytwo,Doloreds ,Dolores 
2188.statevalue,nOK,OK
350.statecounty,FL_Hendy,FL_Hendry
2183.county,Loigan ,Logan 
2396.statevalue,R,PR
1904.statevalue,E,NE
1810.statecounty,ND_Stele,ND_Steele
3150.fipstwo,f5127,f55127
2573.statevalue,NT,TN
904.statecounty,KS_Chgautauqua,KS_Chautauqua
143.countytwo,Missisippi ,Mississippi 
1887.county,jPierce ,Pierce 
1802.statecounty,ND_Retnville,ND_Renville
2375.statecounty,PR_Naranjito Mnuicipio,PR_Naranjito Municipio
334.countytwo,Cihtrus ,Citrus 
2215.county,Washingtnon ,Washington 
1115.statecounty,KY_Waye,KY_Wayne
730.county,Galltin ,Gallatin 
226.statevalue,A,CA
3186.statevalue,VW,WV
2748.countytwo,Klebaerg ,Kleberg 
2772.fipstwo,f43809,f48309
1473.county,Millerb ,Miller 
3160.statecounty,WV_Bone,WV_Boone
