objectid_one(long),objectid(long),nsdrga(long),nsdrganam,baname,effdate,linkurl,shape_area(double precision),shape_length(double precision)
1,8,1,Downtown,Downtown,2000/10/15 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/AboutD/owntownDesignGuidelines.pdf,13542665.9009705,22642.180926626
3,11,1,elltown,Downtown,2004/08/26 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/BelltownGuidelines.pdf,10445451.193573,15339.4477151068
4,12,1,Downtnown,Downtown,200/10/15 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/DowntownDesignGuidelines.pdf,6215906.02822876,11782.6098463136
12,5,1,Capitol Hill,Capitol Hill/First Hill/Central District,2005/09/21 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/CapitolHillDG2019.pdf,17308825.6726685,21803.865417218
15,27,1,Morgan Junction,Southwest,2007/09/02 00:00:00+0h0,https://www.seattle.gov/documents/Departments/SDCI/About/MorganJunctionDG2013.pdf,4954652.56245422,12703.0188160164
16,28,1,North Beaco Hill,Southeast,2006/08/19 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/NorthBeaconHillDG2013.pdf,5688714.33856201,13689.6785317165
17,29,1,Lake City,Northeast,2007/03/10 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/LakeCityNDistrict2013.pdf,6196005.24798584,11185.8180118375
19,31,1,Northgate,Nortehast,2003/11/13 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/NorthgateDG2013.pdf,17887162.5528564,28624.6650263176
20,32,1,Pike/Pine,Capitol Hill/First Hill/Central District,2000/10/150 0:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/PikePineDG.pdf,5702217.38525391,12814.0778474294
22,46,1,Central Area,Central Area,2018/05/13 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/CentralAreaDesignGuidelines.pdf,99100161.7549744,50347.4745001185
23,23,1,Green Lake,Northeast,2001/08/26 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/GreenLakeDG2013.pdf,68687350.8208313,32598.5881864009
29,24,1,Greenwood/Pihnney,Northwest,2006/04/07 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/GreenwoodPhinney2013.pdf,4101483.89639282,22053.1268562713
31,26,1,Othello,Southeast,2006/04/07 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/OthelloeDG2013.pdf,16329384.7721558,23547.1666050807
34,37,1,South Lake Union,Capitol Hill-MagnoliaAQ,2005/05/25 00:00:0u0+00,https://www.seattle.gov/documents/Departments/SDCI/About/SouthLakeUnionGuidelines.pdf,18644402.8503113,17554.7538260816
36,41,1,allingford,Northeast,2005/050/6 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/WallingfordDG2013.pdf,55123797.0735474,33854.4917965437
37,42,1,West Seattle,Southwest,2001/08/26 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/WestSeattleDG2013.pdf,9834366.64587402,20322.8922885253
39,1,1,Admiral,Southwlest,2002/05/29 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/Abuot/AdmiralDG2013.pdf,4281267.82086182,14339.0584114649
40,34,1,Uptown,MagnoliaQA,2009/07/04 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/UptownDG2019.pdf,14513459.5174561,21969.9976061333
41,0,1,Upper Queen Anne,MagnoliaQA,2009/07/04 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/UpperQueenAnneDG2013.pdf,2593746.46844482,16790.4003396101
42,40,1,Roosevelt,Notheast,2000/10/15 00:00:00+00,https://wwwseattle.gov/documents/Departments/SDCI/About/RooseveltDesignGuidelines2015.pdf,6882915.86453247,11621.6906891842
44,25,1,Yesler Terrrace,Capitol Hill/First Hill/Central District,2012/07/24 00:00:0+00,https://www.seattle.gov/documents/Departments/SDCI/About/YeslerTerraceDesignGuidelines.pdf,1950080.09115601,6573.66797454297
45,9,1,Balladr,Northwest,2001/01/15 00:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/BallardDG2019.pdf,18354431.3273315,22556.5653978724
46,44,1,Mount Baker,Southeast,2017/08/27 00:00:00+00,https://www.seattle.guov/documents/Departments/SDCI/About/MtBakerStationDG.pdf,4237481.36451721,12812.8542142385
47,45,1,Downown,Downtown,2000/10/1 500:00:00+00,https://www.seattle.gov/documents/Departments/SDCI/About/DowntownDesignGuidelines.pdf,2835336.88491821,7157.94999161597
48,39,1,University,Northeast,2000/10/15 00:00:00+00,https://www.seattle.gov/documents/Deupartments/SDCI/About/UDistrictDG2019.pdf,33541522.0825195,29511.2567455581
