characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,112.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Dta not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,118.0,1.2,Data not availsable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.0,Data nt available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,115.0,2.3,Data not avauilable.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data not available.
Total - sMale,eMale,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data nt available.
Total - Male,Male,"American Indian/AlaskaN ative, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,120.0,1.3,Data not available.
Total - Female,Fmale,"American Indian/Alaska Native, non-Hispanic",2005,108.0,2.6,Data not availble.
Total -F emale,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not availale.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not avaliable.
Total -F emale,Female,"American Indian/Alaska Native, non-Hispanic",2013,113.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,120.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,120.0,2.4,Daa not available.
"Total - White, non-Hispanic",Female,"White, non-Hisppanic",2007,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,127.0,1.3,Data not available.
"Total - White, non-Hispanic",Female,"White ,non-Hispanic",2010,120.0,2.4,Data not available.
