objectid_one(long),webpage,distname,acres(double precision),creation_date,creator,edit_date,editor,shape_area(double precision),shape_length(double precision)
1,,Lake Anne Village,9.06757548,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,394983.5078125,4163.99477308981
2,,Sully,430.5975335,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,18756828.5625,16068.4475188833
3,,Robey's Mill,92.20638411,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,4016510.109375,8513.99500775117
28,,Saint Mary's Church,59.23291686,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,2580185.90625,7684.09527174308
5,,Woodlawn,639.01874281,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,27835656.546875,21072.5340515903
6,,Pohick Church,226.77933823,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,9878508.0,12890.1850940142
7,,Bull Run Stone Bridge,89.45985083,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,3896870.9921875,35043.70579075922
8,,Colvin Run Mill,185.48992017,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,8079940.828125,13836.5159470292
9,,Dranesville Tavern,167.23177254,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,7284616.0078125,10520.1979239873
10,,Huntley,110.75097894,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,4824312.640625,10598.6203069843
11,,Langley Fork,70.67274275,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,3141021.6328125,10049.3680925256
12,,Mount Air,80.77894601,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,3518730.90625,8578.03702799206
13,,Centreville,83.2509197,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,3605479.75,15968.2010171951
14,,Hollin Hills,9.06757548,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,12687496.2734375,28476.5734769182
15,,Wellington at River Farm,9.06757548,2023/08/13 11:04:29.805+00,FairfaxCounty,2023/08/13 11:04:29.805+00,FairfaxCounty,1061326.3828125,4787.18831637519
