thegeom,name,housenum,streetname,city,zip,url,bin,bbl
POINT (-73.97544509708256 40.75325543261831),Grand Central Station,450,LEXINGTON AVENUE,New York,10017,http://www.usps.com/,1085671,1012800090.0
POINT (-73.97801774312154 40.75827112445771),Grand Central Station,625,8 AVENUE,New York,10018,http://www.usps.com/,1083268,1010320029.0
POINT (-73.98982153195676 40.754183189157985),Midtown Station,223,WEST 38 STREET,New York,10018,http://www.usps.com/,1014478,1007880026.0
POINT (-73.97544509708256 40.75325543261831),Grand Central Station,322,WEST 52 STREET,New York,10019,http://www.usps.com/,1025213,1010420044.0
POINT (-73.97801774312154 40.75827112445771),Grand Central Station,610,5 AVENUE,New York,10020,http://www.usps.com/,1082656,1012650050.0
POINT (-73.98982153195676 40.754183189157985),Lenox Hill Station,217,EAST 70 STREET,New York,10021,http://www.usps.com/,1043922,1014250013.0
POINT (-73.97801774312154 40.75827112445771),Lenox Hill Station,909,3 AVENUE,New York,10022,http://www.usps.com/,1038570,1013280001.0
POINT (-73.97801774312154 40.75827112445771),Columbus Circle,27,WEST 60 STREET,New York,10023,http://www.usps.com/,1084277,1011130008.0
POINT (-73.9814763750075 40.77480507521965),Ansonia Station,178,COLUMBUS AVENUE,New York,10023,http://www.usps.com/,1084564,1011397503.0
POINT (-73.9814763750075 40.77480507521965),Planetarium Station,127,WEST 83 STREET,New York,10024,http://www.usps.com/,1032118,1012140019.0
POINT (-73.96502370460061 40.8048735997138),Columbia University,534,WEST 112 STREET,New York,10025,http://www.usps.com/,0,1018830054.0
POINT (-73.96861176613825 40.79201223884607),Park West Finance,700,COLUMBUS AVENUE,New York,10025,http://www.usps.com/,1032562,1012250029.0
POINT (-73.96739981995789 40.799680115826966),Cathedral Station,215,WEST 104 STREET,New York,10025,http://www.usps.com/,1056587,1018760022.0
POINT (-73.95420102848708 40.803615433219576),Morningside Station,232,WEST 116 STREET,New York,10026,http://www.usps.com/,1055244,1018310049.0
POINT (-73.95311492876527 40.811462938444954),Manhattanville,365,WEST 125 STREET,New York,10027,http://www.usps.com/,1059307,1019520005.0
POINT (-73.9527437184019 40.77764148786082),Gracie,229,EAST 85 STREET,New York,10028,http://www.usps.com/,1048767,1015310016.0
POINT (-73.9437788609116 40.79477681275066),Hellgate Station,153,EAST 110 STREET,New York,10029,http://www.usps.com/,1052179,1016380024.0
POINT (-73.94255263001938 40.81921252473922),College Station,217,WEST 140 STREET,New York,10030,http://www.usps.com/,1060407,1020260017.0
