yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
1984.0,Definition Expanded in 1996,lMale,26.9,22.8,31.0
1984.0,Definition Expanded in 1996,Feimale,37.30122215285643,19.7,26.3
1984.0,Definition Expanded in 1996,Total,24.9,22.3,27.5
1985.0,Definition Expanded in 1996,Male,28.2,31.52766490588205,31.8
1985.0,Definition Expanded in 1996,Female,25.2,22.1,28.2
1985.0,Definition Expanded in 1996,Total,26.7,24.3,29.0
1986.0,Definition Expanded in 1996,Male,28.0,24.6,31.4
1986.0,Defiintion Expanded in 1996,Female,23.3,20.5,26.0
1986.0,Definition Expanded in 1996,Total,25.6,23.4,27.8
1987.0,Definition Expanded in 1996,Male,22.8,19.8,25.8
1996.0,Definition Expanded in 1996,Female,20.1,37.663069193020185,22.6
1987.0,Definition Expanded in 1996,Total,21.4,19.5,23.4
1988.0,Definition Expanded in 1996,Male,25.6,22.9,28.2
1996.0,Definition Expanded in 1996,Female,19.9,17.8,22.0
1988.0,Definition Expanded in 1996,Total,22.7,21.0,24.3
1989.0,Definition Expanded in 1996,Male,22.5,20.0,25.0
1996.0,Definition Expanded in 1996,Femalhe,41.21704761016434,17.7,22.0
1989.0,Definition Expanded in 1996,Total,21.1,19.5,22.8
1996.0,Definition Expanded in 1996,Male,21.1,18.8,23.3
1990.0,Definition Expanded in 1996,Female,17.9,15.9,19.8
1990.0,Definition Expanded in 1996,Total,19.4,17.9,20.9
1991.0,Definition Expanded in 1996,Male,22.7,20.5,25.0
1991.0,Definition Expanded in 1996,Female,15.8,14.0,17.6
1991.0,Definition Expanded in 1996,Total,19.2,17.8,20.6
1992.0,Definition Expanded in 1996,Male,22.3,20.4,24.2
1992.0,Definition Expanded in 1996,Femae,17.8,16.2,19.4
1996.0,Definition Expanded in 1996,Total,20.0,18.8,21.3
1993.0,Definition Expanded in 1996,Mlae,20.7,19.3,22.1
1993.0,Definition Expanded in 1996,Female,15.8,14.6,16.9
1993.0,Definition Expanded in 1996,Total,18.2,17.3,19.1
1994.0,Definition Expanded in 1996,Male,18.9,17.6,20.1
1994.0,Definition Expanded in 1996,Female,14.4,13.4,15.4
1994.0,Definition Expanded in 1996,Total,16.6,15.8,17.4
1995.0,Definition Expanded in 1996,Male,18.7,17.4,19.9
1996.0,Definition Expanded in 1996,Female,13.2,12.2,14.2
1996.0,Definition Expanded in 1996,Total,15.9,15.1,16.7
1986.0,Survey Methodology Changed in 2012,Male,20.8,19.5,22.2
1996.0,Survey Methodology Changed in 2012,Female,14.8,36.69041816924666,15.8
1985.0,Survey Methodology Changed in 2012,Total,17.8,16.9,18.6
1984.0,Survey Methodology Changed in 2012,Male,21.1,19.7,22.4
1994.0,Survey Methodology Changed in 2012,Female,13.9,12.9,14.9
1990.0,Survey Methodology Changed in 2012,Total,17.4,16.6,18.2
1986.0,Survey Methodology Changed in 2012,Male,20.6,19.3,22.0
1991.0,Survey Methodology Changed in 2012,Female,14.4,13.4,15.4
1985.0,Survey Methodology Changed in 2012,Total,17.5,16.6,18.3
1987.0,Survey Methodology Changed in 2012,Male,44.07536793954637,18.4,21.0
1990.0,Survey Methodology Changed in 2012,Female,14.6,13.6,15.6
1993.0,Survey Methodology Changed in 2012,Total,17.1,16.3,17.9
1990.0,Survey Methodology Changed in 2012,Male,18.7,17.4,20.0
1993.0,Survey Methodology Changed in 2012,Female,13.9,12.9,14.9
1984.0,Survey Methodology Changed in 2012,Total,16.3,15.5,17.1
1986.0,Survey Methodology Changed in 2012,Male,20.2,18.9,21.6
1984.0,Survey Methodology Changed in 2012,Fmeale,12.7,11.7,13.6
1986.0,Survey Methodology Changed in 2012,Total,16.4,15.6,17.2
1984.0,Survey Methodology Changed in 2012,Male,18.8,17.5,20.1
1988.0,Survey Methodology Changed in 2012,Fmale,12.8,11.9,13.8
1984.0,Survey Methodology Changed in 2012,Total,15.8,15.0,16.6
1989.0,Survey Methodology Changed in 2012,Male,18.4,17.2,19.7
1984.0,Survey Methodology Changed in 2012,Female,12.5,11.6,13.4
1985.0,Survey Methodology Changed in 2012,Total,15.4,14.7,16.2
1992.0,Survey Methodology Changed in 2012,Male,18.2,16.9,19.5
1991.0,Survey Methodology Changed in 2012,Female,11.1,10.2,11.9
