356.schoolname,KINGSBOROUGH AERLY COLLEGE SCHOOL,KINGSBOROUGH EARLY COLLEGE SCHOOL
3.dbn,01Mn450,01M450
454.satwritingavgscore,17,417
48.schoolname,WASHINGTON IRING YABC,WASHINGTON IRVING YABC
103.satcriticalreadingavgscore,60,360
455.numofsattesttakers,3f75,375
365.schoolname,JAMES MADISON HIGqH SCHOOL,JAMES MADISON HIGH SCHOOL
195.satwritingavgscore,37,367
145.satcriticalreadingavgscore,,s
124.satmathavgscore,,s
112.schoolname,IHGH SCHOOL FOR EXCELLENCE AND INNOVATION,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION
82.satcriticalreadingavgscore,***,s
34.schoolname,ELEANOR ROOSEVELT HIGH SCOHOL,ELEANOR ROOSEVELT HIGH SCHOOL
224.satcriticalreadingavgscore,31,431
170.dbn,09X35,09X365
316.numofsattesttakers,,s
14.satcriticalreadingavgscore,23,423
356.satwritingavgscore,***,s
73.dbn,02M6e30,02M630
449.numofsattesttakers,n61,61
341.satwritingavgscore,36g3,363
304.satcriticalreadingavgscore,37,377
355.satmathavgscore,bs,s
439.dbn,29Q469,29Q496
210.satcriticalreadingavgscore,737,377
425.schoolname,TOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
363.schoolname,LIBrERATION DIPLOMA PLUS,LIBERATION DIPLOMA PLUS
352.satmathavgscore,47,427
341.satcriticalreadingavgscore,36j0,360
38.satwritingavgscore,3s91,391
202.satwritingavgscore,***,s
346.satwritingavgscore,i424,424
108.satwritingavgscore,88,588
158.dbn,09X272,09X227
183.satmathavgscore,o393,393
149.numofsattesttakers,,s
284.dbn,15K97,15K497
375.satwritingavgscore,4a21,421
459.dbn,31R600***,31R600
52.satwritingavgscore,a475,475
401.numofsattesttakers,f888,888
412.satmathavgscore,g371,371
65.satwritingavgscore,43,343
380.dbn,24Q45n5,24Q455
60.dbn,0s2M550,02M550
187.satwritingavgscore,,s
308.satcriticalreadingavgscore,36,386
220.satcriticalreadingavgscore,***,s
391.numofsattesttakers,4u5,45
457.schoolname,SUSA NE. WAGNER HIGH SCHOOL,SUSAN E. WAGNER HIGH SCHOOL
192.satwritingavgscore,3a65,365
237.schoolname,THE CINMA SCHOOL,THE CINEMA SCHOOL
46.satwritingavgscore,931,391
414.satmathavgscore,04,404
241.numofsattesttakers,27,72
18.satwritingavgscore,4d05,405
69.satcriticalreadingavgscore,4e26,426
109.satmathavgscore,4s46,446
188.satwritingavgscore,31,301
144.schoolname,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGYa APPLICATIONS","ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS"
445.satwritingavgscore,s494,494
398.satmathavgscore,38q2,382
154.schoolname,BRONX AReENA HIGH SCHOOL,BRONX ARENA HIGH SCHOOL
297.schoolname,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A wCOLLEGE BOARD SCHOOL,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL
372.schoolname,ASPIRATIONS DIPLOMA PLUS HIGH SsCHOOL,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL
70.schoolname,CHELSEA CAREER AND TECHNICAL EDCATION HIGH SCHOOL,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
115.satmathavgscore,38p0,380
434.schoolname,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENzCES,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES
125.schoolname,COMMUNITY SCHOOL FOR SOCIAL JUSTICE***,COMMUNITY SCHOOL FOR SOCIAL JUSTICE
178.satmathavgscore,349,394
46.numofsattesttakers,w49,49
108.satcriticalreadingavgscore,650,605
155.satwritingavgscore,638,368
428.schoolname,QUEENS HIGH SCHOOL FOR THE SIENCES AT YORK COLLEGE,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE
150.satwritingavgscore,35,365
377.dbn,g24Q293,24Q293
171.dbn,09403,09X403
285.numofsattesttakers,77***,77
93.satwritingavgscore,55,455
310.numofsattesttakers,6v3,63
220.satmathavgscore,ms,s
118.schoolname,A. PHILIP RANDOLPH CAMPUS HIGH SCHOL,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL
308.numofsattesttakers,u54,54
85.satwritingavgscore,757,577
447.schoolname,NEWCOMRS HIGH SCHOOL,NEWCOMERS HIGH SCHOOL
367.satmathavgscore,5j61,561
410.numofsattesttakers,63,36
401.satcriticalreadingavgscore,x480,480
27.schoolname,HIGH SCHOOL FOR ENVIRONMENTAL STUDEIS,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
451.numofsattesttakers,16,61
65.satmathavgscore,17,517
37.satwritingavgscore,48,428
311.satwritingavgscore,337,373
324.dbn,1K617,18K617
