county_name,code,district_name,city,address,state,zip,phone,fax,web_siteurl,superintendent,superintendent_email,board_president
ADAIR       ,01-C024,Peavine                       ,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-2199,http://www.peavinepanthers.net/,Jack Ritchie,jritchie@peavinepanthers.net,Edward Gass
ADAIR       ,01-C022,Maryetta                      ,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lmeans@maryetta.k12.ok.us,Larry Eagleton
ADAIR       ,01-C024,Rocky Mountain                ,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-7509,(918) 696-3654,www.rockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Tonya Tidwell
ADAIR       ,01-C022,Zion                          ,Stilwell,"Rural Route 2, Box 1",OK,74960.0,(918) 696-2285,(918) 696-6226,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Horn
ADAIR       ,01-C022,Dahlonegah                    ,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
ADAIR       ,01-C022,Greasy                        ,Bunch,"Rural Route 1, Box 1795",OK,74931.0,(918) 696-7768,(918) 696-7240,NULL,Michael Wolfe,michael.wolfe@greasy.k12.ok.us,Arthur Ross
ADAIR       ,01-C024,Watts                         ,Watts,"Rural Route 2, Box 1",OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@wattsschool.com,Melissa Reynolds
ADAIR       ,01-C022,Westville                     ,Westville,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR       ,01-C022,Stilwell                      ,Stilwell,1801 West Locust Street,OK,74960.0,(918) 696-7807,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Chad Smith
ADAIR       ,01-I030,Cave Springs                  ,Bunch,"Rural Route 6, Box 2840",OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA     ,01-C022,Burlington                    ,Burlington,"Rural Route 2, Box 1",OK,73722.0,(580) 431-2501,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA     ,01-C024,Cherokee                      ,Cherokee,412 East 5Th Street,OK,73728.0,(918) 696-2285,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,andersond@cherokee.k12.ok.us,Kory Littlefield
ALFALFA     ,01-C022,Timberlake                    ,Helena,601 N. Main,OK,73741.0,(580) 852-3307,(580) 852-3280,www.tlake.k12.ok.us,Brent Rousey,rrousey@tlake.k12.ok.us,Chris Clift
ATOKA       ,03-C021,Harmony                       ,Atoka,490 South Bentley Road,OK,74525.0,(918) 696-2285,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,Troy Gammon
ATOKA       ,03-C022,Lane                          ,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandmann
ATOKA       ,03-I007,Stringtown                    ,Stringtown,304 Highland St.,OK,74569.0,(918) 696-7509,(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
ATOKA       ,03-I015,Atoka                         ,Atoka,801 Greathouse Drive,OK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,Jay Mcadams,jmc@atoka.org,Keith Cochran
ATOKA       ,03-I019,Tushka                        ,Atoka,261 W Boggy Depot Road,KO,74525.0,(580) 852-3307,(580) 889-6144,http://tushka.k12.ok.us,Matthew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
ATOKA       ,03-I026,Caney                         ,Caney,"Rural Route 6, Box 2840",OK,74533.0,(580) 889-1996,(580) 889-5033,www.caneyisd.org,Lori Boehme,l.boehme@caneyisd.org,Mandy Lawson
BEAVER      ,04-I022,Beaver                        ,Beaver,807 Ave G,OK,73932.0,(580) 625-3444,(580) 625-3690,http://www.beaver.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
BEAVER      ,04-I075,Balko                         ,Balko,"Rural Route 1, Box 37",OK,73931.0,(580) 646-3385,(580) 646-3499,http://www.balko.k12.ok.us/,Larry Mills,lmills@balko.k12.ok.us,Aaron Stockton
BEAVER      ,01-C024,Forgan                        ,Forgan,504 West Main,OK,73938.0,(580) 487-3366,(580) 487-3368,www.forgan.k12.ok.us,Travis Smalts,tsmalts@forgan.k12.ok.us,Teryl Leisher
BEAVER      ,04-I128,Turpin                        ,Turpin,316 S Lee,OK,73950.0,(580) 778-3333,(580) 778-3179,http://www.turpinps.org,Bret Rider,brider@turpinps.org,Jay Musgrave
BECKHAM     ,05-I002,Merritt                       ,Elk City,19693 East 1130 Road,OK,73644.0,(918) 696-7509,(580) 225-5469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k12.ok.us,Dwight Spitz
BECKHAM     ,05-I006,Elk City                      ,Elk City,222 West Broadway Ave,OK,73644.0,(580) 225-0175,(580) 225-8644,www.elkcityschools.com,Buddy Wood,wood@elkcityschools.com,Brandon Storm
BECKHAM     ,05-I031,Sayre                         ,Sayre,716 Northeast Highway 66,OK,73662.0,(580) 928-5531,(580) 928-5538,http://www.sayre.k12.ok.us,Todd Winn,twinn@sayre.k12.ok.us,Vicki Hinkle
BECKHAM     ,05-I051,Erick                         ,Erick,325 S. Pine St.,OK,73645.0,(580) 526-3476,(580) 526-3308,http://www.erickps.k12.ok.us/,Jeff Kelly,jkelly@erickps.k12.ok.us,Brady Greer
BLAINE      ,06-I009,Okeene                        ,Okeene,301 North Main,OK,73763.0,(580) 822-3268,(580) 822-4123,http://okeene.k12.ok.us/,Ron Pittman,rwpitt@okeene.k12.ok.us,Betty Geis
BLAINE      ,06-I042,Watonga                       ,Watonga,1021 N. Weigle,OK,73772.0,(580) 623-7364,(580) 623-7370,www.watongapublicschools.com,Bill Seitter,billseitter@watonga.k12.ok.us,Joyce Lucas
BLAINE      ,06-I080,Geary                         ,Geary,110 Southwest Embree Drive,OK,73040.0,(405) 884-2411,(405) 884-2099,http://www.gearyschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Randall Base
BLAINE      ,06-I105,Canton                        ,Canton,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,http://www.canton.k12.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Robert Haigler
BRYAN       ,07-I001,Silo                          ,Durant,122 West Bourne Street,OK,74701.0,(580) 924-7000,(580) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@siloisd.org,Mindy House
BRYAN       ,07-I002,Rock Creek                    ,Bokchito,200 East Steakley Street,OK,74726.0,(580) 295-3137,(580) 295-3762,www.rockcreekisd.net,Preston Burns,pburns@rockcreekisd.net,Frank Converse
BRYAN       ,07-I003,Achille                       ,Achille,101 N 5Th Ave,OK,74720.0,(580) 283-3775,(580) 283-3787,http://www.achilleisd.org/,Richard Beene,rbeene@achilleisd.org,Roger West
BRYAN       ,07-I004,Colbert                       ,Colbert,630 Collins St.,OK,74733.0,(580) 296-2624,(580) 296-2088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbert.k12.ok.us,Martin Shoopman
BRYAN       ,07-I005,Caddo                         ,Caddo,600 S. Mcpherren St.,OK,74729.0,(580) 367-2208,(580) 367-2837,www.caddoisd.org,Lee Northcutt,lnorthcutt@caddoisd.org,Don Morris
BRYAN       ,07-I040,Bennington                    ,Bennington,729 North Perry Street,OK,74723.0,(580) 847-2737,(580) 847-2787,http://www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Bryon Underwood
BRYAN       ,07-I048,Calera                        ,Calera,209 N. 3Rd,OK,74730.0,(580) 434-5700,(580) 434-5800,www.caleraisd.k12.ok.us,Gerald Parks,gparks@caleraisd.k12.ok.us,John Carter
BRYAN       ,07-I072,Durant                        ,Durant,1323 Waco Street,OK,74701.0,(580) 924-1276,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,Nate Morrison
BRYAN       ,07-K002,(Ilc) Choctaw Nation          ,Durant,810 Waldon Dr,OK,74702.0,(580) 931-0691,(580) 931-0120,http://www.choctawinterlocal.org,Kenneth Keeling,kkeeling@choctawnation.com,Jarvis Dobbs
CADDO       ,08-I011,Hydro-Eakly                   ,Hydro,407 East Seventh Street,OK,73048.0,(405) 663-2774,(405) 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderryberry@hydroeakly.k12.ok.us,Loyd Lasley
CADDO       ,08-I012,Lookeba Sickles               ,Lookeba,10108 Cr 1150,OK,73053.0,(405) 457-6623,(405) 457-6382,http://www.lookeba.k12.ok.us,Mike Davis,mdavis@lookeba.k12.ok.us,Tommy House
CADDO       ,08-I020,Anadarko                      ,Anadarko,1400 South Mission Street,OK,73005.0,(405) 247-6605,(405) 247-6819,http://www.apswarriors.com,Cindy Hackney,chackney@apswarriors.com,Jackie Mccomas
CADDO       ,08-I033,Carnegie                      ,Carnegie,330 West Wildcat Drive,OK,73015.0,(580) 654-1470,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Peters
CADDO       ,08-I056,Boone-Apache                  ,Apache,522 East Floyd Street,OK,73006.0,(580) 588-3369,(580) 588-3400,http://www.apache.k12.ok.us/,Don Schneberger,dschneberger@apache.k12.ok.us,Charlotte Myers
CADDO       ,08-I064,Cyril                         ,Cyril,326 W. Windle Ave,OK,73029.0,(580) 464-2419,(580) 464-2445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shancy Brown
CADDO       ,08-I086,Gracemont                     ,Gracemont,417 East Mccall,OK,73042.0,(405) 966-2236,(405) 966-2395,www.gracemont.k12.ok.us,Mike Jones,mjones@gracemont.k12.ok.us,Wesley Savage
CADDO       ,08-I160,Cement                        ,Cement,201 S. Main,OK,73017.0,(405) 489-3216,(405) 489-3219,http://cement.opsrc.net/,Daniel Pittman,dpittman@cement.k12.ok.us,Kimbel Estes
CADDO       ,08-I161,Hinton                        ,Hinton,708 N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,www.hintonschools.org,Richard Brownen,richard.brownen@hintonschools.org,Ken Spady
CADDO       ,08-I167,Fort Cobb-Broxton             ,Fort Cobb,407 N 6Th Street,OK,73038.0,(405) 643-2336,(405) 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.com,Derek Weaver
CADDO       ,08-I168,Binger-Oney                   ,Binger,323 South Apache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.us/,Lisa King,lking@binger-oney.k12.ok.us,Tracey Ingram
CANADIAN    ,09-C029,Riverside                     ,El Reno,4800 East Foreman Street,OK,73036.0,(405) 262-2907,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@riverside.k12.ok.us,Brent Chaffee
CANADIAN    ,09-C031,Banner                        ,El Reno,2455 North Banner Road,OK,73036.0,(405) 262-0598,(405) 262-0628,www.banner.k12.ok.us,Larry York,ljyork68@banner.k12.ok.us,Mike Keller
CANADIAN    ,09-C070,Darlington                    ,El Reno,4408 North Highway 81,OK,73036.0,(405) 262-0137,(405) 262-3215,www.darlingtonps.com,Cheryl Garrison,cgarrison@darlington.k12.ok.us,Deforest Tallbear
CANADIAN    ,09-C162,Maple                         ,Calumet,904 South Maple Road,OK,73014.0,(405) 262-5647,(405) 262-5651,www.mapleschool.us,Arthur Eccard,aeccard@mapleschool.us,David Bilderback
CANADIAN    ,09-I022,Piedmont                      ,Piedmont,713 Piedmont Road North,OK,73078.0,(405) 373-2311,(405) 373-0912,http://www.piedmontschools.org/,James White,james.white@piedmontschools.org,Stanley Nance
CANADIAN    ,09-I027,Yukon                         ,Yukon,600 Maple Street,OK,73099.0,(405) 354-2587,(405) 354-4208,www.yukonps.com,W. Jason Simeroth,jason.simeroth@yukonps.com,Leonard Wells
CANADIAN    ,09-I034,El Reno                       ,El Reno,100 South Bickford Ave,OK,73036.0,(405) 262-1703,(405) 262-8620,www.elrenops.org,Craig Mcvay,cmcvay@elrenops.org,Steve Jensen
CANADIAN    ,09-I057,Union City                    ,Union City,105 W. Division,OK,73090.0,(405) 483-3531,(405) 483-5599,www.unioncity.k12.ok.us,Todd Carel,t.carel@unioncity.k12.ok.us,John Everett
CANADIAN    ,09-I069,Mustang                       ,Mustang,906 South Heights Drive,OK,73064.0,(405) 376-2461,(405) 376-7333,http://www.mustangps.org,Sean Mcdaniel,mcdaniels@mustangps.org,Chad Fulton
CANADIAN    ,09-I076,Calumet                       ,Calumet,110 N. Freehome,OK,73014.0,(405) 893-2222,(405) 893-2409,http://www.chs.k12.ok.us,Keith Weldon,kweldon@chs.k12.ok.us,Gary Tech
