sexraceethnicity,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,,,2000,167.0,5.0,
Total ,,,2001,,,Data not available.
Total ,,,2002,187.0,0.8,
Total ,,,2003,184.0,0.6,
Total ,,,2004,,,Data not available.
Total ,,,2005,190.0,0.5,
Total ,,,2006,,,Data not available.
Total ,,,2007,190.0,0.6,
Total ,,,2008,,,Data not available.
Total ,,,2009,189.0,0.7,
Total ,,,2010,,,Data not available.
Total ,,,2011,186.0,0.5,
Total ,,,2012,,,Data not available.
Total ,,,2013,184.0,0.6,
Total - Male,Male,,2000,164.0,5.6,
Total - Male,Male,,2001,,,Data not available.
Total - Male,Male,,2002,186.0,0.9,
Total - Male,Male,,2003,183.0,0.8,
Total - Male,Male,,2004,,,Data not available.
Total - Male,Male,,2005,189.0,0.7,
Total - Male,Male,,2006,,,Data not available.
Total - Male,Male,,2007,190.0,0.6,
Total - Male,Male,,2008,,,Data not available.
Total - Male,Male,,2009,189.0,0.8,
Total - Male,Male,,2010,,,Data not available.
Total - Male,Male,,2011,186.0,0.6,
Total - Male,Male,,2012,,,Data not available.
Total - Male,Male,,2013,184.0,0.8,
Total - Female,Female,,2000,173.0,7.7,
Total - Female,Female,,2001,,,Data not available.
Total - Female,Female,,2002,188.0,1.1,
Total - Female,Female,,2003,187.0,1.0,
Total - Female,Female,,2004,,,Data not available.
Total - Female,Female,,2005,191.0,0.7,
Total - Female,Female,,2006,,,Data not available.
Total - Female,Female,,2007,191.0,0.9,
Total - Female,Female,,2008,,,Data not available.
Total - Female,Female,,2009,190.0,1.0,
Total - Female,Female,,2010,,,Data not available.
Total - Female,Female,,2011,187.0,0.9,
Total - Female,Female,,2012,,,Data not available.
Total - Female,Female,,2013,184.0,0.9,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,182.0,5.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,195.0,0.8,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,194.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,199.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,200.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,200.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,197.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,196.0,0.7,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2000,143.0,10.8,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2002,170.0,1.9,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2003,165.0,1.1,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,171.0,1.2,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,172.0,1.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,172.0,1.2,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,169.0,1.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2013,168.0,1.0,
Total - Hispanic,,Hispanic,2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,,Hispanic,2001,,,Data not available.
Total - Hispanic,,Hispanic,2002,174.0,2.3,
