sexraceethnicity,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,NULL,NULL,2000,167.0,5.0,NULL
Total ,NULL,NULL,2001,NULL,NULL,Data not available.
Total ,NULL,NULL,2002,187.0,0.8,NULL
Total ,NULL,NULL,2003,184.0,0.6,NULL
Total ,NULL,NULL,2004,NULL,NULL,Data not available.
Total ,NULL,NULL,2005,190.0,0.5,NULL
Total ,NULL,NULL,2006,NULL,NULL,Data not available.
Total ,NULL,NULL,2007,190.0,0.6,NULL
Total ,NULL,NULL,2008,NULL,NULL,Data not available.
Total ,NULL,NULL,2009,189.0,0.7,NULL
Total ,NULL,NULL,2010,NULL,NULL,Data not available.
Total ,NULL,NULL,2011,186.0,0.5,NULL
Total ,NULL,NULL,2012,NULL,NULL,Data not available.
Total ,NULL,NULL,2013,184.0,0.6,NULL
Total ,Male,NULL,2000,164.0,5.6,NULL
Total ,Male,NULL,2001,NULL,NULL,Data not available.
Total ,Male,NULL,2002,186.0,0.9,NULL
Total ,Male,NULL,2003,183.0,0.8,NULL
Total - Male,Male,NULL,2004,NULL,NULL,Data not available.
Total ,Male,NULL,2005,189.0,0.7,NULL
Total ,Male,NULL,2006,NULL,NULL,Data not available.
Total ,Male,NULL,2007,190.0,0.6,NULL
Total - Male,Male,NULL,2008,NULL,NULL,Data not available.
Total - Male,Male,NULL,2009,189.0,0.8,NULL
Total ,Male,NULL,2010,NULL,NULL,Data not available.
Total ,Male,NULL,2011,186.0,0.6,NULL
Total ,Male,NULL,2012,NULL,NULL,Data not available.
Total ,Male,NULL,2013,184.0,0.8,NULL
Total - Female,Female,NULL,2000,173.0,7.7,NULL
Total - Female,Female,NULL,2001,NULL,NULL,Data not available.
Total - Female,Female,NULL,2002,188.0,1.1,NULL
Total - Female,eFmale,NULL,2003,187.0,1.0,NULL
Total - Female,eFmale,NULL,2004,NULL,NULL,Data not available.
Total - Female,nFemale,NULL,2005,191.0,0.7,NULL
Total - Female,Female,NULL,2006,NULL,NULL,Data not available.
Total - Female,Female,NULL,2007,191.0,0.9,NULL
Total - Female,emale,NULL,2008,NULL,NULL,Data not available.
Total - Female,Femiale,NULL,2009,190.0,1.0,NULL
Total - Female,Female,NULL,2010,NULL,NULL,Data not available.
Total - Female,Femeale,NULL,2011,187.0,0.9,NULL
Total - Female,eFmale,NULL,2012,NULL,NULL,Data not available.
Total - Female,Fmale,NULL,2013,184.0,0.9,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2000,182.0,5.2,NULL
