Rank,Name,Score
1,wacktar,"100,000 points"
2,Lojet,"100,000 points"
3,poppy999,"100,000 points"
4,lesserspotted,"100,000 points"
5,lacylady,"100,000 points"
6,annekh,"100,000 points"
7,grahamotford,"100,000 points"
8,lyreb,"100,000 points"
9,Serkis,"100,000 points"
10,chinajade,"100,000 points"
11,mamma52,"100,000 points"
12,japonicajo,"100,000 points"
13,ppsantang,"100,000 points"
14,Kukka1,"100,000 points"
15,lindann,"100,000 points"
16,pattyduket,"100,000 points"
17,kccroat,"100,000 points"
18,01kitty,"100,000 points"
19,21cats,"100,000 points"
20,isiann,"100,000 points"
21,tcanaris,"100,000 points"
22,verajojo,"100,000 points"
23,jimj47,"100,000 points"
24,Amandarina,"100,000 points"
25,Mira3,"100,000 points"
26,NancyTurner,"100,000 points"
27,joycica,"100,000 points"
28,crowley5,"100,000 points"
29,player151,"100,000 points"
30,byrdloke,"100,000 points"
31,player151,"100,000 points"
32,bebelee,"100,000 points"
33,aaford,"100,000 points"
34,Dot53,"100,000 points"
35,lamadge,"100,000 points"
36,CreepyGameCrawl...,"100,000 points"
37,vinshan,"100,000 points"
38,MrFluffyMcNutte...,"100,000 points"
39,lilybily,"100,000 points"
40,luis0619,"100,000 points"
41,Will70,"100,000 points"
42,CALEE,"100,000 points"
43,Blackrozetd,"100,000 points"
44,Blackrozetd,"100,000 points"
45,mytoronto,"100,000 points"
46,MimiP,"100,000 points"
47,mrspastor,"100,000 points"
48,coolnanny,"100,000 points"
49,Brisnana,"100,000 points"
50,sunjee,"100,000 points"
51,cewhitlo,"100,000 points"
52,Panther3610,"100,000 points"
53,paws2rd4vr,"100,000 points"
54,dougf,"100,000 points"
55,avreddy,"100,000 points"
56,almwal,"100,000 points"
57,tillfeuer,"100,000 points"
58,AntonysBaba,"100,000 points"
59,Sailor888,"100,000 points"
60,nannyfly,"100,000 points"
61,bbf863,"100,000 points"
62,Pooche,"100,000 points"
63,nannyfly,"100,000 points"
64,gypsy1121,"100,000 points"
65,theoldies,"100,000 points"
66,everinjeans,"100,000 points"
67,latsd,"100,000 points"
68,puddytatsmama,"100,000 points"
69,tahoeq6,"100,000 points"
70,awsmten,"100,000 points"
71,tevob1,"100,000 points"
72,Zumah,"100,000 points"
73,mixues59,"100,000 points"
74,visitrhouse,"100,000 points"
75,slingokie2006,"100,000 points"
76,doyline,"100,000 points"
77,mamalois,"100,000 points"
78,dll1354,"100,000 points"
79,n2jigsaws,"100,000 points"
80,AMFMOM,"100,000 points"
81,labruna,"100,000 points"
82,labruna,"100,000 points"
83,KristinaQ,"100,000 points"
84,cvstar,"100,000 points"
85,buelo,"100,000 points"
86,Roxie101,"100,000 points"
87,salgal1949,"100,000 points"
88,JoandJo,"100,000 points"
89,JoandJo,"100,000 points"
90,JoandJo,"100,000 points"
91,elliest,"100,000 points"
92,JoandJo,"100,000 points"
93,janicus,"100,000 points"
94,devilcat07,"100,000 points"
95,lilweasel,"100,000 points"
96,20JF20,"100,000 points"
97,buckey42,"100,000 points"
98,Oogruk,"100,000 points"
99,hicountry777,"100,000 points"
100,msfreezedoc,"100,000 points"
101,judied,"100,000 points"
102,Kato066,"100,000 points"
103,spingrim,"100,000 points"
104,judied,"100,000 points"
105,elblackmon,"100,000 points"
106,EJS81271,"100,000 points"
107,worddestiny,"100,000 points"
