Patente citante,Fecha de presentaci�n,Fecha de publicaci�n,Solicitante,T�tulo
US4851167 *,14 Sep 1987,25 Jul 1989,"Clint, Inc.",Molding process and apparatus
US4853420 *,4 May 1987,1 Ago 1989,The Dow Chemical Company,Foamable thermoplastic polymers and a method for foaming
US6241929,29 Jul 1999,5 Jun 2001,Razmik L. Akopyan,Method and apparatus for molding three-dimensional objects of complex shape by means of RF heating
US6984352,29 May 2002,10 Ene 2006,Akopyan Razmik L,Dielectric mold for uniform heating and molding of polymers and composites in microwave ovens
US7122146,18 Abr 2005,17 Oct 2006,Akopyan Razmik L,Injection molding of polymers by microwave heating
US7137803,7 May 2002,21 Nov 2006,Chou Stephen Y,Fluid pressure imprint lithography
US7223087,15 Jun 2004,29 May 2007,Razmik Akopyan,Microwave molding of polymers
US7232299,8 Oct 2004,19 Jun 2007,"Vertex, L.L.C.",Flow molding apparatus with multiple layers of molds and electrodes
US7837910,14 Jul 2004,23 Nov 2010,Vertex L.L.C.,Method of forming a hardened skin on a surface of a molded article
US8236212 *,12 Oct 2009,7 Ago 2012,Vertex L.L.C.,Method of forming a hardened skin on a surface of a molded article
US8298470,14 Jul 2004,30 Oct 2012,Vertex L.L.C.,Method of making a molded article from two or more different formable materials in a single heating cycle
US8313768,22 Sep 2010,20 Nov 2012,"Mcneil-Ppc, Inc.",Manufacture of tablet having immediate release region and sustained release region
US8343533,22 Sep 2010,1 Ene 2013,"Mcneil-Ppc, Inc.",Manufacture of lozenge product with radiofrequency
US8357726,20 Ene 2010,22 Ene 2013,Vertex L.L.C.,Devulcanization of rubber and other elastomers
US8470897,18 Jul 2011,25 Jun 2013,Vertex L.L.C.,Devulcanization of rubber and other elastomers
US8602927,29 Dic 2010,10 Dic 2013,Vertex L.L.C.,Game ball and method of manufacturing same
US8715437,22 Feb 2010,6 May 2014,Novation Iq Llc,Composite foam product
US8784781,22 Sep 2010,22 Jul 2014,"Mcneil-Ppc, Inc.",Manufacture of chewing gum product with radiofrequency
US8807979,22 Sep 2010,19 Ago 2014,"Mcneil-Ppc, Inc.",Machine for the manufacture of dosage forms utilizing radiofrequency energy
US8858210,21 Mar 2011,14 Oct 2014,"Mcneil-Ppc, Inc.",Manufacture of variable density dosage forms utilizing radiofrequency energy
US8865204,18 Dic 2012,21 Oct 2014,"Mcneil-Ppc, Inc.",Manufacture of lozenge product with radiofrequency
US8871263,22 Sep 2010,28 Oct 2014,"Mcneil-Ppc, Inc.",Manufacture of tablet in a die utilizing radiofrequency energy and meltable binder
US8968769,24 Sep 2009,3 Mar 2015,"Mcneil-Ppc, Inc.",Orally disintegrative dosage form
US20020132482 *,7 May 2002,19 Sep 2002,Chou Stephen Y.,Fluid pressure imprint lithography
US20040222554 *,15 Jun 2004,11 Nov 2004,Akopyan Razmik L.,Microwave molding of polymers
US20100096780 *,12 Oct 2009,22 Abr 2010,Michel Marc,Method of Forming a Hardened Skin on a Surface of a Molded Article
CN100579761C,6 Oct 2005,13 Ene 2010,弗特克斯公司,Flow molding apparatus and method for preparing a plurality of plastic objects by the same
EP0845341A1 *,28 Nov 1997,3 Jun 1998,Ilpea Gomma SpA,Method to vulcanize rubber articles or profiles and relative device
EP2103420A2,17 Mar 2009,23 Sep 2009,Vertex L.L.C.,Molding process and apparatus
EP2495097A1,17 Mar 2009,5 Sep 2012,Vertex L.L.C.,Molding process and apparatus
EP2631054A2,13 Jul 2005,28 Ago 2013,Vertex L.L.C.,Method of making a molded article from two or more different formable materials in a single heating cycle
WO1990008803A1 *,24 Ene 1989,9 Ago 1990,Dow Chemical Co,Foamable thermoplastic polymers and a method for foaming
WO2002007199A1 *,2 Jul 2001,24 Ene 2002,Nanonex Corp,Fluid pressure imprint lithography
WO2006041958A2,6 Oct 2005,20 Abr 2006,Vertex L L C,Flow molding apparatus with multiple layers of molds and electrodes
WO2011038077A1 *,23 Sep 2010,31 Mar 2011,"Mcneil-Ppc, Inc.",Machine for the manufacture of dosage forms utilizing radiofrequency energy
